candidate,party,percent,votes,office
"Ensign, John",REP,89.38%,"47,358",United States Senator (Rep)
"Hamzik, Richard",REP,4.67%,"2,475",United States Senator (Rep)
"Platin, Fernando Jr.",REP,1.61%,855,United States Senator (Rep)
None of these Candidates,,4.33%,"2,295",United States Senator (Rep)
Under Votes,,0.00%,0,United States Senator (Rep)
Over Votes,,0.00%,0,United States Senator (Rep)
"Blockey, Jim",REP,16.37%,"4,698","Representative in Congress, District 1 (Rep)"
"Porter, Jon",REP,65.11%,"18,683","Representative in Congress, District 1 (Rep)"
"Price, Nancy",REP,18.52%,"5,313","Representative in Congress, District 1 (Rep)"
Under Votes,,0.00%,0,"Representative in Congress, District 1 (Rep)"
Over Votes,,0.00%,0,"Representative in Congress, District 1 (Rep)"
"Gibbons, Jim",REP,88.18%,"19,367","Representative in Congress, District 2 (Rep)"
"Tracy, Mitchell T.",REP,11.82%,"2,595","Representative in Congress, District 2 (Rep)"
None of these Candidates,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Under Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
Over Votes,,0.00%,0,"Representative in Congress, District 2 (Rep)"
"Giron, Harold H.",DEM,25.38%,"1,675",State Senate District 2 (Dem)
"Shaffer, Ray",DEM,74.62%,"4,924",State Senate District 2 (Dem)
Under Votes,,0.00%,0,State Senate District 2 (Dem)
Over Votes,,0.00%,0,State Senate District 2 (Dem)
"Mathews, Frank M.",REP,29.53%,"3,741",State Senate District 5 (Rep)
"O'Connell, Ann",REP,70.47%,"8,928",State Senate District 5 (Rep)
Under Votes,,0.00%,0,State Senate District 5 (Rep)
Over Votes,,0.00%,0,State Senate District 5 (Rep)
"Hawk, Charles",DEM,64.15%,"5,474",State Senate District 5 (Dem)
"Moers, Ronald",DEM,35.85%,"3,059",State Senate District 5 (Dem)
Under Votes,,0.00%,0,State Senate District 5 (Dem)
Over Votes,,0.00%,0,State Senate District 5 (Dem)
"Clinton, Uri",DEM,44.88%,"1,820",State Senate District 4 (Dem)
"Montanez, Christopher V.",DEM,4.96%,201,State Senate District 4 (Dem)
