candidate,party,percent,votes,office
"CARTER, JACK",DEM,25.21%,450,U.S. Senate
"ENSIGN, JOHN",REP,70.14%,"1,252",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.85%,33,U.S. Senate
"TRAINOR, BRENDAN",LIB,0.62%,11,U.S. Senate
NONE OF THESE CANDIDATES,,2.18%,39,U.S. Senate
"DERBY, JILL",DEM,30.54%,540,"U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,64.08%,"1,133","U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,2.77%,49,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.60%,46,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,0.28%,5,Governor
"GIBBONS, JIM",REP,72.04%,"1,291",Governor
"HANSEN, CHRISTOPHER H.",IAP,4.07%,73,Governor
"TITUS, DINA",DEM,20.59%,369,Governor
NONE OF THESE CANDIDATES,,3.01%,54,Governor
"JEFFERSON, THOMAS",IAP,7.12%,127,Lieutenant Governor
"KROLICKI, BRIAN",REP,64.44%,"1,149",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,21.42%,382,Lieutenant Governor
NONE OF THESE CANDIDATES,,7.01%,125,Lieutenant Governor
"HANSEN, JANINE",IAP,9.72%,172,Secretary Of State
"MILLER, ROSS",DEM,29.55%,523,Secretary Of State
"TARKANIAN, DANNY",REP,54.86%,971,Secretary Of State
NONE OF THESE CANDIDATES,,5.88%,104,Secretary Of State
"ANDREWS, MARK",IAP,7.38%,131,State Treasurer
"DESTEFANO, MARK",REP,53.10%,943,State Treasurer
"MARSHALL, KATE",DEM,31.53%,560,State Treasurer
NONE OF THESE CANDIDATES,,8.00%,142,State Treasurer
"FITZGIBBONS, FLOYD",IAP,6.43%,114,State Controller
"MARTIN, STEVE",REP,55.64%,987,State Controller
"WALLIN, KIM",DEM,29.88%,530,State Controller
NONE OF THESE CANDIDATES,,8.06%,143,State Controller
"CHAIREZ, DON",REP,50.06%,891,Attorney General
"CORTEZ MASTO, CATHERINE",DEM,40.45%,720,Attorney General
NONE OF THESE CANDIDATES,,9.49%,169,Attorney General
"MARVEL, JOHN",REP,78.37%,540,"State Assembly, District 32"
"SPRINKLE, MIKE",DEM,21.63%,149,"State Assembly, District 32"
"GOICOECHEA, PETE",REP,100.00%,"1,011","State Assembly, District 35"
"CHERRY, MICHAEL A.",NP,73.79%,"1,230","Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,26.21%,437,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,39.19%,676,"Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,40.58%,700,"Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,20.23%,349,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,41.47%,715,"Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,34.40%,593,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,24.13%,416,"Supreme Court Justice, Seat G"
"DUVALL, LURA",REP,62.08%,"1,087","Supreme Court Justice, Seat G"
"SULLIVAN GARCICEA, SADIE",REP,37.92%,664,"Supreme Court Justice, Seat G"
"BURRIS, GLADYS",DEM,100.00%,"1,626",COUNTY ASSESSOR
"SPARKS, BRYAN",REP,82.03%,"1,447",COUNTY CLERK
"STEVENS, KEITH",DEM,17.97%,317,COUNTY CLERK
"CHAPIN, CHUCK",REP,70.39%,"1,248",County Commissioner District Number 2 (CW)
"YARBRO, MICKEY",DEM,29.61%,525,County Commissioner District Number 2 (CW)
"FORGERON, HY",REP,60.15%,"1,040",County Commissioner District Number 3 (CW)
"TANNER, MILO",REP,39.85%,689,County Commissioner District Number 3 (CW)
"TREVINO, IDONNA",REP,100.00%,"1,646",DISTRICT ATTORNEY
"POWRIE, GRACE",REP,100.00%,"1,626",COUNTY RECORDER
"MASTERSON, WES",NP,43.36%,771,COUNTY TREASURER
"UNGER, RON",NP,56.64%,"1,007",COUNTY TREASURER
"BOUDINOT, JAMES M.",NP,32.26%,80,Sheriff - LANDER - NP
"DORY, JOSEPH W.",NP,67.74%,168,Sheriff - LANDER - NP
"BARBER, JOHN",NP,32.46%,532,AUSTIN Justice of the Peace
"LOCKRIDGE, NANCY",NP,67.54%,"1,107",AUSTIN Justice of the Peace
"ANDERSEN, KEVIN H",NP,10.94%,658,"LANDER COUNTY Hospital Dist Trustee, Seat F"
"BYRD, CARL",NP,9.03%,543,"LANDER COUNTY Hospital Dist Trustee, Seat F"
"DAVIS, SUSAN",NP,17.71%,"1,065","LANDER COUNTY Hospital Dist Trustee, Seat F"
"HAMMERSMARK, MICHELE",NP,11.39%,685,"LANDER COUNTY Hospital Dist Trustee, Seat F"
"HAMMILL, DANIEL W",NP,10.50%,631,"LANDER COUNTY Hospital Dist Trustee, Seat F"
"HOLLAND, WALTER",NP,10.38%,624,"LANDER COUNTY Hospital Dist Trustee, Seat F"
