candidate,party,percent,votes,office
"CARTER, JACK",DEM,40.29%,"48,385",U.S. Senate
"ENSIGN, JOHN",REP,56.01%,"67,262",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.35%,"1,627",U.S. Senate
"TRAINOR, BRENDAN",LIB,0.94%,"1,133",U.S. Senate
NONE OF THESE CANDIDATES,,1.40%,"1,680",U.S. Senate
"DERBY, JILL",DEM,49.90%,"59,255","U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,46.11%,"54,756","U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,1.73%,"2,056","U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.26%,"2,681","U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.49%,"1,786",Governor
"GIBBONS, JIM",REP,52.56%,"63,057",Governor
"HANSEN, CHRISTOPHER H.",IAP,3.06%,"3,666",Governor
"TITUS, DINA",DEM,39.42%,"47,296",Governor
NONE OF THESE CANDIDATES,,3.47%,"4,166",Governor
"JEFFERSON, THOMAS",IAP,4.34%,"5,158",Lieutenant Governor
"KROLICKI, BRIAN",REP,58.90%,"70,062",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,33.46%,"39,803",Lieutenant Governor
NONE OF THESE CANDIDATES,,3.31%,"3,937",Lieutenant Governor
"HANSEN, JANINE",IAP,7.99%,"9,452",Secretary Of State
"MILLER, ROSS",DEM,49.91%,"59,061",Secretary Of State
"TARKANIAN, DANNY",REP,37.55%,"44,433",Secretary Of State
NONE OF THESE CANDIDATES,,4.55%,"5,378",Secretary Of State
"ANDREWS, MARK",IAP,5.19%,"6,128",State Treasurer
"DESTEFANO, MARK",REP,43.27%,"51,095",State Treasurer
"MARSHALL, KATE",DEM,46.99%,"55,494",State Treasurer
NONE OF THESE CANDIDATES,,4.55%,"5,377",State Treasurer
"FITZGIBBONS, FLOYD",IAP,5.03%,"5,916",State Controller
"MARTIN, STEVE",REP,44.25%,"52,059",State Controller
"WALLIN, KIM",DEM,45.41%,"53,418",State Controller
NONE OF THESE CANDIDATES,,5.32%,"6,253",State Controller
"CHAIREZ, DON",REP,30.35%,"35,972",Attorney General
"CORTEZ MASTO, CATHERINE",DEM,64.85%,"76,869",Attorney General
NONE OF THESE CANDIDATES,,4.80%,"5,691",Attorney General
"MATHEWS, BERNICE MARTIN",DEM,100.00%,"13,546","State Senate, Washoe District 1"
"EMERSON, JOHN H.",DEM,45.78%,"14,266","State Senate, Washoe District 2"
"WASHINGTON, MAURICE",REP,54.22%,"16,899","State Senate, Washoe District 2"
"TOWNSEND, RANDOLPH",REP,100.00%,"24,327","State Senate, Washoe District 4"
"BOBZIEN, DAVID",DEM,55.07%,"6,799","State Assembly, District 24"
"HOLCOMB, BROOKS",REP,39.70%,"4,901","State Assembly, District 24"
"YOUNG, JIM",LIB,5.22%,645,"State Assembly, District 24"
"GANSERT, HEIDI S.",REP,100.00%,"19,711","State Assembly, District 25"
"COBB, TY",REP,63.91%,"15,720","State Assembly, District 26"
"HARDENBROOK, RICHARD J.",DEM,36.09%,"8,877","State Assembly, District 26"
"FRUEHAN, GLENN G.",DEM,24.18%,"2,198","State Assembly, District 27"
"LESLIE, SHEILA",DEM,75.82%,"6,893","State Assembly, District 27"
"SMITH, DEBBIE",DEM,100.00%,"7,792","State Assembly, District 30"
"ANDERSON, BERNIE",DEM,57.88%,"5,926","State Assembly, District 31"
"THOMPSON, RANDI",REP,42.12%,"4,312","State Assembly, District 31"
"MARVEL, JOHN",REP,56.97%,"12,220","State Assembly, District 32"
"SPRINKLE, MIKE",DEM,43.03%,"9,230","State Assembly, District 32"
"GOICOECHEA, PETE",REP,100.00%,388,"State Assembly, District 35"
"BROWN, JOETTA",DEM,36.40%,887,"State Assembly, District 39"
"SETTELMEYER, JAMES ARNOLD",REP,63.60%,"1,550","State Assembly, District 39"
"PARNELL, BONNIE",DEM,45.31%,527,"State Assembly, District 40"
"WARD, SHEILA M.",REP,54.69%,636,"State Assembly, District 40"
"CHERRY, MICHAEL A.",NP,74.25%,"77,117","Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,25.75%,"26,744","Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,51.58%,"56,786","Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,32.70%,"36,000","Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,15.71%,"17,300","Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,37.66%,"42,103","Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,46.96%,"52,508","Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,15.38%,"17,198","Supreme Court Justice, Seat G"
"FLANAGAN, PATRICK",NP,58.86%,"60,681","District Court Judge, District 2, Department 7"
"PECK, BRIDGET ROBB",NP,41.14%,"42,407","District Court Judge, District 2, Department 7"
"FULSTONE, II, DAVID H.",NP,45.33%,"4,857","University Board of Regents, District 9"
"KNECHT, RON",NP,54.67%,"5,858","University Board of Regents, District 9"
"DEHNE, SAM",DEM,34.43%,"9,121","University Board of Regents, District 9"
"HUMKE, DAVID",REP,65.57%,"17,372","University Board of Regents, District 9"
"SFERRAZZA, PETE",DEM,100.00%,"9,883",County Commissioner District 2
"FEERO, GARY",IAP,10.78%,"2,206",County Commissioner District 3
"NOBLETT, TOM",DEM,39.91%,"8,171",County Commissioner District 3
"WEBER, BONNIE",REP,49.31%,"10,096",County Commissioner District 3
"KOZIOL, THOMAS ""TOM""",LIB,5.20%,"5,852",County Commissioner District 5
"MCNEILL, ERNIE",DEM,40.26%,"45,331",County Commissioner District 5
"OGILVIE, BRET W.",IAP,6.16%,"6,940",County Commissioner District 5
"WILSON, JOSHUA G.",REP,48.38%,"54,476",County Commissioner District 5
"GILLINGS, RUTH I.",IAP,31.52%,"34,159",Assessor
"HARVEY, AMY",REP,68.48%,"74,201",Assessor
"GAMMICK, RICHARD A. ""DICK""",REP,100.00%,"93,376",Clerk
"CAVALLO, DON",REP,66.68%,"72,618",DISTRICT ATTORNEY
"CHAPMAN, LYNN",IAP,33.32%,"36,280",DISTRICT ATTORNEY
"BURKE, KATHRYN L. ""KATHY""",REP,69.73%,"75,806",PUBLIC ADMINISTRATOR
"MILLER, GREGORY",IAP,30.27%,"32,904",PUBLIC ADMINISTRATOR
"BERRUM, BILL",REP,70.28%,"76,991",Recorder
"JOSEPH, DAN",IAP,29.72%,"32,559",Recorder
"KUBO, JOSEPH",REP,65.39%,"2,175",Treasurer
"WALLACE, JIM",REP,34.61%,"1,151",Treasurer
"HALEY, MIKE",NP,80.42%,"79,765",Constable INCLINE VILLAGE
"HARRELSON, JOE",NP,19.58%,"19,419",Constable INCLINE VILLAGE
"HOLLINGER, NANCY J.",NP,70.47%,"11,189",SHERIFF
"PRITSOS, CHRIS",NP,29.53%,"4,689",SHERIFF
"CLARK, BARBARA",NP,54.58%,"13,180",School Board Trustee District B
"MITCHELL, GALEN ""MITCH""",NP,45.42%,"10,968",School Board Trustee District B
"PORTER, LEZLIE",NP,60.47%,"27,483",School Board Trustee District C
"WILSON, LARRY",NP,39.53%,"17,963",School Board Trustee District C
"BOHN, JOHN A.",NP,28.88%,"1,896",School Board Trustee District F
"BROCKMAN, GENE",NP,30.76%,"2,019",School Board Trustee District F
"GUROWITZ, ED",NP,20.35%,"1,336",School Board Trustee District F
"HUDSON, TRIPP",NP,20.00%,"1,313",School Board Trustee District F
"CLAUS, SANTA",NP,19.52%,"1,236",INCLINE VILLAGE General Improvement District
"EPSTEIN, DON",NP,28.31%,"1,793",INCLINE VILLAGE General Improvement District
"MURRIETA, GENE",NP,28.08%,"1,778",INCLINE VILLAGE General Improvement District
"WESTERVELT, BOB",NP,24.10%,"1,526",INCLINE VILLAGE General Improvement District
"JACKSON SR., JOHN W. ""J.J.""",NP,30.73%,"1,410",NORTH LAKE TAHOE Fire Protection District
"LANCASTER, PATRICIA",NP,42.99%,"1,973",NORTH LAKE TAHOE Fire Protection District
"PAYNE, JERRY",NP,26.28%,"1,206",NORTH LAKE TAHOE Fire Protection District
"POLLARD, E. A. ""BO""",NP,39.07%,"1,449",SUN VALLEY General Improvement District
"TIRAS, E. ALAN",NP,60.93%,"2,260",SUN VALLEY General Improvement District
"LYNCH, PATRICIA A.",NP,75.41%,"50,985","Justice of the Peace, INCLINE VILLAGE"
"OLDENBURG, VICKY THIMMESCH",NP,24.59%,"16,625","Justice of the Peace, INCLINE VILLAGE"
"DERISO, SUSAN",NP,70.88%,"21,125","Justice of the Peace, RENO-VERDI Department 1"
"SINCLAIR, DAVID E.",NP,29.12%,"8,678","Justice of the Peace, RENO-VERDI Department 1"
"CASHELL, BOB",NP,74.96%,"39,915","Justice of the Peace, SPARKS Department 1"
"HOLLAND, ERIK",NP,25.04%,"13,330","Justice of the Peace, SPARKS Department 1"
"FREEMAN, VIVIAN",NP,35.79%,"18,030",Mayor RENO
"ZADRA, SHARON",NP,64.21%,"32,342",Mayor RENO
"DORTCH, DWIGHT",NP,56.79%,"27,902",City of RENO Councilman Ward 2
"KELLEY, SCOTT",NP,43.21%,"21,232",City of RENO Councilman Ward 2
"KADLIC, JOHN J.",NP,52.73%,"25,090",City of RENO Councilman Ward 4
"KANDT, BRETT",NP,47.27%,"22,488",City of RENO Councilman Ward 4
"MARTINI, GENO R.",NP,76.49%,"16,624",RENO City Attorney
"NEWHALL, GENE O.",NP,23.51%,"5,110",RENO City Attorney
"MOSS, JUDY",NP,48.60%,"10,409",Mayor SPARKS
"SMITH, RON",NP,51.40%,"11,008",Mayor SPARKS
"CARRIGAN, MIKE",NP,61.62%,"12,941",City of SPARKS Councilman Ward 3
"DEPROSSE, JIM",NP,38.38%,"8,062",City of SPARKS Councilman Ward 3
"NICHOLSON, DOUG",NP,35.28%,"7,562",City of SPARKS Councilman Ward 4
"SPOO, JIM",NP,64.72%,"13,875",City of SPARKS Councilman Ward 4
