candidate,party,percent,votes,office
"CARTER, JACK",DEM,21.06%,91,U.S. Senate
"ENSIGN, JOHN",REP,66.90%,289,U.S. Senate
"SCHUMANN, DAVID K.",IAP,3.94%,17,U.S. Senate
"TRAINOR, BRENDAN",LIB,2.08%,9,U.S. Senate
NONE OF THESE CANDIDATES,,6.02%,26,U.S. Senate
"DERBY, JILL",DEM,26.65%,113,"U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,63.44%,269,"U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,5.19%,22,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,4.72%,20,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.38%,6,Governor
"GIBBONS, JIM",REP,68.43%,297,Governor
"HANSEN, CHRISTOPHER H.",IAP,4.84%,21,Governor
"TITUS, DINA",DEM,21.20%,92,Governor
NONE OF THESE CANDIDATES,,4.15%,18,Governor
"JEFFERSON, THOMAS",IAP,12.85%,55,Lieutenant Governor
"KROLICKI, BRIAN",REP,59.11%,253,Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,20.56%,88,Lieutenant Governor
NONE OF THESE CANDIDATES,,7.48%,32,Lieutenant Governor
"HANSEN, JANINE",IAP,13.44%,57,Secretary Of State
"MILLER, ROSS",DEM,29.01%,123,Secretary Of State
"TARKANIAN, DANNY",REP,50.00%,212,Secretary Of State
NONE OF THESE CANDIDATES,,7.55%,32,Secretary Of State
"ANDREWS, MARK",IAP,9.56%,41,State Treasurer
"DESTEFANO, MARK",REP,48.48%,208,State Treasurer
"MARSHALL, KATE",DEM,31.70%,136,State Treasurer
NONE OF THESE CANDIDATES,,10.26%,44,State Treasurer
"FITZGIBBONS, FLOYD",IAP,13.05%,56,State Controller
"MARTIN, STEVE",REP,53.38%,229,State Controller
"WALLIN, KIM",DEM,22.38%,96,State Controller
NONE OF THESE CANDIDATES,,11.19%,48,State Controller
"CHAIREZ, DON",REP,52.47%,223,Attorney General
"CORTEZ MASTO, CATHERINE",DEM,35.29%,150,Attorney General
NONE OF THESE CANDIDATES,,12.24%,52,Attorney General
"GOEDHART, ED",REP,57.52%,241,"State Assembly, District 36"
"HOLMGREN, DAVID G.",IAP,11.93%,50,"State Assembly, District 36"
"MURRAY, LAURAYNE",DEM,30.55%,128,"State Assembly, District 36"
"CHERRY, MICHAEL A.",NP,64.27%,250,"Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,35.73%,139,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,35.48%,143,"Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,37.72%,152,"Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,26.80%,108,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,39.60%,160,"Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,27.72%,112,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,32.67%,132,"Supreme Court Justice, Seat G"
"LEE, RUTH P.",REP,100.00%,390,"Supreme Court Justice, Seat G"
"ELGAN, LACINDA ""CINDY""",REP,100.00%,372,COUNTY ASSESSOR
"FABRIZIO, ROBERT D.",REP,33.33%,62,County Clerk/Treasurer
"GILLUM, R.J.",DEM,66.67%,124,County Clerk/Treasurer
"LEVENTHAL, TODD M.",REP,52.90%,219,County Commissioner District 1
"WHITE, LINDA S.",REP,47.10%,195,County Commissioner District 1
"SCOTT, KAREN",DEM,100.00%,351,DISTRICT ATTORNEY
"DEYMONAZ, LINDA A.",NP,100.00%,325,Auditor/Recorder
"BARNEY, SHARON K.",NP,37.04%,160,PUBLIC ADMINISTRATOR
"COLVIN, JUANITA M.",NP,62.96%,272,PUBLIC ADMINISTRATOR
