candidate,party,percent,votes,office
"CARTER, JACK",DEM,34.67%,728,United States Senator
"ENSIGN, JOHN",REP,58.90%,"1,237",United States Senator
"SCHUMANN, DAVID K.",IAP,2.67%,56,United States Senator
"TRAINOR, BRENDAN",LIB,0.90%,19,United States Senator
NONE OF THESE CANDIDATES,,2.86%,60,United States Senator
"DERBY, JILL",DEM,44.95%,935,"U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,44.71%,930,"U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,7.40%,154,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,2.93%,61,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,1.76%,37,Governor
"GIBBONS, JIM",REP,56.46%,"1,188",Governor
"HANSEN, CHRISTOPHER H.",IAP,4.80%,101,Governor
"TITUS, DINA",DEM,32.13%,676,Governor
NONE OF THESE CANDIDATES,,4.85%,102,Governor
"JEFFERSON, THOMAS",IAP,7.54%,157,Lieutenant Governor
"KROLICKI, BRIAN",REP,53.27%,"1,109",Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,32.85%,684,Lieutenant Governor
NONE OF THESE CANDIDATES,,6.34%,132,Lieutenant Governor
"HANSEN, JANINE",IAP,9.69%,202,Secretary Of State
"MILLER, ROSS",DEM,45.59%,950,Secretary Of State
"TARKANIAN, DANNY",REP,37.57%,783,Secretary Of State
NONE OF THESE CANDIDATES,,7.15%,149,Secretary Of State
"ANDREWS, MARK",IAP,6.96%,145,State Treasurer
"DESTEFANO, MARK",REP,39.51%,823,State Treasurer
"MARSHALL, KATE",DEM,43.98%,916,State Treasurer
NONE OF THESE CANDIDATES,,9.55%,199,State Treasurer
"FITZGIBBONS, FLOYD",IAP,8.44%,175,State Controller
"MARTIN, STEVE",REP,37.82%,784,State Controller
"WALLIN, KIM",DEM,44.28%,918,State Controller
NONE OF THESE CANDIDATES,,9.45%,196,State Controller
"CHAIREZ, DON",REP,26.78%,556,Attorney General
"CORTEZ MASTO, CATHERINE",DEM,63.87%,"1,326",Attorney General
NONE OF THESE CANDIDATES,,9.34%,194,Attorney General
"GOEDHART, ED",REP,46.70%,955,"State Assembly, District 36"
"HOLMGREN, DAVID G.",IAP,9.10%,186,"State Assembly, District 36"
"MURRAY, LAURAYNE",DEM,44.21%,904,"State Assembly, District 36"
"CHERRY, MICHAEL A.",NP,72.43%,"1,400","Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,27.57%,533,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,39.69%,793,"Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,41.19%,823,"Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,19.12%,382,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,40.12%,804,"Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,39.82%,798,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,20.06%,402,"Supreme Court Justice, Seat G"
"BISIAUX, STARLA M.",REP,28.10%,571,"Supreme Court Justice, Seat G"
"HUGHES, GLORIA",REP,71.90%,"1,461","Supreme Court Justice, Seat G"
"GEORGE, CHERRIE A.",REP,58.39%,"1,176",Assessor
"STODDARD, PATRICIA A.",DEM,41.61%,838,Assessor
"BLACK, NANCY J.",REP,48.55%,"1,003",Clerk/Treasurer
"TIPTON, JERRIE C.",DEM,51.45%,"1,063",Clerk/Treasurer
"EMM-SMITH, CHERI",DEM,100.00%,"1,761",County Commissioner Seat C
"HOFERER, CHRISTINE",REP,70.84%,"1,419",DISTRICT ATTORNEY
"JACKSON, DEANN",REP,29.16%,584,DISTRICT ATTORNEY
"DEMENT, JUNE",NP,52.25%,"1,067",Recorder/Auditor
"ISOM, COURTNEY",NP,47.75%,975,Recorder/Auditor
"GLAZIER, MICHELLE (BISIAUX)",NP,37.64%,"1,176",MINERAL COUNTY School Trustee Hawthorne Seat
"NIXON, MARK D.",NP,43.79%,"1,368",MINERAL COUNTY School Trustee Hawthorne Seat
"QUATTROMANI, DONNA M.",NP,18.57%,580,MINERAL COUNTY School Trustee Hawthorne Seat
"GOING, RONALD",NP,100.00%,"1,793",MINERAL COUNTY School Trustee OUTSIDE
"ERICKSON, THOMAS J.",NP,100.00%,"1,815",MINERAL COUNTY School Trustee
"MADRASO, JR., JOHN",NP,41.27%,860,MINERAL COUNTY Hospital Board Trustee
"SMITH, ED ""SMITTY""",NP,58.73%,"1,224",MINERAL COUNTY Hospital Board Trustee
"SCHAAF, GARY",NP,52.99%,"1,065",Sheriff - MINERAL
"STROMATT, RICHARD H.",NP,47.01%,945,Sheriff - MINERAL
"GUNTER, JAY T.",NP,57.45%,"1,160",HAWTHORNE Township Constable
"SKVARNA, LEE",NP,42.55%,859,HAWTHORNE Township Constable
