candidate,party,percent,votes,office
"CARTER, JACK",DEM,17.78%,128,United States Senator
"ENSIGN, JOHN",REP,70.83%,510,United States Senator
"SCHUMANN, DAVID K.",IAP,5.56%,40,United States Senator
"TRAINOR, BRENDAN",LIB,2.08%,15,United States Senator
NONE OF THESE CANDIDATES,,3.75%,27,United States Senator
"DERBY, JILL",DEM,31.56%,225,"U.S. Representative in Congress, District 2"
"HELLER, DEAN",REP,57.22%,408,"U.S. Representative in Congress, District 2"
"KROSHUS, JAMES C.",IAP,7.01%,50,"U.S. Representative in Congress, District 2"
"ROSEN, DANIEL",IND,4.21%,30,"U.S. Representative in Congress, District 2"
"BERGLAND, CRAIG O.",GRN,0.55%,4,Governor
"GIBBONS, JIM",REP,71.43%,515,Governor
"HANSEN, CHRISTOPHER H.",IAP,7.49%,54,Governor
"TITUS, DINA",DEM,16.78%,121,Governor
NONE OF THESE CANDIDATES,,3.74%,27,Governor
"JEFFERSON, THOMAS",IAP,16.30%,117,Lieutenant Governor
"KROLICKI, BRIAN",REP,58.64%,421,Lieutenant Governor
"UNGER, ROBERT ""BOB""",DEM,17.27%,124,Lieutenant Governor
NONE OF THESE CANDIDATES,,7.80%,56,Lieutenant Governor
"HANSEN, JANINE",IAP,16.36%,116,Secretary Of State
"MILLER, ROSS",DEM,19.18%,136,Secretary Of State
"TARKANIAN, DANNY",REP,57.12%,405,Secretary Of State
NONE OF THESE CANDIDATES,,7.33%,52,Secretary Of State
"ANDREWS, MARK",IAP,12.81%,92,State Treasurer
"DESTEFANO, MARK",REP,55.43%,398,State Treasurer
"MARSHALL, KATE",DEM,22.14%,159,State Treasurer
NONE OF THESE CANDIDATES,,9.61%,69,State Treasurer
"FITZGIBBONS, FLOYD",IAP,12.87%,92,State Controller
"MARTIN, STEVE",REP,54.27%,388,State Controller
"WALLIN, KIM",DEM,20.70%,148,State Controller
NONE OF THESE CANDIDATES,,12.17%,87,State Controller
"CHAIREZ, DON",REP,55.63%,400,Attorney General
"CORTEZ MASTO, CATHERINE",DEM,32.55%,234,Attorney General
NONE OF THESE CANDIDATES,,11.82%,85,Attorney General
"GOICOECHEA, PETE",REP,100.00%,641,"State Assembly, District 35"
"CHERRY, MICHAEL A.",NP,68.65%,438,"Supreme Court Justice, Seat C"
NONE OF THESE CANDIDATES,,31.35%,200,"Supreme Court Justice, Seat C"
"DOUGLAS, MICHAEL L.",NP,30.56%,209,"Supreme Court Justice, Seat F"
"STEEL, CYNTHIA ""DIANNE""",NP,45.03%,308,"Supreme Court Justice, Seat F"
NONE OF THESE CANDIDATES,,24.42%,167,"Supreme Court Justice, Seat F"
"BECKER, NANCY",NP,45.47%,311,"Supreme Court Justice, Seat G"
"SAITTA, NANCY M.",NP,23.83%,163,"Supreme Court Justice, Seat G"
NONE OF THESE CANDIDATES,,30.70%,210,"Supreme Court Justice, Seat G"
"MEARS, MICHAEL A.",REP,100.00%,652,"Supreme Court Justice, Seat G"
"BERG, JACKIE",IAP,54.10%,389,Assessor
"LABARRY, KAREN L.",REP,33.10%,238,Assessor
"SMITH, ELIZABETH ""LIZ""",LIB,12.80%,92,Assessor
"ITHURRALDE, JAMES P.",REP,71.18%,499,Clerk/Treasurer
"VERNES, TED",IAP,28.82%,202,Clerk/Treasurer
"BEUTEL, THEODORE ""TED""",REP,63.18%,453,County Commissioner District 2
"YOHEY, PAUL G.",DEM,36.82%,264,County Commissioner District 2
"REBALEATI, MICHAEL",DEM,100.00%,581,DISTRICT ATTORNEY
"ETTER, LAURANCE F.",NP,48.72%,342,Recorder/Auditor
"JONES, KENNETH E.",NP,51.28%,360,Recorder/Auditor
"CONLEY, ANNE",NP,61.85%,428,Sheriff - EUREKA
"WRIGHT, BILL",NP,38.15%,264,Sheriff - EUREKA
"BAILEY, BOOTH E.",NP,100.00%,581,School Board Trustee Seat 2B
"FYE, SUSAN E.",NP,100.00%,526,"EUREKA COUNTY TV  District, Seat 4B"
"SCHWEBLE, JOHN F.",NP,100.00%,595,Justice of the Peace - BEOWAWE
"HENRY, CHARLES G.",NP,23.18%,54,Justice of the Peace - EUREKA
"MALLORY, DEE",NP,24.46%,57,Justice of the Peace - EUREKA
"SHARROW, GLORIA",NP,29.18%,68,Justice of the Peace - EUREKA
"YOUNG, KENNETH",NP,23.18%,54,Justice of the Peace - EUREKA
