county,precinct,office,candidate,votes,district
Carson City,101,Attorney General,Don Chairez,164,
Carson City,101,Attorney General,Catherine Cortez Masto,412,
Carson City,101,Attorney General,None Of These Candidates,40,
Carson City,101,Governor,Craig Bergland,6,
Carson City,101,Governor,Jim Gibbons,274,
Carson City,101,Governor,Christopher Hansen,26,
Carson City,101,Governor,None Of These Candidates,27,
Carson City,101,Governor,Dina Titus,286,
Carson City,101,State House,Bonnie Parnell,408,40
Carson City,101,State House,Sheila Ward,203,40
Carson City,101,State Senate,Mark Amodei,412,
Carson City,101,State Senate,Merrit Yochum,173,
Carson City,101,U.S. House,Jill Derby,312,2
Carson City,101,U.S. House,Dean Heller,265,2
Carson City,101,U.S. House,James Kroshus,18,2
Carson City,101,U.S. House,Daniel Rosen,14,2
Carson City,101,U.S. Senate,Jack Carter,284,
Carson City,101,U.S. Senate,David Schumann,13,
Carson City,101,U.S. Senate,John Ensign,304,
Carson City,101,U.S. Senate,None Of These Candidates,13,
Carson City,101,U.S. Senate,Brendan Trainor,6,
Carson City,103,Attorney General,Don Chairez,269,
Carson City,103,Attorney General,Catherine Cortez Masto,541,
Carson City,103,Attorney General,None Of These Candidates,41,
Carson City,103,Governor,Craig Bergland,10,
Carson City,103,Governor,Jim Gibbons,434,
Carson City,103,Governor,Christopher Hansen,11,
Carson City,103,Governor,None Of These Candidates,35,
Carson City,103,Governor,Dina Titus,369,
Carson City,103,State House,Bonnie Parnell,555,40
Carson City,103,State House,Sheila Ward,291,40
Carson City,103,State Senate,Mark Amodei,704,
Carson City,103,State Senate,Merrit Yochum,119,
Carson City,103,U.S. House,Jill Derby,380,2
Carson City,103,U.S. House,Dean Heller,445,2
Carson City,103,U.S. House,James Kroshus,15,2
Carson City,103,U.S. House,Daniel Rosen,9,2
Carson City,103,U.S. Senate,Jack Carter,317,
Carson City,103,U.S. Senate,David Schumann,7,
Carson City,103,U.S. Senate,John Ensign,516,
Carson City,103,U.S. Senate,None Of These Candidates,13,
Carson City,103,U.S. Senate,Brendan Trainor,4,
Carson City,105,Attorney General,Don Chairez,362,
Carson City,105,Attorney General,Catherine Cortez Masto,480,
Carson City,105,Attorney General,None Of These Candidates,24,
Carson City,105,Governor,Craig Bergland,4,
Carson City,105,Governor,Jim Gibbons,544,
Carson City,105,Governor,Christopher Hansen,10,
Carson City,105,Governor,None Of These Candidates,30,
Carson City,105,Governor,Dina Titus,287,
Carson City,105,State House,Bonnie Parnell,444,40
Carson City,105,State House,Sheila Ward,416,40
Carson City,105,State Senate,Mark Amodei,751,
Carson City,105,State Senate,Merrit Yochum,104,
Carson City,105,U.S. House,Jill Derby,300,2
Carson City,105,U.S. House,Dean Heller,561,2
Carson City,105,U.S. House,James Kroshus,5,2
Carson City,105,U.S. House,Daniel Rosen,3,2
Carson City,105,U.S. Senate,Jack Carter,215,
Carson City,105,U.S. Senate,David Schumann,7,
Carson City,105,U.S. Senate,John Ensign,642,
Carson City,105,U.S. Senate,None Of These Candidates,8,
Carson City,105,U.S. Senate,Brendan Trainor,3,
Carson City,107,Attorney General,Don Chairez,401,
