precinct,office,candidate,votes,jurisdiction
01-Centerville,United States Senator (Democratic),"Berkley, Shelley",42,Douglas
01-Centerville,United States Senator (Democratic),"Brown, Steve",1,Douglas
01-Centerville,United States Senator (Democratic),"Ellsworth, Barry",2,Douglas
01-Centerville,United States Senator (Democratic),"Macias, Louis",0,Douglas
01-Centerville,United States Senator (Democratic),None Of These Candidates,0,Douglas
01-Centerville,United States Senator (Democratic),"Price, Nancy",2,Douglas
02-Fish Springs,United States Senator (Democratic),"Berkley, Shelley",49,Douglas
02-Fish Springs,United States Senator (Democratic),"Brown, Steve",2,Douglas
02-Fish Springs,United States Senator (Democratic),"Ellsworth, Barry",2,Douglas
02-Fish Springs,United States Senator (Democratic),"Macias, Louis",0,Douglas
02-Fish Springs,United States Senator (Democratic),None Of These Candidates,3,Douglas
02-Fish Springs,United States Senator (Democratic),"Price, Nancy",9,Douglas
03-Gardnerville,United States Senator (Democratic),"Berkley, Shelley",66,Douglas
03-Gardnerville,United States Senator (Democratic),"Brown, Steve",10,Douglas
03-Gardnerville,United States Senator (Democratic),"Ellsworth, Barry",3,Douglas
03-Gardnerville,United States Senator (Democratic),"Macias, Louis",0,Douglas
03-Gardnerville,United States Senator (Democratic),None Of These Candidates,4,Douglas
03-Gardnerville,United States Senator (Democratic),"Price, Nancy",3,Douglas
04-Carson Valley Estates,United States Senator (Democratic),"Berkley, Shelley",39,Douglas
04-Carson Valley Estates,United States Senator (Democratic),"Brown, Steve",1,Douglas
04-Carson Valley Estates,United States Senator (Democratic),"Ellsworth, Barry",2,Douglas
04-Carson Valley Estates,United States Senator (Democratic),"Macias, Louis",0,Douglas
04-Carson Valley Estates,United States Senator (Democratic),None Of These Candidates,4,Douglas
04-Carson Valley Estates,United States Senator (Democratic),"Price, Nancy",4,Douglas
05-Genoa,United States Senator (Democratic),"Berkley, Shelley",33,Douglas
05-Genoa,United States Senator (Democratic),"Brown, Steve",0,Douglas
05-Genoa,United States Senator (Democratic),"Ellsworth, Barry",0,Douglas
05-Genoa,United States Senator (Democratic),"Macias, Louis",0,Douglas
05-Genoa,United States Senator (Democratic),None Of These Candidates,2,Douglas
05-Genoa,United States Senator (Democratic),"Price, Nancy",5,Douglas
06-Jacks Valley,United States Senator (Democratic),"Berkley, Shelley",78,Douglas
06-Jacks Valley,United States Senator (Democratic),"Brown, Steve",3,Douglas
06-Jacks Valley,United States Senator (Democratic),"Ellsworth, Barry",3,Douglas
06-Jacks Valley,United States Senator (Democratic),"Macias, Louis",3,Douglas
06-Jacks Valley,United States Senator (Democratic),None Of These Candidates,5,Douglas
06-Jacks Valley,United States Senator (Democratic),"Price, Nancy",4,Douglas
07-Minden,United States Senator (Democratic),"Berkley, Shelley",49,Douglas
07-Minden,United States Senator (Democratic),"Brown, Steve",3,Douglas
07-Minden,United States Senator (Democratic),"Ellsworth, Barry",1,Douglas
07-Minden,United States Senator (Democratic),"Macias, Louis",0,Douglas
07-Minden,United States Senator (Democratic),None Of These Candidates,2,Douglas
07-Minden,United States Senator (Democratic),"Price, Nancy",5,Douglas
08-Ranchos I,United States Senator (Democratic),"Berkley, Shelley",52,Douglas
08-Ranchos I,United States Senator (Democratic),"Brown, Steve",11,Douglas
08-Ranchos I,United States Senator (Democratic),"Ellsworth, Barry",0,Douglas
08-Ranchos I,United States Senator (Democratic),"Macias, Louis",0,Douglas
08-Ranchos I,United States Senator (Democratic),None Of These Candidates,5,Douglas
08-Ranchos I,United States Senator (Democratic),"Price, Nancy",10,Douglas
09-Ranchos II,United States Senator (Democratic),"Berkley, Shelley",28,Douglas
09-Ranchos II,United States Senator (Democratic),"Brown, Steve",3,Douglas
09-Ranchos II,United States Senator (Democratic),"Ellsworth, Barry",7,Douglas
09-Ranchos II,United States Senator (Democratic),"Macias, Louis",0,Douglas
09-Ranchos II,United States Senator (Democratic),None Of These Candidates,2,Douglas
09-Ranchos II,United States Senator (Democratic),"Price, Nancy",8,Douglas
10-TRE,United States Senator (Democratic),"Berkley, Shelley",45,Douglas
10-TRE,United States Senator (Democratic),"Brown, Steve",5,Douglas
10-TRE,United States Senator (Democratic),"Ellsworth, Barry",2,Douglas
10-TRE,United States Senator (Democratic),"Macias, Louis",1,Douglas
10-TRE,United States Senator (Democratic),None Of These Candidates,6,Douglas
10-TRE,United States Senator (Democratic),"Price, Nancy",4,Douglas
11-Johnson Lane,United States Senator (Democratic),"Berkley, Shelley",47,Douglas
