candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,41748,82.44,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,2416,4.77,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,1506,2.97,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,1195,2.36,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,2142,4.23,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,1632,3.22,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,3186,6.16,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,1546,2.99,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,1655,3.20,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,43382,83.82,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,306,0.59,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1682,3.25,UNITED STATES SENATOR (REPUBLICAN)
"EDWARDS, CHRIS",REPUBLICAN,4786,48.22,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"GUSS, CHARMAINE",REPUBLICAN,1534,15.45,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"LANDSBERGER, BRIAN",REPUBLICAN,1800,18.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"PETERS, HERB",REPUBLICAN,643,6.48,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"RODRIGUES, MIGUEL ""MIKE""",REPUBLICAN,1163,11.72,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)"
"FRYE, STEPHEN H.",DEMOCRAT,2659,16.83,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)"
"HANING, II, JAMES FRANKLIN",DEMOCRAT,736,4.66,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)"
