candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,303,60.12,U.S. Senate (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,39,7.74,U.S. Senate (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,20,3.97,U.S. Senate (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,14,2.78,U.S. Senate (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,45,8.93,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,83,16.47,U.S. Senate (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,76,5.49,U.S. Senate (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,36,2.60,U.S. Senate (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,30,2.17,U.S. Senate (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,1182,85.34,U.S. Senate (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,6,0.43,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,55,3.97,U.S. Senate (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,142,31.98,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,188,42.34,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,114,25.68,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"BACON, RAY",NONPARTISAN,287,15.81,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,188,10.36,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,446,24.57,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,582,32.07,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,312,17.19,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"BRISSENDEN, MARLENE",REPUBLICAN,660,48.00,COUNTY COMM. SEAT A (REPUBLICAN)
"SHEEN, JOYCE",REPUBLICAN,370,26.91,COUNTY COMM. SEAT A (REPUBLICAN)
"STONE, RICH",REPUBLICAN,345,25.09,COUNTY COMM. SEAT A (REPUBLICAN)
"DAWSON, JEFF",NONPARTISAN,255,12.07,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"HOLSCLAW, ED",NONPARTISAN,184,8.71,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"LOVELESS, JAMES",NONPARTISAN,342,16.19,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"MICHAELSEN, MICHAEL",NONPARTISAN,235,11.13,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"NORCUTT, LEFETTE ""LETTY""",NONPARTISAN,930,44.03,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"RILEY, CHRISTY",NONPARTISAN,77,3.65,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"STERMITZ, MATT",NONPARTISAN,89,4.21,"JUSTICE OF THE PEACE, UNION TWN-NP (NONPARTISAN)"
"HUMMEL, MEL (Incumbent)",NONPARTISAN,1856,100.00,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT A (NONPARTISAN)"
"HAMMARGREN, WILLIAM ""BILL"" J.",NONPARTISAN,786,37.23,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT C (NONPARTISAN)"
"HARTLEY, DALE E.",NONPARTISAN,387,18.33,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT C (NONPARTISAN)"
"KIM, SOON (Incumbent)",NONPARTISAN,938,44.43,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT C (NONPARTISAN)"
"BETTERIDGE, BOYD C. (Incumbent)",NONPARTISAN,1780,100.00,SCHOOL BOARD TRUSTEE SEAT C (NONPARTISAN)
