candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,69,51.11,UNITED STATES SENATOR (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,9,6.67,UNITED STATES SENATOR (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,7,5.19,UNITED STATES SENATOR (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,5,3.70,UNITED STATES SENATOR (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,23,17.04,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,22,16.30,UNITED STATES SENATOR (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,15,3.41,UNITED STATES SENATOR (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,9,2.05,UNITED STATES SENATOR (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,2,0.45,UNITED STATES SENATOR (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,402,91.36,UNITED STATES SENATOR (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,3,0.68,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,9,2.05,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,46,38.66,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,51,42.86,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,22,18.49,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KNECHT, RON (Incumbent)",NONPARTISAN,189,37.13,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"MACKEDON, MICHON",NONPARTISAN,248,48.72,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"RIENDEAU, RICHARD ""OLD RICK""",NONPARTISAN,72,14.15,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"BACON, RAY",NONPARTISAN,62,12.02,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,79,15.31,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,115,22.29,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,176,34.11,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,84,16.28,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"BUNCH, MAX W. (Incumbent)",NONPARTISAN,417,100.00,ARGENTA JUSTICE OF THE PEACE (NONPARTISAN)
"LAKE, MARK",NONPARTISAN,514,100.00,"LANDER COUNTY SCHOOL TRUSTEE, AREA ONE (NONPARTISAN)"
"MORRISON, JANICE (Incumbent)",NONPARTISAN,508,100.00,"LANDER COUNTY SCHOOL TRUSTEE, AREA TWO (NONPARTISAN)"
"ANDREOLA, KARLENE",NONPARTISAN,525,100.00,"LANDER COUNTY HOSPITAL DIST TRUSTEE, SEAT B (NONPARTISAN)"
