candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,12618,79.49,U.S. Senate (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,774,4.88,U.S. Senate (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,459,2.89,U.S. Senate (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,280,1.76,U.S. Senate (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,1010,6.36,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,732,4.61,U.S. Senate (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,1017,4.35,U.S. Senate (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,314,1.34,U.S. Senate (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,347,1.49,U.S. Senate (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,20854,89.28,U.S. Senate (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,92,0.39,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,734,3.14,U.S. Senate (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,3677,25.54,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,5580,38.76,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,5139,35.70,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"LIGHTFOOT, KEN",REPUBLICAN,1299,65.08,"STATE ASSEMBLY, DISTRICT 30 (REPUBLICAN)"
"MAINERI, PAUL",REPUBLICAN,270,13.53,"STATE ASSEMBLY, DISTRICT 30 (REPUBLICAN)"
"SCOTT, LAUREN A.",REPUBLICAN,427,21.39,"STATE ASSEMBLY, DISTRICT 30 (REPUBLICAN)"
