candidate,party,votes,percent,office
"BERKLEY, SHELLEY",DEMOCRAT,182,67.16,U.S. Senate (DEMOCRATIC)
"BROWN, STEVE",DEMOCRAT,17,6.27,U.S. Senate (DEMOCRATIC)
"ELLSWORTH, BARRY",DEMOCRAT,13,4.80,U.S. Senate (DEMOCRATIC)
"MACIAS, LOUIS",DEMOCRAT,1,0.37,U.S. Senate (DEMOCRATIC)
"PRICE, NANCY",DEMOCRAT,25,9.23,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,33,12.18,U.S. Senate (DEMOCRATIC)
"BROOKS, SHERRY",REPUBLICAN,17,3.28,U.S. Senate (REPUBLICAN)
"CHARLES, RICHARD",REPUBLICAN,7,1.35,U.S. Senate (REPUBLICAN)
"HAMILTON, EDDIE ""IN LIBERTY""",REPUBLICAN,11,2.12,U.S. Senate (REPUBLICAN)
"HELLER, DEAN (Incumbent)",REPUBLICAN,455,87.84,U.S. Senate (REPUBLICAN)
"POLIAK, CARLO ""NAKUSA""",REPUBLICAN,2,0.39,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,26,5.02,U.S. Senate (REPUBLICAN)
"DEHNE, SAM",DEMOCRAT,74,32.74,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KOEPNICK, SAMUEL",DEMOCRAT,86,38.05,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"RODRIGUEZ, XIOMARA ""XIO""",DEMOCRAT,66,29.20,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"KITE, KELLY (Incumbent)",REPUBLICAN,194,39.51,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"SCHMIDT, GARY",REPUBLICAN,167,34.01,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"WHEELER, JIM",REPUBLICAN,130,26.48,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"KNECHT, RON (Incumbent)",NONPARTISAN,396,51.83,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"MACKEDON, MICHON",NONPARTISAN,213,27.88,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"RIENDEAU, RICHARD ""OLD RICK""",NONPARTISAN,155,20.29,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)"
"BACON, RAY",NONPARTISAN,136,17.78,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CAREY, SCOTT H.",NONPARTISAN,70,9.15,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"CLONTZ, DONNA",NONPARTISAN,210,27.45,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"COOK, DAVE",NONPARTISAN,239,31.24,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"FRALICK, ADRIANA GUZMAN",NONPARTISAN,110,14.38,"STATE BOARD OF EDUCATION, DISTRICT 2 (NONPARTISAN)"
"JAMES, CATHYLEE (Incumbent)",NONPARTISAN,718,100.00,SCHOOL BOARD TRUSTEE SEAT 1A (NONPARTISAN)
"CONLEY, COLLEEN (Incumbent)",NONPARTISAN,708,100.00,SCHOOL BOARD TRUSTEE SEAT 1B (NONPARTISAN)
"MILLER, CHRISTINE (Incumbent)",NONPARTISAN,730,100.00,SCHOOL BOARD TRUSTEE SEAT 1C (NONPARTISAN)
