precinct,office,candidate,votes
PRECINCT 1,Assessor,"CERINI-JONES, LAUREEN",479
PRECINCT 1,Attorney General,"Hansen, Jonathan J",44
PRECINCT 1,Attorney General,"Laxalt, Adam Paul",311
PRECINCT 1,Attorney General,"Miller, Ross",139
PRECINCT 1,Attorney General,None Of These Candidates,35
PRECINCT 1,Big Meadow Conservation District,"CLINGER, CARL F.",303
PRECINCT 1,Big Meadow Conservation District,"DEPAOLI, ROBERT R.",396
PRECINCT 1,Big Meadow Conservation District,"SHANK, JOHN W.",305
PRECINCT 1,County Clerk-Treasurer,"DONALDSON, LACEY",448
PRECINCT 1,County Commissioner Seat C,"SHANK, CAROL A.",456
PRECINCT 1,County Recorder-Auditor,"CHILDS, RENE M.",488
PRECINCT 1,County Sheriff,"ALLEN, JERRY",299
PRECINCT 1,County Sheriff,"CARMICHAEL, NATHAN",225
PRECINCT 1,DISTRICT ATTORNEY,"SHIELDS, BRYCE",455
PRECINCT 1,"District Court Judge, District 6, Department  1","PLIMPTON, TODD",218
PRECINCT 1,"District Court Judge, District 6, Department  1","SHIRLEY, JIM C.",308
PRECINCT 1,Governor,"Goodman, Robert ""Bob""",51
PRECINCT 1,Governor,None Of These Candidates,21
PRECINCT 1,Governor,"Sandoval, Brian",430
PRECINCT 1,Governor,"VanDerBeek, David Lory",30
PRECINCT 1,Hospital District PERSHING,"HULTGREN, J. CAROLYN",292
PRECINCT 1,Hospital District PERSHING,"SAFFORD, CHARLES M.",408
PRECINCT 1,Hospital District PERSHING,"TUELLER, DANA",319
PRECINCT 1,Lieutenant Governor,"Flores, Lucy",79
PRECINCT 1,Lieutenant Governor,"Hutchison, Mark",379
PRECINCT 1,Lieutenant Governor,"Little, Mike",39
PRECINCT 1,Lieutenant Governor,None Of These Candidates,36
PRECINCT 1,PUBLIC ADMINISTRATOR,"KEARNS, JEFFREY",465
PRECINCT 1,School Dist. Board of Trustees Seat A,"EVANS, JAMES",269
PRECINCT 1,School Dist. Board of Trustees Seat A,"LUSBY-ANGVICK, HEIDI",236
PRECINCT 1,Secretary Of State,"Cegavske, Barbara K",305
PRECINCT 1,Secretary Of State,"Marshall, Kate",176
PRECINCT 1,Secretary Of State,None Of These Candidates,48
PRECINCT 1,"State Assembly, District 32","Gabriel, Louis ""Wedge""",47
PRECINCT 1,"State Assembly, District 32","Hansen, Ira",373
PRECINCT 1,"State Assembly, District 32","Sampaga, John Sharp",90
PRECINCT 1,State Controller,"Jones, Tom",58
PRECINCT 1,State Controller,"Knecht, Ron",310
PRECINCT 1,State Controller,"Martin, Andrew",93
PRECINCT 1,State Controller,None Of These Candidates,63
PRECINCT 1,"State Senate, District 14","Gustavson, Don",391
PRECINCT 1,"State Senate, District 14","Hunt, Joe",124
PRECINCT 1,State Treasurer,"Cave, Kress K",33
PRECINCT 1,State Treasurer,None Of These Candidates,44
PRECINCT 1,State Treasurer,"Schwartz, Dan",333
PRECINCT 1,State Treasurer,"Wallin, Kim",118
PRECINCT 1,"Supreme Court Justice, Seat B",None Of These Candidates,122
PRECINCT 1,"Supreme Court Justice, Seat B","Pickering, Kristina",351
PRECINCT 1,"Supreme Court Justice, Seat D","Gibbons, Mark",368
PRECINCT 1,"Supreme Court Justice, Seat D",None Of These Candidates,107
PRECINCT 1,"U.S. Representative in Congress, District 2","Amodei, Mark E.",389
PRECINCT 1,"U.S. Representative in Congress, District 2","HANSEN, JANINE",63
PRECINCT 1,"U.S. Representative in Congress, District 2","Spees, Kristen",70
PRECINCT 3,Assessor,"CERINI-JONES, LAUREEN",282
PRECINCT 3,Attorney General,"Hansen, Jonathan J",33
PRECINCT 3,Attorney General,"Laxalt, Adam Paul",147
PRECINCT 3,Attorney General,"Miller, Ross",113
PRECINCT 3,Attorney General,None Of These Candidates,16
