county,precinct,office,candidate,votes,district
Carson City,101,Attorney General,Jonathan Hansen,31,
Carson City,101,Attorney General,Adam Laxalt,216,
Carson City,101,Attorney General,Ross Miller,234,
Carson City,101,Attorney General,None Of These Candidates,20,
Carson City,101,Governor,Robert Goodman,96,
Carson City,101,Governor,None Of These Candidates,24,
Carson City,101,Governor,Brian Sandoval,373,
Carson City,101,Governor,David Vanderbeek,13,
Carson City,101,State House,Dave Cook,180,40
Carson City,101,State House,Philip O'Neill,262,40
Carson City,101,State House,John Wagner,49,40
Carson City,101,State Senate,John Everhart,47,16
Carson City,101,State Senate,Michael Kelley,182,16
Carson City,101,State Senate,Ben Kieckhefer,266,16
Carson City,101,U.S. House,Mark Amodei,308,2
Carson City,101,U.S. House,Janine Hansen,28,2
Carson City,101,U.S. House,Kristen Spees,169,2
Carson City,103,Attorney General,Jonathan Hansen,26,
Carson City,103,Attorney General,Adam Laxalt,301,
Carson City,103,Attorney General,Ross Miller,403,
Carson City,103,Attorney General,None Of These Candidates,19,
Carson City,103,Governor,Robert Goodman,117,
Carson City,103,Governor,None Of These Candidates,35,
Carson City,103,Governor,Brian Sandoval,584,
Carson City,103,Governor,David Vanderbeek,15,
Carson City,103,State House,Dave Cook,235,40
Carson City,103,State House,Philip O'Neill,452,40
Carson City,103,State House,John Wagner,49,40
Carson City,103,State Senate,John Everhart,37,16
Carson City,103,State Senate,Michael Kelley,244,16
Carson City,103,State Senate,Ben Kieckhefer,454,16
Carson City,103,U.S. House,Mark Amodei,506,2
Carson City,103,U.S. House,Janine Hansen,29,2
Carson City,103,U.S. House,Kristen Spees,214,2
Carson City,105,Attorney General,Jonathan Hansen,30,
Carson City,105,Attorney General,Adam Laxalt,414,
Carson City,105,Attorney General,Ross Miller,351,
Carson City,105,Attorney General,None Of These Candidates,18,
Carson City,105,Governor,Robert Goodman,71,
Carson City,105,Governor,None Of These Candidates,38,
Carson City,105,Governor,Brian Sandoval,686,
Carson City,105,Governor,David Vanderbeek,13,
Carson City,105,State House,Dave Cook,171,40
Carson City,105,State House,Philip O'Neill,575,40
Carson City,105,State House,John Wagner,43,40
Carson City,105,State Senate,John Everhart,50,16
Carson City,105,State Senate,Michael Kelley,174,16
Carson City,105,State Senate,Ben Kieckhefer,567,16
Carson City,105,U.S. House,Mark Amodei,618,2
Carson City,105,U.S. House,Janine Hansen,23,2
Carson City,105,U.S. House,Kristen Spees,167,2
Carson City,107,Attorney General,Jonathan Hansen,37,
Carson City,107,Attorney General,Adam Laxalt,426,
Carson City,107,Attorney General,Ross Miller,318,
Carson City,107,Attorney General,None Of These Candidates,19,
Carson City,107,Governor,Robert Goodman,87,
Carson City,107,Governor,None Of These Candidates,18,
Carson City,107,Governor,Brian Sandoval,670,
Carson City,107,Governor,David Vanderbeek,27,
Carson City,107,State House,Dave Cook,189,40
Carson City,107,State House,Philip O'Neill,551,40
Carson City,107,State House,John Wagner,45,40
Carson City,107,State Senate,John Everhart,46,16
Carson City,107,State Senate,Michael Kelley,183,16
Carson City,107,State Senate,Ben Kieckhefer,548,16
Carson City,107,U.S. House,Mark Amodei,603,2
Carson City,107,U.S. House,Janine Hansen,29,2
Carson City,107,U.S. House,Kristen Spees,163,2
Carson City,109,Attorney General,Jonathan Hansen,37,
Carson City,109,Attorney General,Adam Laxalt,375,
Carson City,109,Attorney General,Ross Miller,399,
Carson City,109,Attorney General,None Of These Candidates,27,
Carson City,109,Governor,Robert Goodman,113,
Carson City,109,Governor,None Of These Candidates,29,
Carson City,109,Governor,Brian Sandoval,679,
Carson City,109,Governor,David Vanderbeek,23,
Carson City,109,State House,Dave Cook,219,40
Carson City,109,State House,Philip O'Neill,549,40
Carson City,109,State House,John Wagner,52,40
Carson City,109,State Senate,John Everhart,62,16
Carson City,109,State Senate,Michael Kelley,223,16
Carson City,109,State Senate,Ben Kieckhefer,524,16
Carson City,109,U.S. House,Mark Amodei,596,2
Carson City,109,U.S. House,Janine Hansen,41,2
Carson City,109,U.S. House,Kristen Spees,200,2
Carson City,111,Attorney General,Jonathan Hansen,45,
Carson City,111,Attorney General,Adam Laxalt,270,
Carson City,111,Attorney General,Ross Miller,214,
Carson City,111,Attorney General,None Of These Candidates,17,
Carson City,111,Governor,Robert Goodman,115,
Carson City,111,Governor,None Of These Candidates,12,
Carson City,111,Governor,Brian Sandoval,392,
Carson City,111,Governor,David Vanderbeek,28,
Carson City,111,State House,Dave Cook,180,40
Carson City,111,State House,Philip O'Neill,298,40
Carson City,111,State House,John Wagner,56,40
Carson City,111,State Senate,John Everhart,65,16
Carson City,111,State Senate,Michael Kelley,172,16
Carson City,111,State Senate,Ben Kieckhefer,301,16
Carson City,111,U.S. House,Mark Amodei,333,2
Carson City,111,U.S. House,Janine Hansen,49,2
Carson City,111,U.S. House,Kristen Spees,161,2
Carson City,113,Attorney General,Jonathan Hansen,55,
Carson City,113,Attorney General,Adam Laxalt,456,
Carson City,113,Attorney General,Ross Miller,388,
Carson City,113,Attorney General,None Of These Candidates,32,
