candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.42%,72,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BUSH, GEORGE W. Incumbent",REP,64.93%,"11,136",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"COBB, DAVID",GRN,0.15%,26,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"KERRY, JOHN F.",DEM,32.87%,"5,637",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",IND,0.71%,122,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"PEROUTKA, MICHAEL A.",IAP,0.31%,53,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
None of these Candidates,,0.61%,105,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"HURST, THOMAS L.",LIB,0.88%,148,UNITED STATES SENATOR
"MARINCH, GARY",NAT,0.32%,54,UNITED STATES SENATOR
"REID, HARRY Incumbent",DEM,44.68%,"7,526",UNITED STATES SENATOR
"SCHUMANN, DAVID K.",IAP,1.33%,224,UNITED STATES SENATOR
"ZISER, RICHARD",REP,51.25%,"8,633",UNITED STATES SENATOR
None of these Candidates,,1.55%,261,UNITED STATES SENATOR
"COCHRAN, ANGIE G.",DEM,24.07%,"4,031",REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,70.54%,"11,812",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,4.18%,700,REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,1.21%,203,REPRESENTATIVE IN CONGRESS DISTRICT 2
"GREENWELL, KENNETH E.",IAP,3.11%,48,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"MCGINNESS, MIKE Incumbent",REP,79.23%,"1,221","STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"WARMAN, FREDDIE L.",DEM,17.65%,272,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"GOMEZ, DENNIS",IAP,3.59%,594,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM Incumbent",REP,61.01%,"10,101","STATE ASSEMBLY, DISTRICT 38"
"JAMES, CATHYLEE",DEM,35.40%,"5,861","STATE ASSEMBLY, DISTRICT 38"
"HARDESTY, JIM",NP,60.74%,"9,857",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,25.90%,"4,203",SUPREME COURT JUSTICE SEAT A
None of these Candidates,,13.36%,"2,169",SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,33.41%,"5,384",SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,50.76%,"8,180",SUPREME COURT JUSTICE SEAT E
None of these Candidates,,15.84%,"2,552",SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,43.40%,"6,841",SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,31.20%,"4,917",SUPREME COURT JUSTICE SEAT F
None of these Candidates,,25.40%,"4,003",SUPREME COURT JUSTICE SEAT F
"MILZ, BOB",REP,61.64%,"10,083",COUNTY COMMISSIONER DISTRICT I (Lyon)
"REID, HOWARD P.",DEM,38.36%,"6,275",COUNTY COMMISSIONER DISTRICT I (Lyon)
"DALTON, STEVEN J.",DEM,37.16%,"6,063",COUNTY COMMISSIONER DISTRICT III (Lyon)
"TIBBALS, DON H.",REP,62.84%,"10,255",COUNTY COMMISSIONER DISTRICT III (Lyon)
"GOODMAN, LEROY",REP,100.00%,"13,640",COUNTY COMMISSIONER DISTRICT IV (Lyon)
"THOMPSON, CLIFFORD A.",NP,46.59%,"6,538",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT V
"WILLISS, MAUREEN",NP,53.41%,"7,494",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT V
"COLLETTA, RUSSELL L.",NP,55.93%,"7,916",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT VII
"POMMERENING, DAN",NP,44.07%,"6,237",LYON COUNTY SCHOOL DISTRICT TRUSTEE DISTRICT VII
"ZIERENBERG, RICK",NP,63.79%,"3,924",CENTRAL LYON FIRE PROTECTION DIRECTORS DISTRICT IV
