candidate,party,percent,votes,office
"BROWN, ROBERT",REP,13.61%,86,UNITED STATES SENATOR (Republican)
"MELTON, ROYLE WILLIAM",REP,14.08%,89,UNITED STATES SENATOR (Republican)
POLIAK,REP,1.74%,11,UNITED STATES SENATOR (Republican)
"TILLEY, CHERIE M.",REP,8.54%,54,UNITED STATES SENATOR (Republican)
"WEGNER, KENNETH A.",REP,21.52%,136,UNITED STATES SENATOR (Republican)
"ZISER, RICHARD",REP,15.35%,97,UNITED STATES SENATOR (Republican)
None of these Candidates,,25.16%,159,UNITED STATES SENATOR (Republican)
"BENNETT, DAVID JEROME",DEM,46.02%,185,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,53.98%,217,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,6.63%,89,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,52.76%,708,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,2.61%,35,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,19.08%,256,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,18.93%,254,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,17.94%,241,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,29.86%,401,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,27.77%,373,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,5.81%,78,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,18.62%,250,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"BENOLKIN, ANDREW C.",REP,18.48%,119,COUNTY COMMISSIONER SEAT A (Republican)
"BLOYED, DARIN",REP,25.31%,163,COUNTY COMMISSIONER SEAT A (Republican)
"DENIER, BILL",REP,14.13%,91,COUNTY COMMISSIONER SEAT A (Republican)
"GOKEY, MELVIN",REP,26.71%,172,COUNTY COMMISSIONER SEAT A (Republican)
"SORANI, RICHARD E.",REP,15.37%,99,COUNTY COMMISSIONER SEAT A (Republican)
"ATWATER, DAVID E.",REP,28.33%,170,COUNTY COMMISSIONER SEAT B (Republican)
"SHANK, JOHN W.",REP,31.33%,188,COUNTY COMMISSIONER SEAT B (Republican)
"SHULTZ, BARRY G.",REP,40.33%,242,COUNTY COMMISSIONER SEAT B (Republican)
"AYOOB, DAVE",DEM,56.58%,271,COUNTY COMMISSIONER SEAT B (Democratic)
"CAMPBELL, BARTT",DEM,27.56%,132,COUNTY COMMISSIONER SEAT B (Democratic)
"LUSARDI, L.E.",DEM,15.87%,76,COUNTY COMMISSIONER SEAT B (Democratic)
"LUKE, BRUCE",NP,26.72%,357,"HOSPITAL BOARD OF TRUSTEES, SEAT A (Nonpartisan)"
"PIERCE, JOE L.",NP,17.66%,236,"HOSPITAL BOARD OF TRUSTEES, SEAT A (Nonpartisan)"
"WAGNER, RICHARD CARL",NP,55.61%,743,"HOSPITAL BOARD OF TRUSTEES, SEAT A (Nonpartisan)"
"HOSTMAN, MARK R.",NP,100.00%,"1,206","HOSPITAL BOARD OF TRUSTEES, SEAT B (Nonpartisan)"
"PLIMPTON, TODD",NP,100.00%,"1,025","SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT B (Nonpartisan)"
