candidate,party,percent,votes,office
"BROWN, ROBERT",REP,15.36%,206,U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,12.23%,164,U.S. Senate (Republican)
POLIAK,REP,1.49%,20,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,9.10%,122,U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,15.81%,212,U.S. Senate (Republican)
"ZISER, RICHARD",REP,21.10%,283,U.S. Senate (Republican)
None of these Candidates,,24.91%,334,U.S. Senate (Republican)
"BENNETT, DAVID JEROME",DEM,44.37%,268,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,55.63%,336,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,9.02%,200,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,62.35%,"1,383",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,2.71%,60,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,14.65%,325,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,11.27%,250,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,15.28%,337,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,28.38%,626,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,34.59%,763,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,7.52%,166,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,14.23%,314,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"FEEMSTER, LONNIE L.",DEM,34.48%,80,STATE ASSEMBLY DISTRICT 32 (Democratic)
"MORROW, JOAN",DEM,65.52%,152,STATE ASSEMBLY DISTRICT 32 (Democratic)
"AMOS, JR, GARLEY",REP,30.63%,423,COUNTY COMMISSIONER SEAT D (Republican)
"HAMMOND, HOWARD E.",REP,29.69%,410,COUNTY COMMISSIONER SEAT D (Republican)
"SCHREMPP, RONALD E.",REP,39.68%,548,COUNTY COMMISSIONER SEAT D (Republican)
"BOSCH, SUSAN",NP,100.00%,"1,933",HOSPITAL DISTRICT TRUSTEE SEAT A (Nonpartisan)
"HAMMARGREN, WILLIAM J.",NP,100.00%,"1,902",HOSPITAL DISTRICT TRUSTEE SEAT C (Nonpartisan)
"SCHREMPP, LINDA L.",NP,100.00%,"1,786",SCHOOL BOARD TRUSTEE SEAT C (Nonpartisan)
"MOSS, BARBRA",NP,100.00%,"1,798",SCHOOL BOARD TRUSTEE SEAT D (Nonpartisan)
