candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.41%,22,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BUSH, GEORGE W. Incumbent",REP,72.59%,"3,896",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"COBB, DAVID",GRN,0.20%,11,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"KERRY, JOHN F.",DEM,25.36%,"1,361",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",IND,0.65%,35,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"PEROUTKA, MICHAEL A.",IAP,0.22%,12,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
None of these Candidates,,0.56%,30,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"HURST, THOMAS L.",LIB,1.39%,73,UNITED STATES SENATOR
"MARINCH, GARY",NAT,0.19%,10,UNITED STATES SENATOR
"REID, HARRY Incumbent",DEM,47.98%,"2,524",UNITED STATES SENATOR
"SCHUMANN, DAVID K.",IAP,1.62%,85,UNITED STATES SENATOR
"ZISER, RICHARD",REP,46.22%,"2,431",UNITED STATES SENATOR
None of these Candidates,,2.60%,137,UNITED STATES SENATOR
"COCHRAN, ANGIE G.",DEM,16.66%,873,REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,78.63%,"4,120",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,3.44%,180,REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,1.28%,67,REPRESENTATIVE IN CONGRESS DISTRICT 2
"JEFFERSON, THOMAS",IAP,16.72%,846,"STATE SENATE, NORTHERN SENATORIAL DISTRICT"
"RHOADS, DEAN A. Incumbent",REP,83.28%,"4,215","STATE SENATE, NORTHERN SENATORIAL DISTRICT"
"MARVEL, JOHN Incumbent",REP,81.40%,"1,370","STATE ASSEMBLY, DISTRICT 32"
"MORROW, JOAN",DEM,18.60%,313,"STATE ASSEMBLY, DISTRICT 32"
"CARPENTER, JOHN C. Incumbent",REP,100.00%,601,"STATE ASSEMBLY, DISTRICT 33"
"DEBRAGA, MARCIA",DEM,32.15%,890,"STATE ASSEMBLY, DISTRICT 35"
"GOICOECHEA, PETE Incumbent",REP,65.32%,"1,808","STATE ASSEMBLY, DISTRICT 35"
"TRACY, JR, LINWOOD E.",IAP,2.53%,70,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JIM",NP,62.11%,"3,152",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,22.92%,"1,163",SUPREME COURT JUSTICE SEAT A
None of these Candidates,,14.98%,760,SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,36.22%,"1,829",SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,47.09%,"2,378",SUPREME COURT JUSTICE SEAT E
None of these Candidates,,16.69%,843,SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,40.14%,"1,980",SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,31.60%,"1,559",SUPREME COURT JUSTICE SEAT F
None of these Candidates,,28.26%,"1,394",SUPREME COURT JUSTICE SEAT F
"AIAZZI, STAN",NP,42.26%,"1,926",UNIVERSITY BOARD OF REGENTS DISTRICT 8
"GALLAGHER, DOROTHY S.",NP,57.74%,"2,632",UNIVERSITY BOARD OF REGENTS DISTRICT 8
"FRANSWAY, TOM",REP,100.00%,"4,391",COUNTY COMMISSIONER SEAT A
"MILTON, III, JOHN H.",REP,100.00%,"4,323",COUNTY COMMISSIONER SEAT B
"AMOS, JR, GARLEY",REP,52.46%,"2,644",COUNTY COMMISSIONER SEAT D
"SCHREMPP, RONALD E.",REP,47.54%,"2,396",COUNTY COMMISSIONER SEAT D
"ANTHONY, JERRY B.",NP,52.79%,"2,321",Humboldt County HOSPITAL DISTRICT TRUSTEE SEAT D
"COLBY, ROGER J.",NP,47.21%,"2,076",Humboldt County HOSPITAL DISTRICT TRUSTEE SEAT D
"AUSTIN, DONNA MAE",NP,59.81%,64,Golconda FIRE PROTECTION DISTRICT SEAT C
"WHITEHEAD, VALERIE",NP,40.19%,43,Golconda FIRE PROTECTION DISTRICT SEAT C
"MICHAEL, BRIAN",NP,30.70%,35,Golconda FIRE PROTECTION DISTRICT SEAT E
"WARDEN, FRED D.",NP,69.30%,79,Golconda FIRE PROTECTION DISTRICT SEAT E
Yes,,45.29%,"2,354",STATE QUESTION 1
No,,54.71%,"2,844",STATE QUESTION 1
Yes,,40.74%,"2,111",STATE QUESTION 2
No,,59.26%,"3,071",STATE QUESTION 2
Yes,,60.13%,"3,123",STATE QUESTION 3
No,,39.87%,"2,071",STATE QUESTION 3
Yes,,36.29%,"1,884",STATE QUESTION 4
No,,63.71%,"3,307",STATE QUESTION 4
Yes,,37.68%,"1,959",STATE QUESTION 5
No,,62.32%,"3,240",STATE QUESTION 5
Yes,,64.57%,"3,393",STATE QUESTION 6
No,,35.43%,"1,862",STATE QUESTION 6
Yes,,51.54%,"2,634",STATE QUESTION 7
No,,48.46%,"2,477",STATE QUESTION 7
Yes,,36.61%,"1,843",STATE QUESTION 8
No,,63.39%,"3,191",STATE QUESTION 8
