candidate,party,percent,votes,office
"BROWN, ROBERT",REP,20.22%,"12,603",U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,4.56%,"2,840",U.S. Senate (Republican)
POLIAK,REP,1.60%,997,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,8.73%,"5,439",U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,14.88%,"9,275",U.S. Senate (Republican)
"ZISER, RICHARD",REP,37.21%,"23,197",U.S. Senate (Republican)
None of these Candidates,,10.73%,"6,689",U.S. Senate (Republican)
"BYER, LEWIS A.",REP,24.88%,"4,806",REPRESENTATIVE IN CONGRESS DISTRICT 1 (Republican)
"MICKELSON, RUSS",REP,61.43%,"11,868",REPRESENTATIVE IN CONGRESS DISTRICT 1 (Republican)
"TAMEZ, FRANCISCO E.",REP,10.49%,"2,026",REPRESENTATIVE IN CONGRESS DISTRICT 1 (Republican)
"BERKLEY, SHELLEY",DEM,80.16%,"27,765",REPRESENTATIVE IN CONGRESS DISTRICT 1 (Democratic)
"KRAL, BRIAN",DEM,6.96%,"2,412",REPRESENTATIVE IN CONGRESS DISTRICT 1 (Democratic)
"REYNOLDS, ANN",DEM,9.26%,"3,208",REPRESENTATIVE IN CONGRESS DISTRICT 1 (Democratic)
"BENNETT, DAVID JEROME",DEM,54.04%,862,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,44.51%,710,REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"BUDETICH, MARK",DEM,5.32%,"1,833",REPRESENTATIVE IN CONGRESS DISTRICT 3 (Democratic)
"DEVOE, RICK",DEM,6.44%,"2,217",REPRESENTATIVE IN CONGRESS DISTRICT 3 (Democratic)
"GALLAGHER, TOM",DEM,67.79%,"23,349",REPRESENTATIVE IN CONGRESS DISTRICT 3 (Democratic)
"NEVENIC, ANNA",DEM,6.50%,"2,239",REPRESENTATIVE IN CONGRESS DISTRICT 3 (Democratic)
"PHILLIPS, SHANNA",DEM,7.47%,"2,573",REPRESENTATIVE IN CONGRESS DISTRICT 3 (Democratic)
"VON FELDEN, RON",DEM,4.02%,"1,383",REPRESENTATIVE IN CONGRESS DISTRICT 3 (Democratic)
"COLASUONO, CHRIS",DEM,8.89%,432,STATE SENATE DISTRICT 1 (Democratic)
"LEE, JOHN",DEM,43.35%,"2,106",STATE SENATE DISTRICT 1 (Democratic)
"ROGERS, GARY M.",DEM,7.39%,359,STATE SENATE DISTRICT 1 (Democratic)
"SCHAEFER, MIKE",DEM,18.98%,922,STATE SENATE DISTRICT 1 (Democratic)
"SHAFFER, SHARON",DEM,20.03%,973,STATE SENATE DISTRICT 1 (Democratic)
"CREAR, CEDRIC",DEM,21.12%,"1,811",STATE SENATE DISTRICT 4 (Democratic)
"HORSFORD, STEVEN",DEM,48.49%,"4,157",STATE SENATE DISTRICT 4 (Democratic)
"HOWARD, LINDA",DEM,12.50%,"1,072",STATE SENATE DISTRICT 4 (Democratic)
