candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.51%,78,President
"BUSH, GEORGE W. Incumbent",REP,77.98%,"11,938",President
"COBB, DAVID",GRN,0.11%,17,President
"KERRY, JOHN F.",DEM,19.92%,"3,050",President
"NADER, RALPH",IND,0.56%,85,President
"PEROUTKA, MICHAEL A.",IAP,0.35%,53,President
None of these Candidates,,0.57%,88,President
"HURST, THOMAS L.",LIB,1.80%,270,U.S. Senate
"MARINCH, GARY",NAT,0.55%,82,U.S. Senate
"REID, HARRY Incumbent",DEM,40.57%,"6,084",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.77%,265,U.S. Senate
"ZISER, RICHARD",REP,52.76%,"7,912",U.S. Senate
None of these Candidates,,2.56%,384,U.S. Senate
"COCHRAN, ANGIE G.",DEM,15.28%,"2,282",REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,79.10%,"11,809",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,4.22%,630,REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,1.40%,209,REPRESENTATIVE IN CONGRESS DISTRICT 2
"JEFFERSON, THOMAS",IAP,20.51%,"2,992","STATE SENATE, NORTHERN SENATORIAL DISTRICT"
"RHOADS, DEAN A. Incumbent",REP,79.49%,"11,596","STATE SENATE, NORTHERN SENATORIAL DISTRICT"
"CARPENTER, JOHN C. Incumbent",REP,100.00%,"11,824","STATE ASSEMBLY, DISTRICT 33"
"HARDESTY, JIM",NP,59.94%,"8,668",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,23.08%,"3,337",SUPREME COURT JUSTICE SEAT A
None of these Candidates,,16.98%,"2,456",SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,40.15%,"5,741",SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,36.89%,"5,275",SUPREME COURT JUSTICE SEAT E
None of these Candidates,,22.96%,"3,283",SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,40.02%,"5,658",SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,31.38%,"4,437",SUPREME COURT JUSTICE SEAT F
None of these Candidates,,28.60%,"4,043",SUPREME COURT JUSTICE SEAT F
"AIAZZI, STAN",NP,49.30%,"6,924",UNIVERSITY BOARD OF REGENTS DISTRICT 8
"GALLAGHER, DOROTHY S.",NP,50.70%,"7,122",UNIVERSITY BOARD OF REGENTS DISTRICT 8
"NANNINI, MIKE",DEM,100.00%,"11,321",COUNTY COMMISSIONER DISTRICT 1 (Elko)
"ELLISON, JOHN",REP,76.90%,"11,122",COUNTY COMMISSIONER DISTRICT 3 (Elko)
"JEFFERSON, DOROTHY",IAP,23.10%,"3,341",COUNTY COMMISSIONER DISTRICT 3 (Elko)
"RUSSELL, WARREN",REP,70.65%,"10,171",COUNTY COMMISSIONER DISTRICT 5 (Elko)
"SMITH, MICHAEL L.",IAP,29.35%,"4,225",COUNTY COMMISSIONER DISTRICT 5 (Elko)
"KERR, ANNETTE",NP,55.72%,"7,494",SCHOOL BOARD OF TRUSTEES DISTRICT 3
"WILLIAMS, JERRY",NP,44.28%,"5,955",SCHOOL BOARD OF TRUSTEES DISTRICT 3
"FOBES, GORDON L.",NP,44.56%,"5,852",SCHOOL BOARD OF TRUSTEES DISTRICT 4
"WILKERSON, BILL",NP,55.44%,"7,281",SCHOOL BOARD OF TRUSTEES DISTRICT 4
"BASANEZ, LOUISE",NP,56.51%,"7,493",SCHOOL BOARD OF TRUSTEES DISTRICT 7
"POLISH, MARY ANN",NP,43.49%,"5,766",SCHOOL BOARD OF TRUSTEES DISTRICT 7
"BANGEN, MICHAEL H.",NP,49.13%,"4,687",ELKO TELEVISION SEAT E
"HANCE, BILL",NP,50.87%,"4,853",ELKO TELEVISION SEAT E
"LLOYD, NOLAN",NP,48.12%,"5,302",ELKO CIVIC AUDITORIUM BOARD SEAT A
"MORFIN, GARY H.",NP,51.88%,"5,716",ELKO CIVIC AUDITORIUM BOARD SEAT A
"COLLETT, JOHN L.",NP,46.13%,"5,102",ELKO CIVIC AUDITORIUM BOARD SEAT C
"HUCKABY, DAVID R.",NP,53.87%,"5,959",ELKO CIVIC AUDITORIUM BOARD SEAT C
"BARBOZA, ANGEL M.",NP,47.62%,260,EASTLINE TOWNSHIP JUSTICE OF THE PEACE
"GRANT, LAURA",NP,52.38%,286,EASTLINE TOWNSHIP JUSTICE OF THE PEACE
Yes,,48.72%,"7,197",STATE QUESTION 1
No,,51.28%,"7,574",STATE QUESTION 1
Yes,,45.15%,"6,668",STATE QUESTION 2
No,,54.85%,"8,101",STATE QUESTION 2
Yes,,67.87%,"10,093",STATE QUESTION 3
No,,32.13%,"4,777",STATE QUESTION 3
Yes,,35.45%,"5,272",STATE QUESTION 4
