precinct,office,candidate,votes
Precinct 1,County Commissioner Seat A,"FRANSWAY, TOM",384
Precinct 1,County Commissioner Seat B,"MILTON, JOHN H.",391
Precinct 1,County Commissioner Seat D,"AMOS, GARLEY",250
Precinct 1,County Commissioner Seat D,"SCHREMPP, RONALD E.",196
Precinct 1,"Humboldt County Hospital Dist Trustee, Seat D","ANTHONY, JERRY B.",207
Precinct 1,"Humboldt County Hospital Dist Trustee, Seat D","COLBY, ROGER J.",192
Precinct 1,President and Vice President of the United States,"BADNARIK, MICHAEL",3
Precinct 1,President and Vice President of the United States,"BUSH, GEORGE W.",340
Precinct 1,President and Vice President of the United States,"COBB, DAVID",1
Precinct 1,President and Vice President of the United States,"KERRY, JOHN F.",131
Precinct 1,President and Vice President of the United States,"NADER, RALPH",4
Precinct 1,President and Vice President of the United States,None Of These Candidates,2
Precinct 1,President and Vice President of the United States,"PEROUTKA, MICHAEL A.",3
Precinct 1,"State Assembly, District 32","MARVEL, JOHN",384
Precinct 1,"State Assembly, District 32","MORROW, JOAN",82
Precinct 1,"State Senate, Rural Senatorial District","JEFFERSON, THOMAS",73
Precinct 1,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",379
Precinct 1,"Supreme Court Justice, Seat A","HARDESTY, JIM",296
Precinct 1,"Supreme Court Justice, Seat A",None Of These Candidates,70
Precinct 1,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",92
Precinct 1,"Supreme Court Justice, Seat E","MASON, JOHN E.",150
Precinct 1,"Supreme Court Justice, Seat E",None Of These Candidates,68
Precinct 1,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",238
Precinct 1,"Supreme Court Justice, Seat F","Douglas, Michael L.",196
Precinct 1,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",117
Precinct 1,"Supreme Court Justice, Seat F",None Of These Candidates,127
Precinct 1,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",85
Precinct 1,"U.S. Representative in Congress, District 2","GIBBONS, JIM",366
Precinct 1,"U.S. Representative in Congress, District 2","HANSEN, JANINE",16
Precinct 1,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",7
Precinct 1,United States Senator,"HURST, THOMAS L.",10
Precinct 1,United States Senator,"MARINCH, GARY",0
Precinct 1,United States Senator,None Of These Candidates,13
Precinct 1,United States Senator,"REID, HARRY",229
Precinct 1,United States Senator,"SCHUMANN, DAVID K.",8
Precinct 1,United States Senator,"ZISER, RICHARD",212
Precinct 1,"University Board of Regents, District  8","AIAZZI, STAN",179
Precinct 1,"University Board of Regents, District  8","GALLAGHER, DOROTHY S.",229
Precinct 10,County Commissioner Seat A,"FRANSWAY, TOM",92
Precinct 10,County Commissioner Seat B,"MILTON, JOHN H.",83
Precinct 10,County Commissioner Seat D,"AMOS, GARLEY",81
Precinct 10,County Commissioner Seat D,"SCHREMPP, RONALD E.",23
Precinct 10,"Humboldt County Hospital Dist Trustee, Seat D","ANTHONY, JERRY B.",55
Precinct 10,"Humboldt County Hospital Dist Trustee, Seat D","COLBY, ROGER J.",40
Precinct 10,President and Vice President of the United States,"BADNARIK, MICHAEL",0
Precinct 10,President and Vice President of the United States,"BUSH, GEORGE W.",55
Precinct 10,President and Vice President of the United States,"COBB, DAVID",2
Precinct 10,President and Vice President of the United States,"KERRY, JOHN F.",64
Precinct 10,President and Vice President of the United States,"NADER, RALPH",1
Precinct 10,President and Vice President of the United States,None Of These Candidates,0
Precinct 10,President and Vice President of the United States,"PEROUTKA, MICHAEL A.",0
Precinct 10,"State Assembly, District 33","CARPENTER, JOHN C.",80
Precinct 10,"State Senate, Rural Senatorial District","JEFFERSON, THOMAS",36
Precinct 10,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",78
Precinct 10,"Supreme Court Justice, Seat A","HARDESTY, JIM",40
Precinct 10,"Supreme Court Justice, Seat A",None Of These Candidates,32
Precinct 10,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",36
Precinct 10,"Supreme Court Justice, Seat E","MASON, JOHN E.",23
Precinct 10,"Supreme Court Justice, Seat E",None Of These Candidates,34
Precinct 10,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",56
Precinct 10,"Supreme Court Justice, Seat F","Douglas, Michael L.",43
Precinct 10,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",25
Precinct 10,"Supreme Court Justice, Seat F",None Of These Candidates,43
Precinct 10,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",41
Precinct 10,"U.S. Representative in Congress, District 2","GIBBONS, JIM",67
Precinct 10,"U.S. Representative in Congress, District 2","HANSEN, JANINE",5
Precinct 10,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",2
Precinct 10,United States Senator,"HURST, THOMAS L.",1
Precinct 10,United States Senator,"MARINCH, GARY",2
Precinct 10,United States Senator,None Of These Candidates,5
Precinct 10,United States Senator,"REID, HARRY",87
Precinct 10,United States Senator,"SCHUMANN, DAVID K.",2
Precinct 10,United States Senator,"ZISER, RICHARD",24
Precinct 10,"University Board of Regents, District  8","AIAZZI, STAN",35
Precinct 10,"University Board of Regents, District  8","GALLAGHER, DOROTHY S.",64
Precinct 11,County Commissioner Seat A,"FRANSWAY, TOM",149
Precinct 11,County Commissioner Seat B,"MILTON, JOHN H.",151
Precinct 11,County Commissioner Seat D,"AMOS, GARLEY",86
Precinct 11,County Commissioner Seat D,"SCHREMPP, RONALD E.",83
Precinct 11,"Humboldt County Hospital Dist Trustee, Seat D","ANTHONY, JERRY B.",78
Precinct 11,"Humboldt County Hospital Dist Trustee, Seat D","COLBY, ROGER J.",57
Precinct 11,President and Vice President of the United States,"BADNARIK, MICHAEL",0
Precinct 11,President and Vice President of the United States,"BUSH, GEORGE W.",158
Precinct 11,President and Vice President of the United States,"COBB, DAVID",0
Precinct 11,President and Vice President of the United States,"KERRY, JOHN F.",18
Precinct 11,President and Vice President of the United States,"NADER, RALPH",1
Precinct 11,President and Vice President of the United States,None Of These Candidates,0
Precinct 11,President and Vice President of the United States,"PEROUTKA, MICHAEL A.",0
Precinct 11,"State Assembly, District 33","CARPENTER, JOHN C.",149
Precinct 11,"State Senate, Rural Senatorial District","JEFFERSON, THOMAS",18
Precinct 11,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",153
Precinct 11,"Supreme Court Justice, Seat A","HARDESTY, JIM",107
Precinct 11,"Supreme Court Justice, Seat A",None Of These Candidates,35
Precinct 11,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",24
Precinct 11,"Supreme Court Justice, Seat E","MASON, JOHN E.",48
Precinct 11,"Supreme Court Justice, Seat E",None Of These Candidates,33
Precinct 11,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",79
Precinct 11,"Supreme Court Justice, Seat F","Douglas, Michael L.",45
Precinct 11,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",66
Precinct 11,"Supreme Court Justice, Seat F",None Of These Candidates,48
Precinct 11,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",12
Precinct 11,"U.S. Representative in Congress, District 2","GIBBONS, JIM",156
Precinct 11,"U.S. Representative in Congress, District 2","HANSEN, JANINE",6
Precinct 11,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",1
Precinct 11,United States Senator,"HURST, THOMAS L.",4
Precinct 11,United States Senator,"MARINCH, GARY",1
Precinct 11,United States Senator,None Of These Candidates,6
Precinct 11,United States Senator,"REID, HARRY",33
Precinct 11,United States Senator,"SCHUMANN, DAVID K.",3
Precinct 11,United States Senator,"ZISER, RICHARD",130
Precinct 11,"University Board of Regents, District  8","AIAZZI, STAN",61
Precinct 11,"University Board of Regents, District  8","GALLAGHER, DOROTHY S.",87
Precinct 12,County Commissioner Seat A,"FRANSWAY, TOM",96
Precinct 12,County Commissioner Seat B,"MILTON, JOHN H.",94
Precinct 12,County Commissioner Seat D,"AMOS, GARLEY",66
Precinct 12,County Commissioner Seat D,"SCHREMPP, RONALD E.",63
Precinct 12,"Humboldt County Hospital Dist Trustee, Seat D","ANTHONY, JERRY B.",44
Precinct 12,"Humboldt County Hospital Dist Trustee, Seat D","COLBY, ROGER J.",50
Precinct 12,President and Vice President of the United States,"BADNARIK, MICHAEL",0
Precinct 12,President and Vice President of the United States,"BUSH, GEORGE W.",113
Precinct 12,President and Vice President of the United States,"COBB, DAVID",0
Precinct 12,President and Vice President of the United States,"KERRY, JOHN F.",15
Precinct 12,President and Vice President of the United States,"NADER, RALPH",1
Precinct 12,President and Vice President of the United States,None Of These Candidates,1
Precinct 12,President and Vice President of the United States,"PEROUTKA, MICHAEL A.",0
Precinct 12,"State Assembly, District 33","CARPENTER, JOHN C.",99
Precinct 12,"State Senate, Rural Senatorial District","JEFFERSON, THOMAS",13
Precinct 12,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",110
Precinct 12,"Supreme Court Justice, Seat A","HARDESTY, JIM",91
Precinct 12,"Supreme Court Justice, Seat A",None Of These Candidates,17
Precinct 12,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",12
Precinct 12,"Supreme Court Justice, Seat E","MASON, JOHN E.",40
Precinct 12,"Supreme Court Justice, Seat E",None Of These Candidates,22
Precinct 12,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",57
Precinct 12,"Supreme Court Justice, Seat F","Douglas, Michael L.",43
Precinct 12,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",37
Precinct 12,"Supreme Court Justice, Seat F",None Of These Candidates,30
Precinct 12,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",10
Precinct 12,"U.S. Representative in Congress, District 2","GIBBONS, JIM",114
Precinct 12,"U.S. Representative in Congress, District 2","HANSEN, JANINE",4
Precinct 12,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",0
Precinct 12,United States Senator,"HURST, THOMAS L.",2
Precinct 12,United States Senator,"MARINCH, GARY",0
Precinct 12,United States Senator,None Of These Candidates,3
Precinct 12,United States Senator,"REID, HARRY",35
Precinct 12,United States Senator,"SCHUMANN, DAVID K.",1
Precinct 12,United States Senator,"ZISER, RICHARD",88
Precinct 12,"University Board of Regents, District  8","AIAZZI, STAN",58
Precinct 12,"University Board of Regents, District  8","GALLAGHER, DOROTHY S.",49
Precinct 13,County Commissioner Seat A,"FRANSWAY, TOM",123
Precinct 13,County Commissioner Seat B,"MILTON, JOHN H.",111
Precinct 13,County Commissioner Seat D,"AMOS, GARLEY",77
Precinct 13,County Commissioner Seat D,"SCHREMPP, RONALD E.",73
Precinct 13,"Humboldt County Hospital Dist Trustee, Seat D","ANTHONY, JERRY B.",65
Precinct 13,"Humboldt County Hospital Dist Trustee, Seat D","COLBY, ROGER J.",65
Precinct 13,President and Vice President of the United States,"BADNARIK, MICHAEL",2
Precinct 13,President and Vice President of the United States,"BUSH, GEORGE W.",112
Precinct 13,President and Vice President of the United States,"COBB, DAVID",0
Precinct 13,President and Vice President of the United States,"KERRY, JOHN F.",52
Precinct 13,President and Vice President of the United States,"NADER, RALPH",3
Precinct 13,President and Vice President of the United States,None Of These Candidates,3
Precinct 13,President and Vice President of the United States,"PEROUTKA, MICHAEL A.",2
Precinct 13,"State Assembly, District 33","CARPENTER, JOHN C.",124
Precinct 13,"State Senate, Rural Senatorial District","JEFFERSON, THOMAS",41
Precinct 13,"State Senate, Rural Senatorial District","RHOADS, DEAN A.",117
Precinct 13,"Supreme Court Justice, Seat A","HARDESTY, JIM",84
Precinct 13,"Supreme Court Justice, Seat A",None Of These Candidates,27
Precinct 13,"Supreme Court Justice, Seat A","STEEL, CYNTHIA ""DIANNE""",48
Precinct 13,"Supreme Court Justice, Seat E","MASON, JOHN E.",65
Precinct 13,"Supreme Court Justice, Seat E",None Of These Candidates,29
Precinct 13,"Supreme Court Justice, Seat E","PARRAGUIRRE, RONALD D.",62
Precinct 13,"Supreme Court Justice, Seat F","Douglas, Michael L.",61
Precinct 13,"Supreme Court Justice, Seat F","HANSEN, JOEL FR",46
Precinct 13,"Supreme Court Justice, Seat F",None Of These Candidates,41
Precinct 13,"U.S. Representative in Congress, District 2","COCHRAN, ANGIE G.",37
Precinct 13,"U.S. Representative in Congress, District 2","GIBBONS, JIM",116
Precinct 13,"U.S. Representative in Congress, District 2","HANSEN, JANINE",8
Precinct 13,"U.S. Representative in Congress, District 2","TRAINOR, BRENDAN J.",5
Precinct 13,United States Senator,"HURST, THOMAS L.",10
Precinct 13,United States Senator,"MARINCH, GARY",0
Precinct 13,United States Senator,None Of These Candidates,0
Precinct 13,United States Senator,"REID, HARRY",75
Precinct 13,United States Senator,"SCHUMANN, DAVID K.",6
Precinct 13,United States Senator,"ZISER, RICHARD",79
Precinct 13,"University Board of Regents, District  8","AIAZZI, STAN",65
Precinct 13,"University Board of Regents, District  8","GALLAGHER, DOROTHY S.",79
Precinct 14,County Commissioner Seat A,"FRANSWAY, TOM",143
Precinct 14,County Commissioner Seat B,"MILTON, JOHN H.",141
Precinct 14,County Commissioner Seat D,"AMOS, GARLEY",88
Precinct 14,County Commissioner Seat D,"SCHREMPP, RONALD E.",78
Precinct 14,"Humboldt County Hospital Dist Trustee, Seat D","ANTHONY, JERRY B.",71
Precinct 14,"Humboldt County Hospital Dist Trustee, Seat D","COLBY, ROGER J.",73
Precinct 14,President and Vice President of the United States,"BADNARIK, MICHAEL",1
Precinct 14,President and Vice President of the United States,"BUSH, GEORGE W.",133
Precinct 14,President and Vice President of the United States,"COBB, DAVID",1
Precinct 14,President and Vice President of the United States,"KERRY, JOHN F.",38
Precinct 14,President and Vice President of the United States,"NADER, RALPH",1
Precinct 14,President and Vice President of the United States,None Of These Candidates,1
Precinct 14,President and Vice President of the United States,"PEROUTKA, MICHAEL A.",0
