candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.38%,39,President
"BUSH, GEORGE W. Incumbent",REP,71.57%,"7,335",President
"COBB, DAVID",GRN,0.10%,10,President
"KERRY, JOHN F.",DEM,26.40%,"2,705",President
"NADER, RALPH",IND,0.64%,66,President
"PEROUTKA, MICHAEL A.",IAP,0.21%,22,President
None of these Candidates,,0.59%,60,President
"HURST, THOMAS L.",LIB,1.00%,102,U.S. Senate
"MARINCH, GARY",NAT,0.37%,38,U.S. Senate
"REID, HARRY Incumbent",DEM,39.20%,"3,995",U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.29%,131,U.S. Senate
"ZISER, RICHARD",REP,55.41%,"5,647",U.S. Senate
None of these Candidates,,2.05%,209,U.S. Senate
"COCHRAN, ANGIE G.",DEM,16.73%,"1,699",REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,77.26%,"7,847",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,4.01%,407,REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,0.96%,98,REPRESENTATIVE IN CONGRESS DISTRICT 2
"GREENWELL, KENNETH E.",IAP,5.40%,548,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"MCGINNESS, MIKE Incumbent",REP,80.42%,"8,155","STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"WARMAN, FREDDIE L.",DEM,13.08%,"1,326","STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"DEBRAGA, MARCIA",DEM,42.85%,"3,010","STATE ASSEMBLY, DISTRICT 35"
"GOICOECHEA, PETE Incumbent",REP,53.55%,"3,762","STATE ASSEMBLY, DISTRICT 35"
"TRACY, JR, LINWOOD E.",IAP,2.69%,189,"STATE ASSEMBLY, DISTRICT 35"
"HOLMGREN, JACKIE A.",IAP,22.73%,413,"STATE ASSEMBLY, DISTRICT 36"
"SHERER, RODERICK R. ""ROD""Incumbent",REP,73.80%,"1,341","STATE ASSEMBLY, DISTRICT 36"
"GOMEZ, DENNIS",IAP,4.30%,55,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM Incumbent",REP,64.08%,819,"STATE ASSEMBLY, DISTRICT 38"
"JAMES, CATHYLEE",DEM,28.87%,369,"STATE ASSEMBLY, DISTRICT 38"
"HARDESTY, JIM",NP,62.17%,"6,223",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,23.87%,"2,389",SUPREME COURT JUSTICE SEAT A
None of these Candidates,,12.19%,"1,220",SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,40.48%,"4,047",SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,42.72%,"4,271",SUPREME COURT JUSTICE SEAT E
None of these Candidates,,14.85%,"1,485",SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,38.93%,"3,857",SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,36.51%,"3,617",SUPREME COURT JUSTICE SEAT F
None of these Candidates,,22.09%,"2,189",SUPREME COURT JUSTICE SEAT F
"AIAZZI, STAN",NP,40.14%,"3,856",UNIVERSITY BOARD OF REGENTS DISTRICT 8
"GALLAGHER, DOROTHY S.",NP,54.36%,"5,222",UNIVERSITY BOARD OF REGENTS DISTRICT 8
"FREY, NORMAN W.",REP,51.35%,"5,146",COUNTY COMMISSIONER DISTRICT 1 (Churchill)
"MELLO, DON",REP,46.57%,"4,667",COUNTY COMMISSIONER DISTRICT 1 (Churchill)
"KELSEY, FRED A.",DEM,22.85%,"2,298",COUNTY COMMISSIONER DISTRICT 3 (Churchill)
"PEARCE, LYNN",REP,75.12%,"7,556",COUNTY COMMISSIONER DISTRICT 3 (Churchill)
"ASH, DAVE",NP,23.29%,"6,675",BOARD OF SCHOOL TRUSTEES
"HINZ, PAUL",NP,12.80%,"3,670",BOARD OF SCHOOL TRUSTEES
"KOENIG, GREGORY S.",NP,20.95%,"6,004",BOARD OF SCHOOL TRUSTEES
"SEVON, SUE",NP,12.09%,"3,464",BOARD OF SCHOOL TRUSTEES
"VINSON, MARCIA K.",NP,10.97%,"3,144",BOARD OF SCHOOL TRUSTEES
"WILEY, THOMAS",NP,12.76%,"3,658",BOARD OF SCHOOL TRUSTEES
Yes,,46.27%,"4,691",STATE QUESTION 1
No,,52.86%,"5,359",STATE QUESTION 1
Yes,,43.70%,"4,427",STATE QUESTION 2
No,,55.37%,"5,610",STATE QUESTION 2
Yes,,65.10%,"6,587",STATE QUESTION 3
No,,33.95%,"3,435",STATE QUESTION 3
Yes,,30.65%,"3,109",STATE QUESTION 4
No,,68.47%,"6,945",STATE QUESTION 4
Yes,,32.23%,"3,275",STATE QUESTION 5
No,,66.93%,"6,800",STATE QUESTION 5
Yes,,64.00%,"6,502",STATE QUESTION 6
No,,35.45%,"3,601",STATE QUESTION 6
Yes,,51.97%,"5,229",STATE QUESTION 7
No,,46.35%,"4,663",STATE QUESTION 7
Yes,,38.65%,"3,872",STATE QUESTION 8
No,,59.39%,"5,950",STATE QUESTION 8
Yes,,67.79%,"6,775",CHURCHILL COUNTY ADVISORY - QUESTION NO. 1
No,,29.86%,"2,984",CHURCHILL COUNTY ADVISORY - QUESTION NO. 1
