candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.36%,"1,944",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BUSH, GEORGE W. Incumbent",REP,46.82%,"255,337",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"COBB, DAVID",GRN,0.09%,516,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"KERRY, JOHN F.",DEM,51.66%,"281,767",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",IND,0.57%,"3,086",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"PEROUTKA, MICHAEL A.",IAP,0.11%,602,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
None of these Candidates,,0.39%,"2,145",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"HURST, THOMAS L.",LIB,1.22%,"6,487",UNITED STATES SENATOR
"MARINCH, GARY",NAT,0.23%,"1,222",UNITED STATES SENATOR
"REID, HARRY Incumbent",DEM,65.02%,"345,694",UNITED STATES SENATOR
"SCHUMANN, DAVID K.",IAP,0.56%,"2,988",UNITED STATES SENATOR
"ZISER, RICHARD",REP,31.43%,"167,104",UNITED STATES SENATOR
None of these Candidates,,1.54%,"8,207",UNITED STATES SENATOR
"BERKLEY, SHELLEY Incumbent",DEM,65.98%,"133,569",REPRESENTATIVE IN CONGRESS DISTRICT 1
"DUENSING, JIM",LIB,2.90%,"5,862",REPRESENTATIVE IN CONGRESS DISTRICT 1
"MICKELSON, RUSS",REP,31.12%,"63,005",REPRESENTATIVE IN CONGRESS DISTRICT 1
"COCHRAN, ANGIE G.",DEM,39.57%,"6,378",REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,56.47%,"9,103",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,2.44%,393,REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,1.53%,246,REPRESENTATIVE IN CONGRESS DISTRICT 2
"GALLAGHER, TOM",DEM,40.40%,"120,365",REPRESENTATIVE IN CONGRESS DISTRICT 3
"O'DELL, RICHARD WAYNE",IAP,2.03%,"6,053",REPRESENTATIVE IN CONGRESS DISTRICT 3
"PORTER, JON Incumbent",REP,54.46%,"162,240",REPRESENTATIVE IN CONGRESS DISTRICT 3
"SILVESTRI, JOSEPH P.",LIB,3.11%,"9,260",REPRESENTATIVE IN CONGRESS DISTRICT 3
"LEE, JOHN",DEM,61.23%,"18,987","STATE SENATE, CLARK DISTRICT 1"
"SHAFFER, RAY Incumbent",REP,38.77%,"12,024","STATE SENATE, CLARK DISTRICT 1"
"DAVENPORT, LEO",REP,38.78%,"9,974","STATE SENATE, CLARK DISTRICT 3"
"WIENER, VALERIE Incumbent",DEM,61.22%,"15,747","STATE SENATE, CLARK DISTRICT 3"
"HORSFORD, STEVEN",DEM,72.09%,"22,060","STATE SENATE, CLARK DISTRICT 4"
"LUCIER, MABEL FLORENCE",REP,27.91%,"8,540","STATE SENATE, CLARK DISTRICT 4"
"FITZPATRICK, RICHARD",DEM,41.88%,"37,217","STATE SENATE, CLARK DISTRICT 5"
"HAGAN, T. REX",LIB,3.43%,"3,052","STATE SENATE, CLARK DISTRICT 5"
"HECK, JOE",REP,54.68%,"48,593","STATE SENATE, CLARK DISTRICT 5"
"BEERS, BOB",REP,67.51%,"27,259","STATE SENATE, CLARK DISTRICT 6"
"PROFANT, CATHIE LYNN",IAP,32.49%,"13,117","STATE SENATE, CLARK DISTRICT 6"
"FAIRFIELD, PAUL",REP,31.05%,"16,524","STATE SENATE, CLARK DISTRICT 7"
"RUSSO, JOHN DARIUS",IAP,4.71%,"2,506","STATE SENATE, CLARK DISTRICT 7"
"TITUS, DINA Incumbent",DEM,64.25%,"34,194","STATE SENATE, CLARK DISTRICT 7"
"SCHNEIDER, MIKE Incumbent",DEM,53.75%,"13,649","STATE SENATE, CLARK DISTRICT 11"
"TARKANIAN, DANNY",REP,46.25%,"11,746","STATE SENATE, CLARK DISTRICT 11"
"GREENWELL, KENNETH E.",IAP,3.35%,133,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"MCGINNESS, MIKE Incumbent",REP,65.90%,"2,620","STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"WARMAN, FREDDIE L.",DEM,30.76%,"1,223","STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"GOBEL, ED",REP,42.18%,"7,173",STATE ASSEMBLY DISTRICT 1
"KIRKPATRICK, MARILYN K.",DEM,54.12%,"9,203",STATE ASSEMBLY DISTRICT 1
"WILLIAMS, PEGGIE M.",IAP,3.70%,630,STATE ASSEMBLY DISTRICT 1
"MABEY, GARN Incumbent",REP,57.82%,"13,620",STATE ASSEMBLY DISTRICT 2
"VANDERPAL, GEOFFREY",DEM,42.18%,"9,936",STATE ASSEMBLY DISTRICT 2
"BARKER, CLINT",IAP,3.98%,576,STATE ASSEMBLY DISTRICT 3
"PACKER, BRIAN",REP,36.17%,"5,233",STATE ASSEMBLY DISTRICT 3
"PIERCE, PEGGY Incumbent",DEM,59.84%,"8,657",STATE ASSEMBLY DISTRICT 3
"ALLEN, FRANCIS",REP,63.22%,"15,965",STATE ASSEMBLY DISTRICT 4
"ANDREWS, MARK",IAP,36.78%,"9,289",STATE ASSEMBLY DISTRICT 4
"KAPLAN, KIRK",DEM,49.32%,"8,701",STATE ASSEMBLY DISTRICT 5
"WEBER, VALERIE E. Incumbent",REP,50.68%,"8,941",STATE ASSEMBLY DISTRICT 5
"CLARK, CORNELL M.",REP,21.32%,"2,142",STATE ASSEMBLY DISTRICT 6
"MUNFORD, HARVEY J.",DEM,73.86%,"7,421",STATE ASSEMBLY DISTRICT 6
"PETERSEN, ROBERT CLAYNE",IAP,2.00%,201,STATE ASSEMBLY DISTRICT 6
"SCHNEIDER, CHARLES E.",LIB,2.83%,284,STATE ASSEMBLY DISTRICT 6
"ARBERRY, JR, MORSE Incumbent",DEM,70.50%,"9,821",STATE ASSEMBLY DISTRICT 7
"SEWARD, SR., GARY STEVEN",REP,23.11%,"3,220",STATE ASSEMBLY DISTRICT 7
"VAUGHAN, STAN",IND,6.39%,890,STATE ASSEMBLY DISTRICT 7
"BUCKLEY, BARBARA Incumbent",DEM,67.29%,"6,860",STATE ASSEMBLY DISTRICT 8
"PEACOCK, PATRICIA M.",REP,32.71%,"3,335",STATE ASSEMBLY DISTRICT 8
"GIUNCHIGLIANI, CHRIS Incumbent",DEM,79.15%,"7,878",STATE ASSEMBLY DISTRICT 9
"HAYNES, LEE WAYNE",IAP,20.85%,"2,075",STATE ASSEMBLY DISTRICT 9
"BROWN, GLENN",IAP,4.42%,635,STATE ASSEMBLY DISTRICT 10
"HOGAN, JOSEPH M.",DEM,54.75%,"7,873",STATE ASSEMBLY DISTRICT 10
"WILHOITE, REX",REP,40.83%,"5,872",STATE ASSEMBLY DISTRICT 10
"ADAMS, DAVID N.",REP,26.60%,"1,323",STATE ASSEMBLY DISTRICT 11
"MCCLEARY, BOB Incumbent",DEM,73.40%,"3,651",STATE ASSEMBLY DISTRICT 11
"CASUTT, BRANDON",REP,31.80%,"3,921",STATE ASSEMBLY DISTRICT 12
"OHRENSCHALL, GENIE Incumbent",DEM,68.20%,"8,411",STATE ASSEMBLY DISTRICT 12
"CHRISTENSEN, CHAD Incumbent",REP,54.66%,"25,386",STATE ASSEMBLY DISTRICT 13
"JONES, JUSTIN",DEM,41.68%,"19,358",STATE ASSEMBLY DISTRICT 13
