candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.41%,655,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BUSH, GEORGE W. Incumbent",REP,51.26%,"81,545",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"COBB, DAVID",GRN,0.12%,186,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"KERRY, JOHN F.",DEM,47.05%,"74,841",PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",IND,0.56%,898,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"PEROUTKA, MICHAEL A.",IAP,0.15%,237,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
None of these Candidates,,0.45%,717,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"HURST, THOMAS L.",LIB,1.10%,"1,705",UNITED STATES SENATOR
"MARINCH, GARY",NAT,0.27%,416,UNITED STATES SENATOR
"REID, HARRY Incumbent",DEM,58.27%,"90,706",UNITED STATES SENATOR
"SCHUMANN, DAVID K.",IAP,0.90%,"1,399",UNITED STATES SENATOR
"ZISER, RICHARD",REP,37.90%,"58,994",UNITED STATES SENATOR
None of these Candidates,,1.56%,"2,432",UNITED STATES SENATOR
"COCHRAN, ANGIE G.",DEM,30.19%,"46,352",REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,64.37%,"98,836",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,3.47%,"5,333",REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,1.97%,"3,022",REPRESENTATIVE IN CONGRESS DISTRICT 2
"CRAIN, CAMERON",DEM,27.49%,"13,448","STATE SENATE, WASHOE DISTRICT 3"
"FEERO, GARY",IAP,4.87%,"2,383","STATE SENATE, WASHOE DISTRICT 3"
"RAGGIO, BILL Incumbent",REP,67.64%,"33,093","STATE SENATE, WASHOE DISTRICT 3"
"HOLCOMB, BROOKS",REP,47.91%,"8,406","STATE ASSEMBLY, DISTRICT 24"
"LANTIS, PATRICK C.",IAP,6.28%,"1,101","STATE ASSEMBLY, DISTRICT 24"
"LOVE, DAVID C.",DEM,45.81%,"8,037","STATE ASSEMBLY, DISTRICT 24"
"GANSERT, HEIDI SEEVERS",REP,66.58%,"19,167","STATE ASSEMBLY, DISTRICT 25"
"MEYER, DAN",DEM,33.42%,"9,620","STATE ASSEMBLY, DISTRICT 25"
"ANGLE, SHARRON E. Incumbent",REP,60.65%,"17,818","STATE ASSEMBLY, DISTRICT 26"
"JUNTUNEN, PAUL",GRN,2.18%,639,"STATE ASSEMBLY, DISTRICT 26"
"MILLER, GREG",IAP,3.30%,969,"STATE ASSEMBLY, DISTRICT 26"
"MOZEN, PAUL",DEM,33.87%,"9,951","STATE ASSEMBLY, DISTRICT 26"
"LESLIE, SHEILA Incumbent",DEM,62.75%,"9,076","STATE ASSEMBLY, DISTRICT 27"
"MARTIN, LARRY",REP,37.25%,"5,387","STATE ASSEMBLY, DISTRICT 27"
"GUSTAVSON, DON Incumbent",REP,40.96%,"5,493","STATE ASSEMBLY, DISTRICT 30"
"SMITH, DEBBIE",DEM,59.04%,"7,917","STATE ASSEMBLY, DISTRICT 30"
"ANDERSON, BERNIE Incumbent",DEM,59.29%,"8,575","STATE ASSEMBLY, DISTRICT 31"
"THOMPSON, RANDI",REP,40.71%,"5,887","STATE ASSEMBLY, DISTRICT 31"
"MARVEL, JOHN Incumbent",REP,64.71%,"16,484","STATE ASSEMBLY, DISTRICT 32"
"MORROW, JOAN",DEM,35.29%,"8,990","STATE ASSEMBLY, DISTRICT 32"
"DEBRAGA, MARCIA",DEM,52.62%,382,"STATE ASSEMBLY, DISTRICT 35"
"GOICOECHEA, PETE Incumbent",REP,40.22%,292,"STATE ASSEMBLY, DISTRICT 35"
"TRACY, JR, LINWOOD E.",IAP,7.16%,52,"STATE ASSEMBLY, DISTRICT 35"
"GREEN, RANDY F.",IND,31.30%,"1,005","STATE ASSEMBLY, DISTRICT 39"
"HETTRICK, LYNN Incumbent",REP,68.70%,"2,206","STATE ASSEMBLY, DISTRICT 39"
"KNECHT, RON Incumbent",REP,54.27%,750,"STATE ASSEMBLY, DISTRICT 40"
"PARNELL, BONNIE",DEM,41.75%,577,"STATE ASSEMBLY, DISTRICT 40"
"YOCHUM, MERRITT K. ""IKE""",IAP,3.98%,55,"STATE ASSEMBLY, DISTRICT 40"
"HARDESTY, JIM",NP,68.65%,"101,883",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,20.11%,"29,842",SUPREME COURT JUSTICE SEAT A
None of these Candidates,,11.24%,"16,676",SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,30.57%,"44,984",SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,55.72%,"82,001",SUPREME COURT JUSTICE SEAT E
None of these Candidates,,13.71%,"20,173",SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,49.22%,"69,765",SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,27.29%,"38,677",SUPREME COURT JUSTICE SEAT F
None of these Candidates,,23.50%,"33,307",SUPREME COURT JUSTICE SEAT F
"COOK, DAVE",NP,40.15%,"15,801",STATE BOARD OF EDUCATION DISTRICT 9
"MYERS, BARBARA J. Incumbent",NP,59.85%,"23,554",STATE BOARD OF EDUCATION DISTRICT 9
"HILL, DOUG Incumbent",NP,59.86%,"34,509","UNIVERSITY BOARD OF REGENTS, DISTRICT 11"
"PRICE, BOB",NP,40.14%,"23,139","UNIVERSITY BOARD OF REGENTS, DISTRICT 11"
"ATCHESON, LYNN",DEM,47.78%,"18,219",COUNTY COMMISSIONER DISTRICT 1 (Washoe)
"GALLOWAY, JIM",REP,52.22%,"19,912",COUNTY COMMISSIONER DISTRICT 1 (Washoe)
"LARKIN, BOB",REP,51.19%,"17,283",COUNTY COMMISSIONER DISTRICT 4 (Washoe)
"SHAW, JIM",DEM,48.81%,"16,482",COUNTY COMMISSIONER DISTRICT 4 (Washoe)
"SFERRAZZA, PETE",NP,46.27%,"66,822","DISTRICT COURT JUDGE, FAMILY DIVISION DEPARTMENT 11"
"WELLER, CHUCK",NP,53.73%,"77,589","DISTRICT COURT JUDGE, FAMILY DIVISION DEPARTMENT 11"
"CARNE, DANIEL D.",NP,59.57%,"19,144",SCHOOL BOARD TRUSTEE DISTRICT A
"ROJAS-ZIECH, BELLA",NP,40.43%,"12,993",SCHOOL BOARD TRUSTEE DISTRICT A
"PULLMAN, JONNIE",NP,66.52%,"13,714",SCHOOL BOARD TRUSTEE DISTRICT D
"TACKETT, MIKE",NP,33.48%,"6,901",SCHOOL BOARD TRUSTEE DISTRICT D
"MCOMBER, RUSS",NP,36.45%,"8,331",SCHOOL BOARD TRUSTEE DISTRICT E
"RUGGIERO, JODY",NP,63.55%,"14,525",SCHOOL BOARD TRUSTEE DISTRICT E
"NAVARRO, THERESA E.",NP,45.22%,"30,937",SCHOOL BOARD TRUSTEE DISTRICT G
"PRICE, BARBARA A.",NP,54.78%,"37,483",SCHOOL BOARD TRUSTEE DISTRICT G
"BERTSCHI, LISA",NP,13.93%,45,GERLACH GENERAL IMPROVEMENT DISTRICT
"COLT, JOSEPH E.",NP,21.98%,71,GERLACH GENERAL IMPROVEMENT DISTRICT
"CONLEY, EDWARD L. ""BUD""",NP,19.81%,64,GERLACH GENERAL IMPROVEMENT DISTRICT
"COURTNEY, WILLIAM B.",NP,22.60%,73,GERLACH GENERAL IMPROVEMENT DISTRICT
"DUFFY, CHUCK",NP,21.67%,70,GERLACH GENERAL IMPROVEMENT DISTRICT
"CALLICRATE, TIM G.",NP,16.71%,"2,066",INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT
"EPSTEIN, BEA",NP,17.05%,"2,108",INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT
"KAPLAN, DON",NP,13.30%,"1,645",INCLINE VILLAGE GENERAL IMPROVEMENT DISTRICT
