county,precinct,office,candidate,votes,district
Carson City,101,President,David Cobb,0,
Carson City,101,President,George Bush,409,
Carson City,101,President,John Kerry,429,
Carson City,101,President,Michael Peroutka,1,
Carson City,101,President,Michael Badnarik,6,
Carson City,101,President,None Of These Candidates,10,
Carson City,101,President,Ralph Nader,4,
Carson City,101,State House,Merritt. Yochumo,29,40
Carson City,101,State House,Bonnie Parnell,485,40
Carson City,101,State House,Ron Knecht,323,40
Carson City,101,U.S. House,Angie Cochran,291,2
Carson City,101,U.S. House,Brendan Trainor,11,2
Carson City,101,U.S. House,Jim Gibbons,493,2
Carson City,101,U.S. House,Janine Hansen,46,2
Carson City,101,U.S. Senate,David Schumann,13,
Carson City,101,U.S. Senate,Gary Marinch,4,
Carson City,101,U.S. Senate,None Of These Candidates,12,
Carson City,101,U.S. Senate,Harry Reid,514,
Carson City,101,U.S. Senate,Richard Ziser,295,
Carson City,101,U.S. Senate,Thomas Hurst,8,
Carson City,103,President,David Cobb,2,
Carson City,103,President,George Bush,586,
Carson City,103,President,John Kerry,421,
Carson City,103,President,Michael Peroutka,1,
Carson City,103,President,Michael Badnarik,2,
Carson City,103,President,None Of These Candidates,4,
Carson City,103,President,Ralph Nader,4,
Carson City,103,State House,Merritt. Yochumo,15,40
Carson City,103,State House,Bonnie Parnell,581,40
Carson City,103,State House,Ron Knecht,413,40
Carson City,103,U.S. House,Angie Cochran,248,2
Carson City,103,U.S. House,Brendan Trainor,13,2
Carson City,103,U.S. House,Jim Gibbons,714,2
Carson City,103,U.S. House,Janine Hansen,23,2
Carson City,103,U.S. Senate,David Schumann,7,
Carson City,103,U.S. Senate,Gary Marinch,2,
Carson City,103,U.S. Senate,None Of These Candidates,13,
Carson City,103,U.S. Senate,Harry Reid,553,
Carson City,103,U.S. Senate,Richard Ziser,435,
Carson City,103,U.S. Senate,Thomas Hurst,4,
Carson City,105,President,David Cobb,3,
Carson City,105,President,George Bush,629,
Carson City,105,President,John Kerry,296,
Carson City,105,President,Michael Peroutka,0,
Carson City,105,President,Michael Badnarik,2,
Carson City,105,President,None Of These Candidates,4,
Carson City,105,President,Ralph Nader,2,
Carson City,105,State House,Merritt. Yochumo,4,40
Carson City,105,State House,Bonnie Parnell,399,40
Carson City,105,State House,Ron Knecht,513,40
Carson City,105,U.S. House,Angie Cochran,164,2
Carson City,105,U.S. House,Brendan Trainor,12,2
Carson City,105,U.S. House,Jim Gibbons,718,2
Carson City,105,U.S. House,Janine Hansen,21,2
Carson City,105,U.S. Senate,David Schumann,3,
Carson City,105,U.S. Senate,Gary Marinch,1,
Carson City,105,U.S. Senate,None Of These Candidates,7,
Carson City,105,U.S. Senate,Harry Reid,408,
Carson City,105,U.S. Senate,Richard Ziser,507,
Carson City,105,U.S. Senate,Thomas Hurst,2,
Carson City,107,President,David Cobb,2,
Carson City,107,President,George Bush,714,
Carson City,107,President,John Kerry,352,
Carson City,107,President,Michael Peroutka,1,
Carson City,107,President,Michael Badnarik,4,
Carson City,107,President,None Of These Candidates,8,
Carson City,107,President,Ralph Nader,5,
Carson City,107,State House,Merritt. Yochumo,12,40
Carson City,107,State House,Bonnie Parnell,442,40
Carson City,107,State House,Ron Knecht,611,40
Carson City,107,U.S. House,Angie Cochran,196,2
Carson City,107,U.S. House,Brendan Trainor,12,2
Carson City,107,U.S. House,Jim Gibbons,823,2
Carson City,107,U.S. House,Janine Hansen,24,2
Carson City,107,U.S. Senate,David Schumann,8,
Carson City,107,U.S. Senate,Gary Marinch,0,
Carson City,107,U.S. Senate,None Of These Candidates,15,
Carson City,107,U.S. Senate,Harry Reid,484,
Carson City,107,U.S. Senate,Richard Ziser,565,
