candidate,party,percent,votes,office
"BROWN, ROBERT",REP,8.94%,"2,696",U.S. Senate (Republican)
"MELTON, ROYLE WILLIAM",REP,17.68%,"5,333",U.S. Senate (Republican)
POLIAK,REP,1.34%,404,U.S. Senate (Republican)
"TILLEY, CHERIE M.",REP,5.62%,"1,694",U.S. Senate (Republican)
"WEGNER, KENNETH A.",REP,22.32%,"6,732",U.S. Senate (Republican)
"ZISER, RICHARD",REP,29.30%,"8,837",U.S. Senate (Republican)
None of these Candidates,,14.81%,"4,467",U.S. Senate (Republican)
"BENNETT, DAVID JEROME",DEM,50.16%,"9,737",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"COCHRAN, ANGIE G.",DEM,49.84%,"9,676",REPRESENTATIVE IN CONGRESS DISTRICT 2 (Democratic)
"ASHWORTH, DON",NP,7.27%,"4,180",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,69.26%,"39,820",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,5.41%,"3,113",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,12.71%,"7,307",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,5.34%,"3,072",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,15.89%,"8,912",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,28.50%,"15,987",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,39.87%,"22,361",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,8.01%,"4,495",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,7.72%,"4,331",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"COOK, DAVE",NP,37.10%,"5,496",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"MYERS, BARBARA J.",NP,45.71%,"6,772",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"WILKE, STACIE",NP,17.19%,"2,546",STATE BOARD OF EDUCATION DISTRICT 9 (Nonpartisan)
"FEEMSTER, LONNIE L.",DEM,48.69%,"1,509",STATE ASSEMBLY DISTRICT 32 (Democratic)
