candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,500,0.28,President
"BARR, BOB",LIBERTARIAN,788,0.44,President
"MCCAIN, JOHN",REPUBLICAN,76743,42.64,President
"MCKINNEY, CYNTHIA",GREEN,256,0.14,President
"NADER, RALPH",INDEPENDENT,1077,0.60,President
"OBAMA, BARACK",DEMOCRAT,99395,55.22,President
NONE OF THESE CANDIDATES,&nbsp;,1235,0.69,President
"BERGLAND, CRAIG",GREEN,3281,1.90,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,79729,46.25,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,4840,2.81,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,81483,47.26,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,3066,1.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FEERO, GARY",INDEPENDENT AMERICAN,3733,6.91,"STATE SENATE, WASHOE DISTRICT 3"
"RAGGIO, BILL (Incumbent)",REPUBLICAN,34062,63.05,"STATE SENATE, WASHOE DISTRICT 3"
"ZAHREDDINE, JADE",DEMOCRAT,16232,30.04,"STATE SENATE, WASHOE DISTRICT 3"
"BOBZIEN, DAVID (Incumbent)",DEMOCRAT,13206,68.69,"STATE ASSEMBLY, DISTRICT 24"
"GWALTNEY, JOHN W.",REPUBLICAN,6020,31.31,"STATE ASSEMBLY, DISTRICT 24"
"GANSERT, HEIDI S. (Incumbent)",REPUBLICAN,19680,60.16,"STATE ASSEMBLY, DISTRICT 25"
"TOWNSEND, ROBERT",DEMOCRAT,13034,39.84,"STATE ASSEMBLY, DISTRICT 25"
"COBB, TY (Incumbent)",REPUBLICAN,19414,56.96,"STATE ASSEMBLY, DISTRICT 26"
"GIBSON, DAELA",DEMOCRAT,12754,37.42,"STATE ASSEMBLY, DISTRICT 26"
"MILLER, GREG",INDEPENDENT AMERICAN,1915,5.62,"STATE ASSEMBLY, DISTRICT 26"
"JOSEPH, DANIEL",INDEPENDENT AMERICAN,1169,7.75,"STATE ASSEMBLY, DISTRICT 27"
"LESLIE, SHEILA (Incumbent)",DEMOCRAT,10154,67.28,"STATE ASSEMBLY, DISTRICT 27"
"NEAL, VIRGIL PATRICK",REPUBLICAN,3770,24.98,"STATE ASSEMBLY, DISTRICT 27"
"BALDWIN, TRENT",REPUBLICAN,4137,28.65,"STATE ASSEMBLY, DISTRICT 30"
"GILLINGS, RUTH I.",INDEPENDENT AMERICAN,876,6.07,"STATE ASSEMBLY, DISTRICT 30"
"SMITH, DEBBIE (Incumbent)",DEMOCRAT,9425,65.28,"STATE ASSEMBLY, DISTRICT 30"
"ANDERSON, BERNIE (Incumbent)",DEMOCRAT,9850,67.59,"STATE ASSEMBLY, DISTRICT 31"
"LONGTIN, RON",REPUBLICAN,3867,26.54,"STATE ASSEMBLY, DISTRICT 31"
"NORD, JIM",INDEPENDENT AMERICAN,856,5.87,"STATE ASSEMBLY, DISTRICT 31"
"DEAL, MARC",DEMOCRAT,10977,34.47,"STATE ASSEMBLY, DISTRICT 32"
"GUSTAVSON, DON",REPUBLICAN,19233,60.39,"STATE ASSEMBLY, DISTRICT 32"
"KROSHUS, JAMES",INDEPENDENT AMERICAN,1639,5.15,"STATE ASSEMBLY, DISTRICT 32"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,315,41.78,"STATE ASSEMBLY, DISTRICT 35"
"KING, RACHEL MARIE",DEMOCRAT,439,58.22,"STATE ASSEMBLY, DISTRICT 35"
"BROWN, JOETTA",DEMOCRAT,1169,36.30,"STATE ASSEMBLY, DISTRICT 39"
"SCHUMANN, DAVID K.",INDEPENDENT AMERICAN,217,6.74,"STATE ASSEMBLY, DISTRICT 39"
"SETTELMEYER, JAMES A. (Incumbent)",REPUBLICAN,1834,56.96,"STATE ASSEMBLY, DISTRICT 39"
"LAU, CHERYL",REPUBLICAN,767,53.01,"STATE ASSEMBLY, DISTRICT 40"
"PARNELL, BONNIE (Incumbent)",DEMOCRAT,583,40.29,"STATE ASSEMBLY, DISTRICT 40"
"WAGNER, JOHN",INDEPENDENT AMERICAN,97,6.70,"STATE ASSEMBLY, DISTRICT 40"
"PICKERING, MARY ""KRIS""",NONPARTISAN,58210,35.48,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,80688,49.18,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,25156,15.33,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,34803,21.85,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,90934,57.09,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,33531,21.05,"SUPREME COURT JUSTICE, SEAT D"
"NEIDERT, DAVID",NONPARTISAN,42817,28.85,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 4"
"STEINHEIMER, CONNIE",NONPARTISAN,105574,71.15,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 4"
"ADAMS, BRENT",NONPARTISAN,94585,64.16,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 6"
"ZUNINO, GREG",NONPARTISAN,52846,35.84,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 6"
"PERRY, ROBERT H.",NONPARTISAN,83752,57.35,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 9"
"SATTLER, II, ELLIOTT A.",NONPARTISAN,62273,42.65,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 9"
"GARDNER, LINDA",NONPARTISAN,105904,75.47,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 14 FAMILY DIVISION"
"HARADA, ROGER RAYMOND",NONPARTISAN,34423,24.53,"DISTRICT COURT JUDGE, DISTRICT 2, DEPARTMENT 14 FAMILY DIVISION"
"COBB, WILLIAM",NONPARTISAN,48745,82.69,"UNIVERSITY BOARD OF REGENTS, DISTRICT 10"
"HORMAZDI, FARROKH R.",NONPARTISAN,10206,17.31,"UNIVERSITY BOARD OF REGENTS, DISTRICT 10"
"GEDDES, JASON",NONPARTISAN,54888,83.04,"UNIVERSITY BOARD OF REGENTS, DISTRICT 11"
"ZED, RAJAN",NONPARTISAN,11214,16.96,"UNIVERSITY BOARD OF REGENTS, DISTRICT 11"
"MCKENNA, KEN",NONPARTISAN,44318,52.77,"STATE BOARD OF EDUCATION, DISTRICT 8"
"PULLMAN, JONNIE",NONPARTISAN,39670,47.23,"STATE BOARD OF EDUCATION, DISTRICT 8"
"COOK, DAVE",NONPARTISAN,21034,50.66,"STATE BOARD OF EDUCATION, DISTRICT 9"
"MYERS, BARBARA J.",NONPARTISAN,20484,49.34,"STATE BOARD OF EDUCATION, DISTRICT 9"
"BRETERNITZ, JOHN",REPUBLICAN,18492,55.01,COUNTY COMMISSIONER DISTRICT 1
"HARSH, TONI",REPUBLICAN,15122,44.99,COUNTY COMMISSIONER DISTRICT 1
"COBB, NEAL H.",REPUBLICAN,6666,34.03,COUNTY COMMISSIONER DISTRICT 3
"JUNG, KITTY",DEMOCRAT,12925,65.97,COUNTY COMMISSIONER DISTRICT 3
"LARKIN, BOB",REPUBLICAN,19502,49.10,COUNTY COMMISSIONER DISTRICT 4
