candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,1868,0.29,President
"BARR, BOB",LIBERTARIAN,2729,0.42,President
"MCCAIN, JOHN",REPUBLICAN,256401,39.51,President
"MCKINNEY, CYNTHIA",GREEN,900,0.14,President
"NADER, RALPH",INDEPENDENT,4132,0.64,President
"OBAMA, BARACK",DEMOCRAT,379204,58.44,President
NONE OF THESE CANDIDATES,&nbsp;,3670,0.57,President
"ALEXANDER, CAREN",INDEPENDENT AMERICAN,4678,2.05,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"BERKLEY, SHELLEY (Incumbent)",DEMOCRAT,154227,67.61,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"DUENSING, JR., RAYMOND JAMES",LIBERTARIAN,4511,1.98,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"WEGNER, KENNETH",REPUBLICAN,64688,28.36,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"BERGLAND, CRAIG",GREEN,304,1.24,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,11706,47.74,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,553,2.26,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,11402,46.50,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,553,2.26,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,6923,1.99,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"GIAQUINTA, BOB",GREEN,3925,1.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"PORTER, JON (Incumbent)",REPUBLICAN,147494,42.29,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"REEVES, JEFFREY C.",INDEPENDENT,14859,4.26,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"SILVESTRI, JOSEPH P.",LIBERTARIAN,10116,2.90,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"TITUS, DINA",DEMOCRAT,165416,47.43,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"HINTON, LANCE",INDEPENDENT AMERICAN,1584,4.14,"STATE SENATE, CLARK DISTRICT 1"
"LEE, JOHN (Incumbent)",DEMOCRAT,25937,67.71,"STATE SENATE, CLARK DISTRICT 1"
"MCGINNIS, RON",REPUBLICAN,10784,28.15,"STATE SENATE, CLARK DISTRICT 1"
"WERNICKE, ANTHONY ""TONYBOP""",DEMOCRAT,8209,35.52,"STATE SENATE, CLARK DISTRICT 3"
"WIENER, VALERIE (Incumbent)",DEMOCRAT,14905,64.48,"STATE SENATE, CLARK DISTRICT 3"
"GOBEL, SHARON",REPUBLICAN,7686,21.87,"STATE SENATE, CLARK DISTRICT 4"
"HORSFORD, STEVEN (Incumbent)",DEMOCRAT,25943,73.81,"STATE SENATE, CLARK DISTRICT 4"
"VAUGHAN, STAN",INDEPENDENT AMERICAN,1521,4.33,"STATE SENATE, CLARK DISTRICT 4"
"BLANQUE, TONY ""GRASS ROOTS""",INDEPENDENT AMERICAN,2843,2.85,"STATE SENATE, CLARK DISTRICT 5"
"BREEDEN, SHIRLEY",DEMOCRAT,46420,46.57,"STATE SENATE, CLARK DISTRICT 5"
"HAGAN, TIM",LIBERTARIAN,4754,4.77,"STATE SENATE, CLARK DISTRICT 5"
"HECK, JOE (Incumbent)",REPUBLICAN,45655,45.81,"STATE SENATE, CLARK DISTRICT 5"
"BEERS, BOB (Incumbent)",REPUBLICAN,20940,46.86,"STATE SENATE, CLARK DISTRICT 6"
"COPENING, ALLISON",DEMOCRAT,23751,53.14,"STATE SENATE, CLARK DISTRICT 6"
"MADSEN, LINDSAY NICOLE",REPUBLICAN,17926,31.94,"STATE SENATE, CLARK DISTRICT 7"
