candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,106,0.50,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,103,0.49,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,12154,57.59,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,37,0.18,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,126,0.60,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,8405,39.83,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,172,0.82,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,304,1.48,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,6809,33.18,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,905,4.41,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,12184,59.38,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,318,1.55,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MCGINNESS, MIKE (Incumbent)",REPUBLICAN,1388,100.00,"STATE SENATE, CENTRAL SENATORIAL DISTRICT"
"DALTON, STEVEN J.",DEMOCRAT,6551,32.73,"STATE ASSEMBLY, DISTRICT 38"
"GOMEZ, DENNIS",INDEPENDENT AMERICAN,1360,6.79,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,12107,60.48,"STATE ASSEMBLY, DISTRICT 38"
"PICKERING, MARY ""KRIS""",NONPARTISAN,9088,47.16,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,7005,36.35,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,3179,16.50,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,4858,25.66,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,10659,56.31,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,3413,18.03,"SUPREME COURT JUSTICE, SEAT D"
"HUFF, DAVID A.",NONPARTISAN,9159,49.52,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 1"
"KENNEDY, JACK",NONPARTISAN,9335,50.48,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 1"
"ABERASTURI, LEON",NONPARTISAN,10365,56.21,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 2"
"SCHLEGELMILCH, JOHN",NONPARTISAN,8076,43.79,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 2"
"ROGERS, WILLIAM",NONPARTISAN,11245,63.05,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 3"
"STOCKARD, THOMAS III",NONPARTISAN,6589,36.95,"DISTRICT COURT JUDGE, DISTRICT 3, DEPARTMENT 3"
"KRISTAPONIS, DONNA",REPUBLICAN,9033,48.93,COUNTY COMM DIST. I (CW)
"ROBERTS, CHUCK",REPUBLICAN,9429,51.07,COUNTY COMM DIST. I (CW)
"TIBBALS, DON H.",REPUBLICAN,16637,100.00,COUNTY COMM DIST. III (CW)
"MORTENSEN, JOE",REPUBLICAN,9131,51.65,COUNTY COMM DIST. IV (CW)
"PARSONS, SHERRY",REPUBLICAN,8546,48.35,COUNTY COMM DIST. IV (CW)
"HUCKABY, JAMES F.",NONPARTISAN,10149,57.39,LYON COUNTY SCHOOL DIST TRUSTEE DIST I
"PENALUNA, BILL",NONPARTISAN,7536,42.61,LYON COUNTY SCHOOL DIST TRUSTEE DIST I
"RHOADES, STEPHEN (STEVE) V.",NONPARTISAN,6855,41.62,LYON COUNTY SCHOOL DIST TRUSTEE DIST III
"STEVENS, JOHN M.",NONPARTISAN,9614,58.38,LYON COUNTY SCHOOL DIST TRUSTEE DIST III
"BOBRICK, ERIC T.",NONPARTISAN,8549,49.87,LYON COUNTY SCHOOL DIST TRUSTEE DIST V
"WILLISS, MAUREEN",NONPARTISAN,8595,50.13,LYON COUNTY SCHOOL DIST TRUSTEE DIST V
"AVEIRO, VICTORIA L.",NONPARTISAN,1728,19.97,SILVER SPRINGS/STAGECOACH HOSPITAL DST
"BENNETT, KAY",NONPARTISAN,1706,19.72,SILVER SPRINGS/STAGECOACH HOSPITAL DST
"BROWN, BILLY E.",NONPARTISAN,1668,19.28,SILVER SPRINGS/STAGECOACH HOSPITAL DST
"FRANKS, JOHN P.",NONPARTISAN,1793,20.72,SILVER SPRINGS/STAGECOACH HOSPITAL DST
"LANGEVIN, MICHAEL",NONPARTISAN,1757,20.31,SILVER SPRINGS/STAGECOACH HOSPITAL DST
"BURLESON, GARRET T.",NONPARTISAN,2415,16.47,NORTH LYON COUNTY FIRE PRO - DIRECTORS
"MCGARVA, SANDRA",NONPARTISAN,2067,14.10,NORTH LYON COUNTY FIRE PRO - DIRECTORS
"MURPHY, CHRIS P.",NONPARTISAN,2263,15.44,NORTH LYON COUNTY FIRE PRO - DIRECTORS
"OSBORN, JON",NONPARTISAN,2199,15.00,NORTH LYON COUNTY FIRE PRO - DIRECTORS
"PICETTI, JOHN E.",NONPARTISAN,2846,19.41,NORTH LYON COUNTY FIRE PRO - DIRECTORS
"SKINNER, DEBBIE",NONPARTISAN,2870,19.58,NORTH LYON COUNTY FIRE PRO - DIRECTORS
"BEST, RUSSELL",NONPARTISAN,272,17.38,STAGECOACH GEN IMP DST TRUSTEES -VOTE FOR 4
"CROCKETT, GLORIA",NONPARTISAN,346,22.11,STAGECOACH GEN IMP DST TRUSTEES -VOTE FOR 4
"EARLS, MELVIN F.",NONPARTISAN,297,18.98,STAGECOACH GEN IMP DST TRUSTEES -VOTE FOR 4
"MCCOY, JAIMEE L.",NONPARTISAN,355,22.68,STAGECOACH GEN IMP DST TRUSTEES -VOTE FOR 4
