candidate,party,percent,votes,office
"HELLER, DEAN",REP,87.65%,497,"U.S. Representative in Congress, District 2 (Republican)"
"SMACK, JAMES W.",REP,12.35%,70,"U.S. Representative in Congress, District 2 (Republican)"
"DAWSON, GLENN E.",REP,0%,0,"State Assembly, District 32 (Republican)"
"GUSTAVSON, DON",REP,17.87%,37,"State Assembly, District 32 (Republican)"
"MARVEL, JOHN",REP,68.60%,142,"State Assembly, District 32 (Republican)"
"NANCE, MICHAEL",REP,2.42%,5,"State Assembly, District 32 (Republican)"
"SMITH, ERIC",REP,4.35%,9,"State Assembly, District 32 (Republican)"
"WEBER, MICHAEL",REP,6.76%,14,"State Assembly, District 32 (Republican)"
"ALLF, NANCY LEE",NP,15.59%,130,"Supreme Court Justice, Seat B (Nonpartisan)"
"CHAIREZ, DON",NP,12.11%,101,"Supreme Court Justice, Seat B (Nonpartisan)"
"PICKERING, MARY ""KRIS""",NP,32.85%,274,"Supreme Court Justice, Seat B (Nonpartisan)"
"SCHUMACHER, DEBORAH",NP,19.90%,166,"Supreme Court Justice, Seat B (Nonpartisan)"
NONE OF THESE CANDIDATES,,19.54%,163,"Supreme Court Justice, Seat B (Nonpartisan)"
"WAGNER, RICHARD A.",NP,100.00%,759,"District Court Judge, District 6, Department  1 (Nonpartisan)"
"DOLAN, ROBERT ""BOB""",NP,10.56%,89,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"MAHER, O. KENT",NP,12.93%,109,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"MONTERO, MICHAEL R.",NP,39.03%,329,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"SCHAEFFER, WILLIAM E.",NP,10.79%,91,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"SHIRLEY, JIM C.",NP,26.69%,225,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"CRABTREE, SHEADEN",REP,26.37%,135,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"SCHMIDT, CHRIS",REP,33.59%,172,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"WELSCH, NICK",REP,40.04%,205,"District Court Judge, District 6, Department  2 (Nonpartisan)"
"SALISBURY, RAY",REP,21.26%,118,County Comm Dist. NO. 2 (CW) (Republican)
"WHOLE, ROB",REP,33.51%,186,County Comm Dist. NO. 2 (CW) (Republican)
"WILLIAMS, RAY H. JR.",REP,45.23%,251,County Comm Dist. NO. 2 (CW) (Republican)
"NESTER, JEFF",NP,100.00%,715,County Comm Dist. NO. 3 (CW) (Republican)
"ANCHO, KATHY L.",NP,100.00%,756,"LANDER COUNTY Hospital Dist Trustee, Seat A (Nonpartisan)"
"LUNDBERG, DENNIS D.",NP,100.00%,37,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)"
"SEARS-LAVALLEE, SANDRA",NP,100.00%,35,KINGSTON TOWN Board - Seat A - town (Nonpartisan)
"MORRISON, JAN",NP,100.00%,727,KINGSTON TOWN Board - Seat B - town (Nonpartisan)
