candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,20,1.09,President
"BARR, BOB",LIBERTARIAN,8,0.44,President
"MCCAIN, JOHN",REPUBLICAN,1075,58.55,President
"MCKINNEY, CYNTHIA",GREEN,6,0.33,President
"NADER, RALPH",INDEPENDENT,19,1.03,President
"OBAMA, BARACK",DEMOCRAT,673,36.66,President
NONE OF THESE CANDIDATES,&nbsp;,35,1.91,President
"BERGLAND, CRAIG",GREEN,22,1.23,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,601,33.54,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,95,5.30,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1049,58.54,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,25,1.40,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",INDEPENDENT AMERICAN,594,34.14,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"RHOADS, DEAN A. (Incumbent)",REPUBLICAN,1146,65.86,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,1165,65.97,"STATE ASSEMBLY, DISTRICT 35"
"KING, RACHEL MARIE",DEMOCRAT,601,34.03,"STATE ASSEMBLY, DISTRICT 35"
"PICKERING, MARY ""KRIS""",NONPARTISAN,795,45.48,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,632,36.16,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,321,18.36,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,384,22.51,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,884,51.82,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,438,25.67,"SUPREME COURT JUSTICE, SEAT D"
"MAHER, O. KENT",NONPARTISAN,637,36.61,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2"
"MONTERO, MICHAEL",NONPARTISAN,1103,63.39,"DISTRICT COURT JUDGE, DISTRICT 6, DEPARTMENT 2"
"BLOYED, DARIN M.",REPUBLICAN,1457,100.00,COUNTY COMM. SEAT A
"GILDER, MICHELLE",DEMOCRAT,684,38.82,COUNTY COMM. SEAT B
"IRWIN, PAT",REPUBLICAN,1078,61.18,COUNTY COMM. SEAT B
"BIGGS, ROY",NONPARTISAN,179,30.03,MAYOR LOVELOCK
"GILES, MICHAEL",NONPARTISAN,417,69.97,MAYOR LOVELOCK
"GORSLINE, WILLIAM ""BILL""",NONPARTISAN,1511,100.00,SCHOOL DIST. BOARD OF TRUSTEES SEAT B
"CRIM, JOE",NONPARTISAN,1192,71.59,SCHOOL DIST. BOARD OF TRUSTEES SEAT E
"SHANK, JOHN W.",NONPARTISAN,473,28.41,SCHOOL DIST. BOARD OF TRUSTEES SEAT E
"BRIDGES, DON",NONPARTISAN,501,26.52,LOVELOCK MEADOWS WATER DISTRICT -VF 2
"CHRISTOFFERSON, LYNN M.",NONPARTISAN,768,40.66,LOVELOCK MEADOWS WATER DISTRICT -VF 2
"PIERCE, KATHI",NONPARTISAN,620,32.82,LOVELOCK MEADOWS WATER DISTRICT -VF 2
