candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,11,0.46,President
"BARR, BOB",LIBERTARIAN,12,0.50,President
"MCCAIN, JOHN",REPUBLICAN,1245,51.60,President
"MCKINNEY, CYNTHIA",GREEN,5,0.21,President
"NADER, RALPH",INDEPENDENT,15,0.62,President
"OBAMA, BARACK",DEMOCRAT,1099,45.54,President
NONE OF THESE CANDIDATES,&nbsp;,26,1.08,President
"BERGLAND, CRAIG",GREEN,52,2.21,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,889,37.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,90,3.82,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1282,54.48,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,40,1.70,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DALTON, STEVEN J.",DEMOCRAT,782,34.10,"STATE ASSEMBLY, DISTRICT 38"
"GOMEZ, DENNIS",INDEPENDENT AMERICAN,197,8.59,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,1314,57.30,"STATE ASSEMBLY, DISTRICT 38"
"PICKERING, MARY ""KRIS""",NONPARTISAN,953,42.22,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,921,40.81,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,383,16.97,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,533,24.39,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,1201,54.97,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,451,20.64,"SUPREME COURT JUSTICE, SEAT D"
"WATERS, NOEL",NONPARTISAN,920,46.02,"DISTRICT COURT JUDGE, DISTRICT 1, DEPARTMENT 2"
"WILSON, JIM",NONPARTISAN,1079,53.98,"DISTRICT COURT JUDGE, DISTRICT 1, DEPARTMENT 2"
"HESS, GREG ""BUM""",REPUBLICAN,1798,100.00,COUNTY COMM DIST. TWO (CW)
"KERSHAW, BOB T.",REPUBLICAN,1870,100.00,COUNTY COMM DIST. THREE (CW)
"CHAPMAN, CURTIS J.",NONPARTISAN,956,43.34,SCHOOL BOARD TRUSTEE SEAT 1A
"JAMES, CATHYLEE",NONPARTISAN,1250,56.66,SCHOOL BOARD TRUSTEE SEAT 1A
"CONLEY, COLLEEN",NONPARTISAN,1073,52.42,SCHOOL BOARD TRUSTEE SEAT 1B
"FIELDING, REBECCA",NONPARTISAN,974,47.58,SCHOOL BOARD TRUSTEE SEAT 1B
"DIXON, VANESSA",REPUBLICAN,1438,66.48,COUNTY CLERK/TREASURER
"HESS, ROLLIE",REPUBLICAN,725,33.52,COUNTY CLERK/TREASURER
