candidate,party,votes,percent,office
"BALDWIN, CHUCK",INDEPENDENT AMERICAN,156,0.97,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BARR, BOB",LIBERTARIAN,86,0.54,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCCAIN, JOHN",REPUBLICAN,10969,68.47,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"MCKINNEY, CYNTHIA",GREEN,30,0.19,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"NADER, RALPH",INDEPENDENT,105,0.66,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"OBAMA, BARACK",DEMOCRAT,4541,28.35,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
NONE OF THESE CANDIDATES,&nbsp;,132,0.82,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES
"BERGLAND, CRAIG",GREEN,135,0.87,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"DERBY, JILL",DEMOCRAT,4251,27.30,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"EVERHART, JOHN",INDEPENDENT AMERICAN,839,5.39,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,10110,64.93,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"MORSE, SEAN PATRICK",LIBERTARIAN,235,1.51,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",INDEPENDENT AMERICAN,5281,34.24,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"RHOADS, DEAN A. (Incumbent)",REPUBLICAN,10141,65.76,"STATE SENATE, RURAL SENATORIAL DISTRICT"
"CARPENTER, JOHN C. (Incumbent)",REPUBLICAN,10620,69.22,"STATE ASSEMBLY, DISTRICT 33"
"TRIGGS, ZACHARY",INDEPENDENT AMERICAN,4723,30.78,"STATE ASSEMBLY, DISTRICT 33"
"PICKERING, MARY ""KRIS""",NONPARTISAN,7418,49.11,"SUPREME COURT JUSTICE, SEAT B"
"SCHUMACHER, DEBORAH",NONPARTISAN,4857,32.15,"SUPREME COURT JUSTICE, SEAT B"
NONE OF THESE CANDIDATES,&nbsp;,2831,18.74,"SUPREME COURT JUSTICE, SEAT B"
"CHRISTENSEN, THOMAS FRANK",NONPARTISAN,3657,24.75,"SUPREME COURT JUSTICE, SEAT D"
"GIBBONS, MARK (Incumbent)",NONPARTISAN,7632,51.66,"SUPREME COURT JUSTICE, SEAT D"
NONE OF THESE CANDIDATES,&nbsp;,3484,23.58,"SUPREME COURT JUSTICE, SEAT D"
"MEMEO, MIKE",NONPARTISAN,7987,52.29,"DISTRICT COURT JUDGE, DISTRICT 4, DEPARTMENT 1"
"TORVINEN, MARK",NONPARTISAN,7287,47.71,"DISTRICT COURT JUDGE, DISTRICT 4, DEPARTMENT 1"
"DAHL, DEMAR",REPUBLICAN,10220,67.32,COUNTY COMM DIST. 1 (CW)
"NEFF, DAVID E.",INDEPENDENT AMERICAN,4962,32.68,COUNTY COMM DIST. 1 (CW)
"ELLISON, JOHN",REPUBLICAN,13668,100.00,COUNTY COMM DIST. 3 (CW)
"RUSSELL, WARREN",REPUBLICAN,10214,71.48,COUNTY COMM DIST. 5 (CW)
"WEEKS, ZEB",REPUBLICAN,4075,28.52,COUNTY COMM DIST. 5 (CW)
"FOBES, GORDON L.",NONPARTISAN,6313,44.49,SCHOOL BOARD TRUSTEE DST 4 -AL
"HARTWIG, DEAN A.",NONPARTISAN,7878,55.51,SCHOOL BOARD TRUSTEE DST 4 -AL
"SHAWCROFT, KEVIN L.",NONPARTISAN,216,33.86,CARLIN TV SEAT B
"TRUJILLO, HEATHER B.",NONPARTISAN,422,66.14,CARLIN TV SEAT B
"GRAVELIN, VICTORIA E.",NONPARTISAN,4860,40.98,ELKO CONVENTION AUD BD SEAT A
"MORFIN, GARY H.",NONPARTISAN,6998,59.02,ELKO CONVENTION AUD BD SEAT A
"ANDERSEN, DONNIE",NONPARTISAN,331,56.87,MAYOR WEST WENDOVER
"CARTER, EMILY",NONPARTISAN,133,22.85,MAYOR WEST WENDOVER
"THAUT, JOEY",NONPARTISAN,118,20.27,MAYOR WEST WENDOVER
"BLAKE, BRYANT",NONPARTISAN,347,34.87,COUNCIL MEMBER SEAT 3 AND 4
"GORUM, JOHNNY",NONPARTISAN,302,30.35,COUNCIL MEMBER SEAT 3 AND 4
"PILLMORE, JUSTIN S.",NONPARTISAN,103,10.35,COUNCIL MEMBER SEAT 3 AND 4
"WEYLAND, SCOTT G.",NONPARTISAN,243,24.42,COUNCIL MEMBER SEAT 3 AND 4
"CORONA, GARY",NONPARTISAN,408,74.59,WEST WENDOVER REC BOARD 2
"SODERQUIST, RANDALL G.",NONPARTISAN,139,25.41,WEST WENDOVER REC BOARD 2
