candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,74.22%,"1,206","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,2.95%,48,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,17.66%,287,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,2.83%,46,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.49%,8,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,1.42%,23,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.43%,7,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,2.57%,43,GOVERNOR
"GUINN, KENNY CIncumbent",REP,71.74%,"1,198",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.02%,17,GOVERNOR
"LAWS, CHARLES",GRN,1.38%,23,GOVERNOR
"NEAL, JOE",DEM,17.96%,300,GOVERNOR
"NORTON, JERRY L",IND,0.66%,11,GOVERNOR
None of these Candidates,,3.35%,56,GOVERNOR
Under Votes,,0.96%,16,GOVERNOR
Over Votes,,0.36%,6,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,48.92%,817,LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,39.82%,665,LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,3.47%,58,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,2.04%,34,LIEUTENANT GOVERNOR
None of these Candidates,,4.07%,68,LIEUTENANT GOVERNOR
Under Votes,,1.62%,27,LIEUTENANT GOVERNOR
Over Votes,,0.06%,1,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.81%,47,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,17.72%,296,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,3.65%,61,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,65.21%,"1,089",SECRETARY OF STATE
"LENART, PAUL A",GRN,2.57%,43,SECRETARY OF STATE
None of these Candidates,,5.81%,97,SECRETARY OF STATE
Under Votes,,2.04%,34,SECRETARY OF STATE
Over Votes,,0.18%,3,SECRETARY OF STATE
"ANDREWS, MARK",IAP,6.83%,114,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,55.33%,924,STATE TREASURER
"SANTOR, KEN",DEM,27.60%,461,STATE TREASURER
None of these Candidates,,6.77%,113,STATE TREASURER
Under Votes,,3.17%,53,STATE TREASURER
Over Votes,,0.30%,5,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,54.79%,915,STATE CONTROLLER
"BLACK, LISA",IAP,4.61%,77,STATE CONTROLLER
"EBY, CHUCK",LIB,3.89%,65,STATE CONTROLLER
"LEE, JOHN",DEM,25.99%,434,STATE CONTROLLER
None of these Candidates,,6.71%,112,STATE CONTROLLER
Under Votes,,3.89%,65,STATE CONTROLLER
Over Votes,,0.12%,2,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,5.75%,96,ATTORNEY GENERAL
"HUNT, JOHN",DEM,28.86%,482,ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,57.19%,955,ATTORNEY GENERAL
None of these Candidates,,5.63%,94,ATTORNEY GENERAL
Under Votes,,2.51%,42,ATTORNEY GENERAL
Over Votes,,0.06%,1,ATTORNEY GENERAL
"CARTER, JOE",DEM,34.93%,299,STATE SENATE WASHOE DISTRICT 2
"WASHINGTON, MAURICE Incumbent",REP,61.21%,524,STATE SENATE WASHOE DISTRICT 2
Under Votes,,3.62%,31,STATE SENATE WASHOE DISTRICT 2
Over Votes,,0.23%,2,STATE SENATE WASHOE DISTRICT 2
"AMODEI, MARK EIncumbent",REP,77.40%,630,STATE SENATE CAPITAL SENATORIAL DISTRICT
"SCHUMANN, DAVID K",IAP,16.58%,135,STATE SENATE CAPITAL SENATORIAL DISTRICT
Under Votes,,5.90%,48,STATE SENATE CAPITAL SENATORIAL DISTRICT
Over Votes,,0.12%,1,STATE SENATE CAPITAL SENATORIAL DISTRICT
"DINI, GEORGE R",DEM,48.98%,818,STATE ASSEMBLY DISTRICT 38
"GRADY, TOM",REP,43.05%,719,STATE ASSEMBLY DISTRICT 38
"GOMEZ, DENNIS",IAP,3.77%,63,STATE ASSEMBLY DISTRICT 38
Under Votes,,4.19%,70,STATE ASSEMBLY DISTRICT 38
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 38
"CHAIREZ, DON",NP,17.43%,291,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,54.97%,918,"JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,12.87%,215,"JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,14.61%,244,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.12%,2,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,64.37%,"1,075","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,10.96%,183,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,24.67%,412,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"GRIFFIN, MICHAEL RIncumbent",NP,75.03%,"1,253",DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 1
Under Votes,,24.97%,417,DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 1
"MADDOX, WILLIAM AIncumbent",NP,71.50%,"1,194",DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 2
Under Votes,,28.50%,476,DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 1 DEPARTMENT 2
"FERRY, CLIFF",NP,68.68%,"1,147",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,31.32%,523,STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"FLANAGAN, JOHN",REP,66.59%,"1,112",COUNTY COMMISSIONER DISTRICT 1
"JAMES, CATHYLEE",DEM,30.48%,509,COUNTY COMMISSIONER DISTRICT 1
Under Votes,,2.81%,47,COUNTY COMMISSIONER DISTRICT 1
Over Votes,,0.12%,2,COUNTY COMMISSIONER DISTRICT 1
"LOWTHER, MAGGIE",REP,74.61%,"1,246",RECORDER/AUDITOR
"SMITH, LARRY",DEM,20.60%,344,RECORDER/AUDITOR
Under Votes,,4.73%,79,RECORDER/AUDITOR
Over Votes,,0.06%,1,RECORDER/AUDITOR
"BACUS, DOREEN",DEM,82.87%,"1,384",CLERK/TREASURER
Under Votes,,17.13%,286,CLERK/TREASURER
Over Votes,,0.00%,0,CLERK/TREASURER
"QUENEMOEN, MEL",DEM,43.29%,723,ASSESSOR
"WEEKS, KATHY",REP,54.07%,903,ASSESSOR
Under Votes,,2.57%,43,ASSESSOR
Over Votes,,0.06%,1,ASSESSOR
"CLAASSEN, SHARON E.",DEM,36.65%,612,DISTRICT ATTORNEY
"SWAFFORD, HAROLD",DEM,56.95%,951,DISTRICT ATTORNEY
Under Votes,,6.23%,104,DISTRICT ATTORNEY
Over Votes,,0.18%,3,DISTRICT ATTORNEY
"CLARKE, TYLER S",NP,39.52%,660,SHERIFF
"WHITTEN, PATRICK",NP,57.43%,959,SHERIFF
Under Votes,,2.99%,50,SHERIFF
Over Votes,,0.06%,1,SHERIFF
"SCHUCK, DAVID",NP,26.71%,446,SCHOOL DISTRICT BOARD TRUSTEE SEAT 2A
"SCOTT, PAULA E",NP,57.19%,955,SCHOOL DISTRICT BOARD TRUSTEE SEAT 2A
Under Votes,,15.75%,263,SCHOOL DISTRICT BOARD TRUSTEE SEAT 2A
Over Votes,,0.36%,6,SCHOOL DISTRICT BOARD TRUSTEE SEAT 2A
"SMITH, PAMELA J",NP,75.87%,"1,267",SCHOOL DISTRICT BOARD TRUSTEE SEAT 2B
