candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,68.23%,"1,396","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,4.84%,99,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,22.14%,453,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.76%,36,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.39%,8,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,2.39%,49,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.24%,5,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.12%,23,GOVERNOR
"GUINN, KENNY CIncumbent",REP,63.05%,"1,290",GOVERNOR
"HOLMGREN, DAVID G",IAP,5.47%,112,GOVERNOR
"LAWS, CHARLES",GRN,0.78%,16,GOVERNOR
"NEAL, JOE",DEM,24.83%,508,GOVERNOR
"NORTON, JERRY L",IND,0.93%,19,GOVERNOR
None of these Candidates,,3.13%,64,GOVERNOR
Under Votes,,0.39%,8,GOVERNOR
Over Votes,,0.29%,6,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,33.81%,691,LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,57.19%,"1,169",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.96%,40,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,2.15%,44,LIEUTENANT GOVERNOR
None of these Candidates,,3.72%,76,LIEUTENANT GOVERNOR
Under Votes,,0.93%,19,LIEUTENANT GOVERNOR
Over Votes,,0.24%,5,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,3.03%,62,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,23.46%,480,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,5.67%,116,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,55.62%,"1,138",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.52%,31,SECRETARY OF STATE
None of these Candidates,,8.50%,174,SECRETARY OF STATE
Under Votes,,2.10%,43,SECRETARY OF STATE
Over Votes,,0.10%,2,SECRETARY OF STATE
"ANDREWS, MARK",IAP,7.09%,145,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,43.50%,890,STATE TREASURER
"SANTOR, KEN",DEM,38.12%,780,STATE TREASURER
None of these Candidates,,8.50%,174,STATE TREASURER
Under Votes,,2.69%,55,STATE TREASURER
Over Votes,,0.10%,2,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,41.55%,875,STATE CONTROLLER
"BLACK, LISA",IAP,14.06%,296,STATE CONTROLLER
"EBY, CHUCK",LIB,2.61%,55,STATE CONTROLLER
"LEE, JOHN",DEM,29.63%,624,STATE CONTROLLER
None of these Candidates,,8.26%,174,STATE CONTROLLER
Under Votes,,3.85%,81,STATE CONTROLLER
Over Votes,,0.05%,1,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,6.58%,133,ATTORNEY GENERAL
"HUNT, JOHN",DEM,36.10%,730,ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,50.79%,"1,027",ATTORNEY GENERAL
None of these Candidates,,5.79%,117,ATTORNEY GENERAL
Under Votes,,0.74%,15,ATTORNEY GENERAL
Over Votes,,0.00%,0,ATTORNEY GENERAL
"HOLMGREN, JACKIE A",IAP,16.47%,337,STATE ASSEMBLY DISTRICT 36
"MANKINS, ROY L",DEM,33.58%,687,STATE ASSEMBLY DISTRICT 36
"SHERER, ROD",REP,45.75%,936,STATE ASSEMBLY DISTRICT 36
Under Votes,,4.11%,84,STATE ASSEMBLY DISTRICT 36
Over Votes,,0.10%,2,STATE ASSEMBLY DISTRICT 36
"CHAIREZ, DON",NP,18.23%,373,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,47.85%,979,"JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,23.85%,488,"JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,10.07%,206,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,67.25%,"1,376","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,18.62%,381,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,14.08%,288,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.05%,1,"JUSTICE OF THE SUPREME COURT, SEAT D"
"DAVIS, JOHN PIncumbent",NP,80.77%,"1,814",DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 1
Under Votes,,19.23%,432,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 1
"DUFFY, LAUREL",NP,24.34%,498,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
"LANE, ROBERT WIncumbent",NP,65.54%,"1,341",DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
Under Votes,,10.12%,207,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 5 DEPARTMENT 2
"FERRY, CLIFF",NP,73.02%,"1,494",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,26.98%,552,STATE BOARD OF EDUCATION DISTRICT 10
