candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,77.21%,"1,321","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,5.84%,100,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,15.25%,261,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.40%,24,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.29%,5,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.91%,33,GOVERNOR
"GUINN, KENNY CIncumbent",REP,73.09%,"1,266",GOVERNOR
"HOLMGREN, DAVID G",IAP,3.35%,58,GOVERNOR
"LAWS, CHARLES",GRN,0.58%,10,GOVERNOR
"NEAL, JOE",DEM,16.11%,279,GOVERNOR
"NORTON, JERRY L",IND,1.50%,26,GOVERNOR
None of these Candidates,,3.46%,60,GOVERNOR
Under Votes,,0.00%,0,GOVERNOR
Over Votes,,0.00%,0,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,55.99%,972,LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,36.06%,626,LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.61%,28,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,2.53%,44,LIEUTENANT GOVERNOR
None of these Candidates,,3.80%,66,LIEUTENANT GOVERNOR
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,5.96%,102,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,19.99%,342,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,6.02%,103,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,59.03%,"1,010",SECRETARY OF STATE
"LENART, PAUL A",GRN,0.41%,7,SECRETARY OF STATE
None of these Candidates,,8.59%,147,SECRETARY OF STATE
Under Votes,,0.00%,0,SECRETARY OF STATE
Over Votes,,0.00%,0,SECRETARY OF STATE
"ANDREWS, MARK",IAP,8.42%,142,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,48.93%,825,STATE TREASURER
"SANTOR, KEN",DEM,32.38%,546,STATE TREASURER
None of these Candidates,,10.26%,173,STATE TREASURER
Under Votes,,0.00%,0,STATE TREASURER
Over Votes,,0.00%,0,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,42.17%,724,STATE CONTROLLER
"BLACK, LISA",IAP,4.19%,72,STATE CONTROLLER
"EBY, CHUCK",LIB,1.98%,34,STATE CONTROLLER
"LEE, JOHN",DEM,44.79%,769,STATE CONTROLLER
None of these Candidates,,6.87%,118,STATE CONTROLLER
Under Votes,,0.00%,0,STATE CONTROLLER
Over Votes,,0.00%,0,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,5.02%,86,ATTORNEY GENERAL
"HUNT, JOHN",DEM,32.01%,548,ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,57.77%,989,ATTORNEY GENERAL
None of these Candidates,,5.20%,89,ATTORNEY GENERAL
Under Votes,,0.00%,0,ATTORNEY GENERAL
Over Votes,,0.00%,0,ATTORNEY GENERAL
"HOLMGREN, JACKIE A",IAP,10.90%,181,STATE ASSEMBLY DISTRICT 36
"MANKINS, ROY L",DEM,25.00%,415,STATE ASSEMBLY DISTRICT 36
"SHERER, ROD",REP,64.10%,"1,064",STATE ASSEMBLY DISTRICT 36
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 36
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 36
"CHAIREZ, DON",NP,29.83%,468,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,44.17%,693,"JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,26.00%,408,"JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,79.00%,"1,185","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,21.00%,315,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"DOBRESCU, STEVE LIncumbent",NP,100.00%,"1,286",DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 1
Under Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 1
"PAPEZ, DAN LIncumbent",NP,100.00%,"1,358",DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 2
Under Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 2
"FERRY, CLIFF",NP,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"LLOYD, WILLIAM T.",DEM,100.00%,"1,437",COUNTY ASSESSOR
Under Votes,,0.00%,0,COUNTY ASSESSOR
Over Votes,,0.00%,0,COUNTY ASSESSOR
"HOGAN, CORRINE",REP,100.00%,"1,504",COUNTY CLERK
Under Votes,,0.00%,0,COUNTY CLERK
Over Votes,,0.00%,0,COUNTY CLERK
"KEATON, HAL",DEM,60.73%,"1,005",COUNTY COMMISSIONER DISTRICT B
"ZELCH, GLENNON",REP,39.27%,650,COUNTY COMMISSIONER DISTRICT B
Under Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT B
Over Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT B
"FREHNER, DAN",REP,34.38%,582,COUNTY COMMISSIONER DISTRICT D
"HORNBECK, RONDA HAMMOND",REP,65.62%,"1,111",COUNTY COMMISSIONER DISTRICT D
Under Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT D
Over Votes,,0.00%,0,COUNTY COMMISSIONER DISTRICT D
"BARLOW, GREGORY J.",REP,47.79%,802,COUNTY DISTRICT ATTORNEY
"DUNLEAVY, PHILIP H.",DEM,52.21%,876,COUNTY DISTRICT ATTORNEY
Under Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
Over Votes,,0.00%,0,COUNTY DISTRICT ATTORNEY
"BOUCHER, LESLIE",DEM,100.00%,"1,499",COUNTY RECORDER/AUDITOR
Under Votes,,0.00%,0,COUNTY RECORDER/AUDITOR
Over Votes,,0.00%,0,COUNTY RECORDER/AUDITOR
"HIATT, KATHY C.",DEM,100.00%,"1,525",COUNTY TREASURER
Under Votes,,0.00%,0,COUNTY TREASURER
Over Votes,,0.00%,0,COUNTY TREASURER
"BRADFIELD, DAHL",NP,70.26%,"1,198",COUNTY SHERIFF
"KOZAK, RONALD",NP,29.74%,507,COUNTY SHERIFF
Under Votes,,0.00%,0,COUNTY SHERIFF
Over Votes,,0.00%,0,COUNTY SHERIFF
"LLOYD, LYNN",NP,76.78%,"1,237",COUNTY SCHOOL TRUSTEE DISTRICT A
