candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,80.25%,"8,937","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,3.72%,414,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,12.02%,"1,338","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,2.11%,235,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.28%,31,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,1.45%,162,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.17%,19,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,2.42%,269,GOVERNOR
"GUINN, KENNY CIncumbent",REP,76.94%,"8,568",GOVERNOR
"HOLMGREN, DAVID G",IAP,2.58%,287,GOVERNOR
"LAWS, CHARLES",GRN,0.66%,73,GOVERNOR
"NEAL, JOE",DEM,12.45%,"1,386",GOVERNOR
"NORTON, JERRY L",IND,1.14%,127,GOVERNOR
None of these Candidates,,2.95%,328,GOVERNOR
Under Votes,,0.72%,80,GOVERNOR
Over Votes,,0.16%,18,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,64.54%,"7,187",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,25.43%,"2,832",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,2.82%,314,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,2.42%,269,LIEUTENANT GOVERNOR
None of these Candidates,,3.41%,380,LIEUTENANT GOVERNOR
Under Votes,,1.26%,140,LIEUTENANT GOVERNOR
Over Votes,,0.13%,14,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.68%,298,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,14.16%,"1,577",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,4.78%,532,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,68.46%,"7,624",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.31%,146,SECRETARY OF STATE
None of these Candidates,,6.49%,723,SECRETARY OF STATE
Under Votes,,2.05%,228,SECRETARY OF STATE
Over Votes,,0.07%,8,SECRETARY OF STATE
"ANDREWS, MARK",IAP,6.94%,773,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,61.88%,"6,891",STATE TREASURER
"SANTOR, KEN",DEM,21.35%,"2,378",STATE TREASURER
None of these Candidates,,6.96%,775,STATE TREASURER
Under Votes,,2.79%,311,STATE TREASURER
Over Votes,,0.07%,8,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,63.25%,"7,043",STATE CONTROLLER
"BLACK, LISA",IAP,6.05%,674,STATE CONTROLLER
"EBY, CHUCK",LIB,3.19%,355,STATE CONTROLLER
"LEE, JOHN",DEM,18.81%,"2,095",STATE CONTROLLER
None of these Candidates,,5.77%,642,STATE CONTROLLER
Under Votes,,2.87%,320,STATE CONTROLLER
Over Votes,,0.06%,7,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,4.73%,527,ATTORNEY GENERAL
"HUNT, JOHN",DEM,21.68%,"2,414",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,68.12%,"7,586",ATTORNEY GENERAL
None of these Candidates,,3.65%,407,ATTORNEY GENERAL
Under Votes,,1.72%,191,ATTORNEY GENERAL
Over Votes,,0.10%,11,ATTORNEY GENERAL
"CARPENTER, JOHN CIncumbent",REP,71.31%,"7,941",STATE ASSEMBLY DISTRICT 33
"RAHN, MARY",LIB,25.98%,"2,893",STATE ASSEMBLY DISTRICT 33
