candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,80.20%,"3,504","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,2.79%,122,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,12.98%,567,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.21%,53,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.27%,12,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,2.45%,107,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.09%,4,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.30%,57,GOVERNOR
"GUINN, KENNY CIncumbent",REP,78.87%,"3,446",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.58%,69,GOVERNOR
"LAWS, CHARLES",GRN,0.46%,20,GOVERNOR
"NEAL, JOE",DEM,11.95%,522,GOVERNOR
"NORTON, JERRY L",IND,1.03%,45,GOVERNOR
None of these Candidates,,3.39%,148,GOVERNOR
Under Votes,,1.37%,60,GOVERNOR
Over Votes,,0.05%,2,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,53.40%,"2,333",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,36.85%,"1,610",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,2.82%,123,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,0.98%,43,LIEUTENANT GOVERNOR
None of these Candidates,,4.14%,181,LIEUTENANT GOVERNOR
Under Votes,,1.79%,78,LIEUTENANT GOVERNOR
Over Votes,,0.02%,1,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.38%,104,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,16.11%,704,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,2.24%,98,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,68.02%,"2,972",SECRETARY OF STATE
"LENART, PAUL A",GRN,0.87%,38,SECRETARY OF STATE
None of these Candidates,,7.53%,329,SECRETARY OF STATE
Under Votes,,2.75%,120,SECRETARY OF STATE
Over Votes,,0.09%,4,SECRETARY OF STATE
"ANDREWS, MARK",IAP,5.58%,244,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,56.67%,"2,476",STATE TREASURER
"SANTOR, KEN",DEM,25.11%,"1,097",STATE TREASURER
None of these Candidates,,7.51%,328,STATE TREASURER
Under Votes,,5.10%,223,STATE TREASURER
Over Votes,,0.02%,1,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,57.82%,"2,526",STATE CONTROLLER
"BLACK, LISA",IAP,4.99%,218,STATE CONTROLLER
"EBY, CHUCK",LIB,2.20%,96,STATE CONTROLLER
"LEE, JOHN",DEM,20.97%,916,STATE CONTROLLER
None of these Candidates,,8.42%,368,STATE CONTROLLER
Under Votes,,5.56%,243,STATE CONTROLLER
Over Votes,,0.05%,2,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,4.17%,182,ATTORNEY GENERAL
"HUNT, JOHN",DEM,25.02%,"1,093",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,61.75%,"2,698",ATTORNEY GENERAL
