candidate,party,percent,votes,office
"BADNARIK, MICHAEL",LIB,0.63%,12,President
"BUSH, GEORGE W. Incumbent",REP,69.95%,"1,341",President
"COBB, DAVID",GRN,0.00%,0,President
"KERRY, JOHN F.",DEM,28.06%,538,President
"NADER, RALPH",IND,0.89%,17,President
"PEROUTKA, MICHAEL A.",IAP,0.16%,3,President
None of these Candidates,,0.31%,6,President
"HURST, THOMAS L.",LIB,1.57%,30,U.S. Senate
"MARINCH, GARY",NAT,0.47%,9,U.S. Senate
"REID, HARRY Incumbent",DEM,50.31%,960,U.S. Senate
"SCHUMANN, DAVID K.",IAP,1.42%,27,U.S. Senate
"ZISER, RICHARD",REP,42.82%,817,U.S. Senate
None of these Candidates,,2.57%,49,U.S. Senate
"COCHRAN, ANGIE G.",DEM,17.31%,328,REPRESENTATIVE IN CONGRESS DISTRICT 2
"GIBBONS, JIM Incumbent",REP,76.20%,"1,444",REPRESENTATIVE IN CONGRESS DISTRICT 2
"HANSEN, JANINE",IAP,3.75%,71,REPRESENTATIVE IN CONGRESS DISTRICT 2
"TRAINOR, BRENDAN J.",LIB,1.21%,23,REPRESENTATIVE IN CONGRESS DISTRICT 2
"JEFFERSON, THOMAS",IAP,19.01%,355,"STATE SENATE, NORTHERN SENATORIAL DISTRICT"
"RHOADS, DEAN A. Incumbent",REP,77.77%,"1,452","STATE SENATE, NORTHERN SENATORIAL DISTRICT"
"DEBRAGA, MARCIA",DEM,42.41%,799,"STATE ASSEMBLY, DISTRICT 35"
"GOICOECHEA, PETE Incumbent",REP,52.34%,986,"STATE ASSEMBLY, DISTRICT 35"
"TRACY, JR, LINWOOD E.",IAP,3.40%,64,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JIM",NP,61.33%,"1,150",SUPREME COURT JUSTICE SEAT A
"STEEL, CYNTHIA ""DIANNE""",NP,22.08%,414,SUPREME COURT JUSTICE SEAT A
None of these Candidates,,14.35%,269,SUPREME COURT JUSTICE SEAT A
"MASON, JOHN E.",NP,33.85%,633,SUPREME COURT JUSTICE SEAT E
"PARRAGUIRRE, RON",NP,48.24%,902,SUPREME COURT JUSTICE SEAT E
None of these Candidates,,16.04%,300,SUPREME COURT JUSTICE SEAT E
"DOUGLAS, MICHAEL L. Incumbent",NP,38.66%,714,SUPREME COURT JUSTICE SEAT F
"HANSEN, JOEL FREDERICK",NP,30.37%,561,SUPREME COURT JUSTICE SEAT F
None of these Candidates,,28.32%,523,SUPREME COURT JUSTICE SEAT F
"AIAZZI, STAN",NP,39.22%,697,UNIVERSITY BOARD OF REGENTS DISTRICT 8
"GALLAGHER, DOROTHY S.",NP,55.21%,981,UNIVERSITY BOARD OF REGENTS DISTRICT 8
"BLOYED, DARIN",REP,50.67%,939,COUNTY COMMISSIONER SEAT A
"GOKEY, MELVIN ""DUSTY""",REP,46.68%,865,COUNTY COMMISSIONER SEAT A
"AYOOB, DAVE",DEM,54.84%,"1,031",COUNTY COMMISSIONER SEAT B
"SHULTZ, BARRY G.",REP,43.30%,814,COUNTY COMMISSIONER SEAT B
"LUKE, BRUCE",NP,33.80%,629,"HOSPITAL BOARD OF TRUSTEES, SEAT A"
"WAGNER, RICHARD CARL",NP,63.46%,"1,181","HOSPITAL BOARD OF TRUSTEES, SEAT A"
"CATO, KURT",NP,55.28%,989,"HOSPITAL BOARD OF TRUSTEES, SEAT C"
"HUGHES, QUINT E.",NP,40.47%,724,"HOSPITAL BOARD OF TRUSTEES, SEAT C"
"ARNOLD, BRAD E.",NP,45.98%,846,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT A"
"HUDSON, SHAYLA",NP,50.76%,934,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT A"
Yes,,42.93%,799,STATE QUESTION 1
No,,57.07%,"1,062",STATE QUESTION 1
Yes,,40.78%,756,STATE QUESTION 2
No,,59.22%,"1,098",STATE QUESTION 2
Yes,,55.67%,"1,036",STATE QUESTION 3
No,,44.33%,825,STATE QUESTION 3
Yes,,34.45%,639,STATE QUESTION 4
No,,65.55%,"1,216",STATE QUESTION 4
Yes,,35.60%,661,STATE QUESTION 5
No,,64.40%,"1,196",STATE QUESTION 5
Yes,,67.88%,"1,266",STATE QUESTION 6
No,,32.12%,599,STATE QUESTION 6
Yes,,45.46%,827,STATE QUESTION 7
No,,54.54%,992,STATE QUESTION 7
Yes,,39.21%,705,STATE QUESTION 8
No,,60.79%,"1,093",STATE QUESTION 8
