candidate,party,percent,votes,office
"BERKLEY, SHELLEY Incumbent",DEM,53.72%,"64,312","REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"BOGGS-MCDONALD, LYNETTE MARIA",REP,42.73%,"51,148","REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"DEMPSEY, STEVEN",IAP,2.39%,"2,861","REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"STARTIN, W. LANE",GRN,1.16%,"1,393","REPRESENTATIVE IN CONGRESS, DISTRICT 1"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 1"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"GIBBONS, JIM Incumbent",REP,62.73%,"4,180","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,4.43%,295,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,30.24%,"2,015","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.94%,129,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.66%,44,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HERRERA, DARIO",DEM,37.24%,"66,659","REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"ODELL, RICHARD WAYNE",IAP,0.95%,"1,694","REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"O'NEIL, PETE",IND,3.82%,"6,842","REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"PORTER, JON",REP,56.08%,"100,378","REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"SCOTT, NEIL",LIB,1.91%,"3,421","REPRESENTATIVE IN CONGRESS, DISTRICT 3"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 3"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"GEYER, DICK",LIB,1.66%,"5,096",GOVERNOR
"GUINN, KENNY CIncumbent",REP,65.20%,"200,157",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.22%,"3,741",GOVERNOR
"LAWS, CHARLES",GRN,0.83%,"2,548",GOVERNOR
"NEAL, JOE",DEM,24.23%,"74,378",GOVERNOR
"NORTON, JERRY L",IND,1.25%,"3,843",GOVERNOR
None of these Candidates,,5.62%,"17,240",GOVERNOR
Under Votes,,0.00%,0,GOVERNOR
Over Votes,,0.00%,0,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,52.35%,"160,546",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,41.63%,"127,687",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.73%,"5,296",LIEUTENANT GOVERNOR
