candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,69.52%,"2,130","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,4.08%,125,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,21.21%,650,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.14%,35,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.33%,10,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,3.56%,109,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.16%,5,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.08%,33,GOVERNOR
"GUINN, KENNY CIncumbent",REP,66.45%,"2,036",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.27%,39,GOVERNOR
"LAWS, CHARLES",GRN,0.62%,19,GOVERNOR
"NEAL, JOE",DEM,24.05%,737,GOVERNOR
"NORTON, JERRY L",IND,1.24%,38,GOVERNOR
None of these Candidates,,4.01%,123,GOVERNOR
Under Votes,,1.11%,34,GOVERNOR
Over Votes,,0.16%,5,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,50.62%,"1,551",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,40.50%,"1,241",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.66%,51,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.24%,38,LIEUTENANT GOVERNOR
None of these Candidates,,4.24%,130,LIEUTENANT GOVERNOR
Under Votes,,1.60%,49,LIEUTENANT GOVERNOR
Over Votes,,0.13%,4,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.35%,72,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,23.40%,717,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,4.50%,138,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,54.47%,"1,669",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.04%,32,SECRETARY OF STATE
None of these Candidates,,10.38%,318,SECRETARY OF STATE
Under Votes,,3.85%,118,SECRETARY OF STATE
Over Votes,,0.00%,0,SECRETARY OF STATE
"ANDREWS, MARK",IAP,5.45%,167,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,47.45%,"1,454",STATE TREASURER
"SANTOR, KEN",DEM,33.52%,"1,027",STATE TREASURER
None of these Candidates,,9.40%,288,STATE TREASURER
Under Votes,,4.11%,126,STATE TREASURER
Over Votes,,0.07%,2,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,45.23%,"1,386",STATE CONTROLLER
"BLACK, LISA",IAP,4.77%,146,STATE CONTROLLER
"EBY, CHUCK",LIB,1.57%,48,STATE CONTROLLER
"LEE, JOHN",DEM,35.67%,"1,093",STATE CONTROLLER
None of these Candidates,,8.13%,249,STATE CONTROLLER
Under Votes,,4.60%,141,STATE CONTROLLER
Over Votes,,0.03%,1,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,3.75%,115,ATTORNEY GENERAL
"HUNT, JOHN",DEM,35.44%,"1,086",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,52.97%,"1,623",ATTORNEY GENERAL
None of these Candidates,,4.86%,149,ATTORNEY GENERAL
Under Votes,,2.87%,88,ATTORNEY GENERAL
Over Votes,,0.10%,3,ATTORNEY GENERAL
"DE BRAGA, MARCIA Incumbent",DEM,57.31%,"1,756",STATE ASSEMBLY DISTRICT 35
"GOICOECHEA, PETE",REP,41.22%,"1,263",STATE ASSEMBLY DISTRICT 35
Under Votes,,1.44%,44,STATE ASSEMBLY DISTRICT 35
Over Votes,,0.03%,1,STATE ASSEMBLY DISTRICT 35
"CHAIREZ, DON",NP,18.73%,574,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,39.82%,"1,220","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,28.10%,861,"JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,13.22%,405,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.13%,4,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,66.42%,"2,035","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,17.04%,522,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,16.48%,505,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.07%,2,"JUSTICE OF THE SUPREME COURT, SEAT D"
"DOBRESCU, STEVE LIncumbent",NP,84.53%,"2,590",DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 1
Under Votes,,15.47%,474,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 1
"PAPEZ, DAN LIncumbent",NP,85.70%,"2,626",DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 2
Under Votes,,14.30%,438,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 7 DEPARTMENT 2
"FERRY, CLIFF",NP,70.46%,"2,159",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,29.54%,905,STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"CHACHAS, JOHN A",DEM,74.97%,"2,297",COUNTY COMMISSION SEAT ONE
Under Votes,,25.03%,767,COUNTY COMMISSION SEAT ONE
Over Votes,,0.00%,0,COUNTY COMMISSION SEAT ONE
"KIRKEBY, KEVIN S",REP,41.84%,"1,282",COUNTY COMMISSION SEAT FIVE
"PEREA, GARY",DEM,55.52%,"1,701",COUNTY COMMISSION SEAT FIVE
Under Votes,,2.51%,77,COUNTY COMMISSION SEAT FIVE
Over Votes,,0.13%,4,COUNTY COMMISSION SEAT FIVE
"BISHOP, ROBERT L",DEM,77.74%,"2,382",COUNTY ASSESSOR
Under Votes,,22.26%,682,COUNTY ASSESSOR
Over Votes,,0.00%,0,COUNTY ASSESSOR
"BATH, DONNA M",REP,75.75%,"2,321",COUNTY CLERK
"CRIPPS, MICHAEL W",REP,21.74%,666,COUNTY CLERK
Under Votes,,2.45%,75,COUNTY CLERK
Over Votes,,0.07%,2,COUNTY CLERK
"BACKUS, GARY",REP,36.42%,"1,116",DISTRICT ATTORNEY
"SEARS, RICHARD W.",REP,57.38%,"1,758",DISTRICT ATTORNEY
Under Votes,,6.20%,190,DISTRICT ATTORNEY
Over Votes,,0.00%,0,DISTRICT ATTORNEY
"SINDELAR, MARTHA RIVERA",DEM,81.33%,"2,492",COUNTY RECORDER
Under Votes,,18.67%,572,COUNTY RECORDER
Over Votes,,0.00%,0,COUNTY RECORDER
"CORNUTT, BEVERLY",REP,74.97%,"2,297",COUNTY TREASURER
"PROVOST, NANCIE L.",REP,20.17%,618,COUNTY TREASURER
Under Votes,,4.83%,148,COUNTY TREASURER
Over Votes,,0.03%,1,COUNTY TREASURER
"KNEESE, MICHAEL",NP,30.74%,942,COUNTY SHERIFF
"ROMERO, BERNIE",NP,67.10%,"2,056",COUNTY SHERIFF
Under Votes,,1.99%,61,COUNTY SHERIFF
Over Votes,,0.16%,5,COUNTY SHERIFF
