candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,73.61%,"12,889","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,3.18%,557,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,18.90%,"3,309","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.45%,254,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.38%,66,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,2.36%,414,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.11%,20,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.53%,268,GOVERNOR
"GUINN, KENNY CIncumbent",REP,68.83%,"12,051",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.15%,201,GOVERNOR
"LAWS, CHARLES",GRN,0.94%,164,GOVERNOR
"NEAL, JOE",DEM,19.69%,"3,448",GOVERNOR
"NORTON, JERRY L",IND,0.81%,142,GOVERNOR
None of these Candidates,,5.70%,998,GOVERNOR
Under Votes,,1.17%,205,GOVERNOR
Over Votes,,0.18%,32,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,49.55%,"8,675",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,42.52%,"7,445",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.48%,260,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.40%,246,LIEUTENANT GOVERNOR
None of these Candidates,,3.69%,646,LIEUTENANT GOVERNOR
Under Votes,,1.26%,221,LIEUTENANT GOVERNOR
Over Votes,,0.09%,16,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,1.48%,259,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,13.54%,"2,371",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,2.43%,425,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,75.51%,"13,221",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.24%,217,SECRETARY OF STATE
None of these Candidates,,4.16%,729,SECRETARY OF STATE
Under Votes,,1.55%,271,SECRETARY OF STATE
Over Votes,,0.09%,16,SECRETARY OF STATE
"ANDREWS, MARK",IAP,3.77%,660,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,64.00%,"11,205",STATE TREASURER
"SANTOR, KEN",DEM,24.88%,"4,356",STATE TREASURER
None of these Candidates,,4.80%,841,STATE TREASURER
Under Votes,,2.46%,430,STATE TREASURER
Over Votes,,0.10%,17,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,55.14%,"9,655",STATE CONTROLLER
"BLACK, LISA",IAP,3.50%,613,STATE CONTROLLER
"EBY, CHUCK",LIB,1.98%,347,STATE CONTROLLER
"LEE, JOHN",DEM,30.63%,"5,363",STATE CONTROLLER
None of these Candidates,,5.71%,"1,000",STATE CONTROLLER
Under Votes,,2.98%,521,STATE CONTROLLER
Over Votes,,0.06%,10,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,4.11%,720,ATTORNEY GENERAL
"HUNT, JOHN",DEM,26.14%,"4,576",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,62.92%,"11,016",ATTORNEY GENERAL
None of these Candidates,,4.96%,868,ATTORNEY GENERAL
Under Votes,,1.82%,318,ATTORNEY GENERAL
Over Votes,,0.06%,11,ATTORNEY GENERAL
"HOLLOMAN, MARK A",IAP,28.05%,"1,028",STATE SENATE WASHOE DISTRICT 4
"TOWNSEND, RANDOLPH Incumbent",REP,63.30%,"2,320",STATE SENATE WASHOE DISTRICT 4
Under Votes,,8.65%,317,STATE SENATE WASHOE DISTRICT 4
Over Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 4
"AMODEI, MARK EIncumbent",REP,82.10%,"11,366",STATE SENATE CAPITAL SENATORIAL DISTRICT
"SCHUMANN, DAVID K",IAP,13.64%,"1,889",STATE SENATE CAPITAL SENATORIAL DISTRICT
Under Votes,,4.23%,586,STATE SENATE CAPITAL SENATORIAL DISTRICT
Over Votes,,0.02%,3,STATE SENATE CAPITAL SENATORIAL DISTRICT
"DINI, GEORGE R",DEM,39.12%,"1,232",STATE ASSEMBLY DISTRICT 38
"GRADY, TOM",REP,53.38%,"1,681",STATE ASSEMBLY DISTRICT 38
"GOMEZ, DENNIS",IAP,3.33%,105,STATE ASSEMBLY DISTRICT 38
Under Votes,,4.10%,129,STATE ASSEMBLY DISTRICT 38
Over Votes,,0.06%,2,STATE ASSEMBLY DISTRICT 38
"HETTRICK, LYNN Incumbent",REP,0.00%,0,STATE ASSEMBLY DISTRICT 39
"VOIGTS, JEAN",IAP,0.00%,0,STATE ASSEMBLY DISTRICT 39
