candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,74.34%,"8,256","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,4.40%,489,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,16.66%,"1,850","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.32%,147,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.36%,40,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,2.72%,302,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.20%,22,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.36%,151,GOVERNOR
"GUINN, KENNY CIncumbent",REP,73.55%,"8,169",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.80%,200,GOVERNOR
"LAWS, CHARLES",GRN,0.92%,102,GOVERNOR
"NEAL, JOE",DEM,16.17%,"1,796",GOVERNOR
"NORTON, JERRY L",IND,1.03%,114,GOVERNOR
None of these Candidates,,3.24%,360,GOVERNOR
Under Votes,,1.60%,178,GOVERNOR
Over Votes,,0.32%,36,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,50.52%,"5,611",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,39.70%,"4,409",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.74%,193,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,2.11%,234,LIEUTENANT GOVERNOR
None of these Candidates,,3.56%,395,LIEUTENANT GOVERNOR
Under Votes,,2.29%,254,LIEUTENANT GOVERNOR
Over Votes,,0.09%,10,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.22%,246,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,17.38%,"1,930",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,3.96%,440,SECRETARY OF STATE
