candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,72.77%,"75,894","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,3.38%,"3,525","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,21.71%,"22,639","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.77%,"1,848","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.37%,381,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.42%,"1,504",GOVERNOR
"GUINN, KENNY CIncumbent",REP,72.05%,"76,059",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.37%,"1,443",GOVERNOR
"LAWS, CHARLES",GRN,1.42%,"1,502",GOVERNOR
"NEAL, JOE",DEM,20.13%,"21,244",GOVERNOR
"NORTON, JERRY L",IND,0.74%,783,GOVERNOR
None of these Candidates,,2.87%,"3,025",GOVERNOR
Under Votes,,0.00%,0,GOVERNOR
Over Votes,,0.00%,0,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,48.01%,"50,321",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,44.78%,"46,931",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.93%,"2,022",LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.51%,"1,579",LIEUTENANT GOVERNOR
None of these Candidates,,3.77%,"3,951",LIEUTENANT GOVERNOR
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.77%,"2,856",SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,19.42%,"19,985",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,3.62%,"3,726",SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,66.43%,"68,376",SECRETARY OF STATE
"LENART, PAUL A",GRN,2.29%,"2,354",SECRETARY OF STATE
None of these Candidates,,5.48%,"5,637",SECRETARY OF STATE
Under Votes,,0.00%,0,SECRETARY OF STATE
Over Votes,,0.00%,0,SECRETARY OF STATE
"ANDREWS, MARK",IAP,4.45%,"4,544",STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,61.89%,"63,189",STATE TREASURER
"SANTOR, KEN",DEM,28.73%,"29,339",STATE TREASURER
None of these Candidates,,4.93%,"5,030",STATE TREASURER
Under Votes,,0.00%,0,STATE TREASURER
Over Votes,,0.00%,0,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,59.30%,"60,090",STATE CONTROLLER
"BLACK, LISA",IAP,4.29%,"4,346",STATE CONTROLLER
"EBY, CHUCK",LIB,2.40%,"2,433",STATE CONTROLLER
"LEE, JOHN",DEM,28.40%,"28,781",STATE CONTROLLER
None of these Candidates,,5.61%,"5,689",STATE CONTROLLER
Under Votes,,0.00%,0,STATE CONTROLLER
Over Votes,,0.00%,0,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,4.54%,"4,722",ATTORNEY GENERAL
"HUNT, JOHN",DEM,27.64%,"28,741",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,63.51%,"66,038",ATTORNEY GENERAL
None of these Candidates,,4.31%,"4,477",ATTORNEY GENERAL
Under Votes,,0.00%,0,ATTORNEY GENERAL
Over Votes,,0.00%,0,ATTORNEY GENERAL
"CARTER, JOE",DEM,44.07%,"11,359",STATE SENATE WASHOE DISTRICT 2
"WASHINGTON, MAURICE Incumbent",REP,55.93%,"14,418",STATE SENATE WASHOE DISTRICT 2
Under Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 2
Over Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 2
"HOLLOMAN, MARK A",IAP,23.33%,"5,834",STATE SENATE WASHOE DISTRICT 4
"TOWNSEND, RANDOLPH Incumbent",REP,76.67%,"19,175",STATE SENATE WASHOE DISTRICT 4
Under Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 4
Over Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 4
"MARVEL, JOHN",REP,48.89%,"7,136",STATE ASSEMBLY DISTRICT 32
"WEBER, MICHAEL",REP,51.11%,"7,460",STATE ASSEMBLY DISTRICT 32
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 32
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 32
"DE BRAGA, MARCIA Incumbent",DEM,55.19%,271,STATE ASSEMBLY DISTRICT 35
"GOICOECHEA, PETE",REP,44.81%,220,STATE ASSEMBLY DISTRICT 35
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 35
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 35
"HETTRICK, LYNN Incumbent",REP,81.04%,"1,765",STATE ASSEMBLY DISTRICT 39
"VOIGTS, JEAN",IAP,18.96%,413,STATE ASSEMBLY DISTRICT 39
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 39
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 39
"KNECHT, RON",REP,57.32%,560,STATE ASSEMBLY DISTRICT 40
"WILKE, STACIE",DEM,42.68%,417,STATE ASSEMBLY DISTRICT 40
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 40
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 40
"CHAIREZ, DON",NP,17.76%,"16,505","JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,66.37%,"61,675","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,15.87%,"14,745","JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,80.81%,"69,316","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,19.19%,"16,465","JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"FERRY, CLIFF",NP,100.00%,"5,764",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"BAUER, CAROLYN",IAP,25.81%,"3,885",STATE SENATE WASHOE DISTRICT 1
"MARTIN-MATHEWS, BERNICE Incumbent",DEM,74.19%,"11,170",STATE SENATE WASHOE DISTRICT 1
Under Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 1
Over Votes,,0.00%,0,STATE SENATE WASHOE DISTRICT 1
"FREEMAN, VIVIAN Incumbent",DEM,48.00%,"5,623",STATE ASSEMBLY 24
"GEDDES, JASON",REP,52.00%,"6,092",STATE ASSEMBLY 24
Under Votes,,0.00%,0,STATE ASSEMBLY 24
Over Votes,,0.00%,0,STATE ASSEMBLY 24
"BROZYNA, DOUG",IAP,15.60%,"3,222",STATE ASSEMBLY 25
"GIBBONS, DAWN Incumbent",REP,84.40%,"17,426",STATE ASSEMBLY 25
Under Votes,,0.00%,0,STATE ASSEMBLY 25
Over Votes,,0.00%,0,STATE ASSEMBLY 25
"ANGLE, SHARRON",REP,61.48%,"12,400",STATE ASSEMBLY 26
"GILBERT, JAN",DEM,35.06%,"7,071",STATE ASSEMBLY 26
"MILLER , GREGORY",IAP,3.46%,697,STATE ASSEMBLY 26
Under Votes,,0.00%,0,STATE ASSEMBLY 26
Over Votes,,0.00%,0,STATE ASSEMBLY 26
"JOSEPH, DANIEL",IAP,5.50%,525,STATE ASSEMBLY 27
