candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,78.42%,"12,968","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,2.69%,444,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,17.17%,"2,839","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.37%,226,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.36%,59,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.45%,243,GOVERNOR
"GUINN, KENNY CIncumbent",REP,77.44%,"12,977",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.29%,217,GOVERNOR
"LAWS, CHARLES",GRN,1.09%,183,GOVERNOR
"NEAL, JOE",DEM,15.04%,"2,520",GOVERNOR
"NORTON, JERRY L",IND,0.81%,136,GOVERNOR
None of these Candidates,,2.88%,482,GOVERNOR
Under Votes,,0.00%,0,GOVERNOR
Over Votes,,0.00%,0,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,57.93%,"9,650",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,35.04%,"5,837",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.54%,256,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.69%,282,LIEUTENANT GOVERNOR
None of these Candidates,,3.79%,632,LIEUTENANT GOVERNOR
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,1.22%,201,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,15.92%,"2,628",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,3.03%,500,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,73.38%,"12,112",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.65%,272,SECRETARY OF STATE
None of these Candidates,,4.80%,792,SECRETARY OF STATE
Under Votes,,0.00%,0,SECRETARY OF STATE
Over Votes,,0.00%,0,SECRETARY OF STATE
"ANDREWS, MARK",IAP,4.02%,659,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,69.51%,"11,387",STATE TREASURER
"SANTOR, KEN",DEM,21.09%,"3,455",STATE TREASURER
None of these Candidates,,5.37%,880,STATE TREASURER
Under Votes,,0.00%,0,STATE TREASURER
Over Votes,,0.00%,0,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,63.58%,"10,331",STATE CONTROLLER
"BLACK, LISA",IAP,3.56%,579,STATE CONTROLLER
"EBY, CHUCK",LIB,1.90%,308,STATE CONTROLLER
"LEE, JOHN",DEM,24.38%,"3,962",STATE CONTROLLER
None of these Candidates,,6.58%,"1,069",STATE CONTROLLER
Under Votes,,0.00%,0,STATE CONTROLLER
Over Votes,,0.00%,0,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,3.90%,646,ATTORNEY GENERAL
"HUNT, JOHN",DEM,23.02%,"3,814",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,68.49%,"11,346",ATTORNEY GENERAL
None of these Candidates,,4.59%,760,ATTORNEY GENERAL
Under Votes,,0.00%,0,ATTORNEY GENERAL
Over Votes,,0.00%,0,ATTORNEY GENERAL
"AMODEI, MARK EIncumbent",REP,82.79%,"7,730",STATE SENATE CAPITAL SENATORIAL DISTRICT
"SCHUMANN, DAVID K",IAP,17.21%,"1,607",STATE SENATE CAPITAL SENATORIAL DISTRICT
Under Votes,,0.00%,0,STATE SENATE CAPITAL SENATORIAL DISTRICT
Over Votes,,0.00%,0,STATE SENATE CAPITAL SENATORIAL DISTRICT
"HETTRICK, LYNN Incumbent",REP,84.37%,"13,011",STATE ASSEMBLY DISTRICT 39
"VOIGTS, JEAN",IAP,15.63%,"2,410",STATE ASSEMBLY DISTRICT 39
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 39
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 39
"CHAIREZ, DON",NP,21.26%,"2,993","JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,55.35%,"7,793","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,23.39%,"3,293","JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,81.28%,"11,361","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,18.72%,"2,616","JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"GAMBLE, DAVID R.Incumbent",NP,100.00%,"13,473",DISTRICT COURT JUDGE DISTRICT 9 DEPARTMENT 1
Under Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 9 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 9 DEPARTMENT 1
"GIBBONS, MICHAEL Incumbent",NP,100.00%,"13,274",DISTRICT COURT JUDGE DISTRICT 9 DEPARTMENT 2
Under Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 9 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 9 DEPARTMENT 2
"ECKLAND, JOHN",DEM,32.04%,"5,100",ASSESSOR
"SONNEMANN, DOUGLAS W.",REP,67.96%,"10,817",ASSESSOR
Under Votes,,0.00%,0,ASSESSOR
Over Votes,,0.00%,0,ASSESSOR
"REED, BARBARA J.",REP,100.00%,"13,847",COUNTY CLERK / TREASURER
Under Votes,,0.00%,0,COUNTY CLERK / TREASURER
Over Votes,,0.00%,0,COUNTY CLERK / TREASURER
"GILBERT, PAUL",REP,100.00%,"11,644","CONSTABLE, EAST FORK TOWNSHIP"
Under Votes,,0.00%,0,"CONSTABLE, EAST FORK TOWNSHIP"
Over Votes,,0.00%,0,"CONSTABLE, EAST FORK TOWNSHIP"
"HARGIS, ROGER",REP,100.00%,"1,821","CONSTABLE, TAHOE TOWNSHIP"
Under Votes,,0.00%,0,"CONSTABLE, TAHOE TOWNSHIP"
Over Votes,,0.00%,0,"CONSTABLE, TAHOE TOWNSHIP"
"ETCHEGOYHEN, JACQUES",REP,59.19%,"8,918","COUNTY COMMISSIONER, DISTRICT 2"
"HAYES, MIKE",REP,40.81%,"6,150","COUNTY COMMISSIONER, DISTRICT 2"
Under Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 2"
Over Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 2"
"MINER, DON",REP,48.67%,"7,387","COUNTY COMMISSIONER, DISTRICT 4"
"SMITH, TIM",REP,51.33%,"7,791","COUNTY COMMISSIONER, DISTRICT 4"
Under Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 4"
Over Votes,,0.00%,0,"COUNTY COMMISSIONER, DISTRICT 4"
"DOYLE, SCOTT",REP,100.00%,"13,468",DISTRICT ATTORNEY
Under Votes,,0.00%,0,DISTRICT ATTORNEY
Over Votes,,0.00%,0,DISTRICT ATTORNEY
"ENEARL, LYNN",REP,100.00%,"13,409",PUBLIC ADMINISTRATOR
Under Votes,,0.00%,0,PUBLIC ADMINISTRATOR
Over Votes,,0.00%,0,PUBLIC ADMINISTRATOR
"CHRISTEN, WERNER",REP,100.00%,"13,248",COUNTY RECORDER
Under Votes,,0.00%,0,COUNTY RECORDER
Over Votes,,0.00%,0,COUNTY RECORDER
"PIERINI, RON",NP,100.00%,"13,562",SHERIFF
Under Votes,,0.00%,0,SHERIFF
Over Votes,,0.00%,0,SHERIFF
"HALES, SHARLA",NP,64.82%,"7,530","SCHOOL BOARD TRUSTEE, AREA 2"
"KENNERLEY, HAYDN",NP,35.18%,"4,087","SCHOOL BOARD TRUSTEE, AREA 2"
Under Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 2"
Over Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 2"
"LOURITT, JOHN",NP,100.00%,"10,660","SCHOOL BOARD TRUSTEE, AREA 4"
Under Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 4"
Over Votes,,0.00%,0,"SCHOOL BOARD TRUSTEE, AREA 4"
