candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,83.57%,"1,521","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,4.07%,74,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,10.33%,188,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,0.82%,15,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.22%,4,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.82%,15,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.16%,3,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.28%,24,GOVERNOR
"GUINN, KENNY CIncumbent",REP,80.29%,"1,503",GOVERNOR
"HOLMGREN, DAVID G",IAP,1.66%,31,GOVERNOR
"LAWS, CHARLES",GRN,0.32%,6,GOVERNOR
"NEAL, JOE",DEM,12.34%,231,GOVERNOR
"NORTON, JERRY L",IND,0.96%,18,GOVERNOR
None of these Candidates,,2.67%,50,GOVERNOR
Under Votes,,0.43%,8,GOVERNOR
Over Votes,,0.05%,1,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,59.99%,"1,123",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,32.00%,599,LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.55%,29,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.28%,24,LIEUTENANT GOVERNOR
None of these Candidates,,4.06%,76,LIEUTENANT GOVERNOR
Under Votes,,1.07%,20,LIEUTENANT GOVERNOR
Over Votes,,0.05%,1,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,4.70%,88,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,13.89%,260,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,3.04%,57,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,68.06%,"1,274",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.23%,23,SECRETARY OF STATE
None of these Candidates,,7.32%,137,SECRETARY OF STATE
Under Votes,,1.71%,32,SECRETARY OF STATE
Over Votes,,0.05%,1,SECRETARY OF STATE
"ANDREWS, MARK",IAP,7.05%,132,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,60.52%,"1,133",STATE TREASURER
"SANTOR, KEN",DEM,22.54%,422,STATE TREASURER
None of these Candidates,,7.75%,145,STATE TREASURER
Under Votes,,2.14%,40,STATE TREASURER
Over Votes,,0.00%,0,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,60.84%,"1,139",STATE CONTROLLER
"BLACK, LISA",IAP,5.88%,110,STATE CONTROLLER
"EBY, CHUCK",LIB,1.60%,30,STATE CONTROLLER
"LEE, JOHN",DEM,21.05%,394,STATE CONTROLLER
None of these Candidates,,7.80%,146,STATE CONTROLLER
Under Votes,,2.78%,52,STATE CONTROLLER
Over Votes,,0.05%,1,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,3.21%,60,ATTORNEY GENERAL
"HUNT, JOHN",DEM,24.52%,459,ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,68.00%,"1,273",ATTORNEY GENERAL
None of these Candidates,,2.83%,53,ATTORNEY GENERAL
Under Votes,,1.34%,25,ATTORNEY GENERAL
Over Votes,,0.11%,2,ATTORNEY GENERAL
"MARVEL, JOHN",REP,82.08%,600,STATE ASSEMBLY DISTRICT 32
"WEBER, MICHAEL",REP,14.23%,104,STATE ASSEMBLY DISTRICT 32
Under Votes,,3.69%,27,STATE ASSEMBLY DISTRICT 32
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 32
"DE BRAGA, MARCIA Incumbent",DEM,36.28%,414,STATE ASSEMBLY DISTRICT 35
"GOICOECHEA, PETE",REP,61.88%,706,STATE ASSEMBLY DISTRICT 35
Under Votes,,1.67%,19,STATE ASSEMBLY DISTRICT 35
Over Votes,,0.18%,2,STATE ASSEMBLY DISTRICT 35
"CHAIREZ, DON",NP,28.63%,536,"JUSTICE OF THE SUPREME COURT, SEAT B"
"MAUPIN, BILL Incumbent",NP,54.97%,"1,029","JUSTICE OF THE SUPREME COURT, SEAT B"
None of these Candidates,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
Under Votes,,16.40%,307,"JUSTICE OF THE SUPREME COURT, SEAT B"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT B"
"GIBBONS, MARK",NP,79.54%,"1,489","JUSTICE OF THE SUPREME COURT, SEAT D"
None of these Candidates,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
Under Votes,,20.46%,383,"JUSTICE OF THE SUPREME COURT, SEAT D"
Over Votes,,0.00%,0,"JUSTICE OF THE SUPREME COURT, SEAT D"
"WAGNER, RICHARD AIncumbent",NP,82.43%,"1,543",DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 1
Under Votes,,17.57%,329,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 1
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 1
"IROZ, JOHN M",NP,56.89%,"1,065",DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
"SULLIVAN, JERRY VIncumbent",NP,39.48%,739,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
Under Votes,,3.63%,68,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
Over Votes,,0.00%,0,DISTRICT COURT JUDGE DISTRICT 6 DEPARTMENT 2
"FERRY, CLIFF",NP,74.68%,"1,398",STATE BOARD OF EDUCATION DISTRICT 10
Under Votes,,25.32%,474,STATE BOARD OF EDUCATION DISTRICT 10
Over Votes,,0.00%,0,STATE BOARD OF EDUCATION DISTRICT 10
"DUVALL, LURA",REP,86.43%,"1,618",COUNTY ASSESSOR
Under Votes,,13.57%,254,COUNTY ASSESSOR
Over Votes,,0.00%,0,COUNTY ASSESSOR
"BURRIS, GLADYS",DEM,59.83%,"1,120",COUNTY CLERK
"ITZA, KRISTINE R.",REP,38.41%,719,COUNTY CLERK
Under Votes,,1.71%,32,COUNTY CLERK
