candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,79.68%,"5,916","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,3.54%,263,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,12.88%,956,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.14%,85,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.31%,23,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,2.34%,174,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.11%,8,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.17%,87,GOVERNOR
"GUINN, KENNY CIncumbent",REP,79.02%,"5,867",GOVERNOR
"HOLMGREN, DAVID G",IAP,2.56%,190,GOVERNOR
"LAWS, CHARLES",GRN,0.32%,24,GOVERNOR
"NEAL, JOE",DEM,12.82%,952,GOVERNOR
"NORTON, JERRY L",IND,0.94%,70,GOVERNOR
None of these Candidates,,2.51%,186,GOVERNOR
Under Votes,,0.59%,44,GOVERNOR
Over Votes,,0.07%,5,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,54.36%,"4,036",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,37.02%,"2,749",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,1.67%,124,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.67%,124,LIEUTENANT GOVERNOR
None of these Candidates,,3.95%,293,LIEUTENANT GOVERNOR
Under Votes,,1.32%,98,LIEUTENANT GOVERNOR
Over Votes,,0.01%,1,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.14%,159,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,15.74%,"1,169",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,4.23%,314,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,69.16%,"5,135",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.02%,76,SECRETARY OF STATE
None of these Candidates,,5.49%,408,SECRETARY OF STATE
Under Votes,,2.17%,161,SECRETARY OF STATE
Over Votes,,0.04%,3,SECRETARY OF STATE
"ANDREWS, MARK",IAP,4.73%,351,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,63.11%,"4,686",STATE TREASURER
"SANTOR, KEN",DEM,23.47%,"1,743",STATE TREASURER
None of these Candidates,,5.49%,408,STATE TREASURER
Under Votes,,3.15%,234,STATE TREASURER
Over Votes,,0.04%,3,STATE TREASURER
"AUGUSTINE, KATHY Incumbent",REP,62.67%,"4,653",STATE CONTROLLER
"BLACK, LISA",IAP,4.81%,357,STATE CONTROLLER
"EBY, CHUCK",LIB,1.59%,118,STATE CONTROLLER
"LEE, JOHN",DEM,21.08%,"1,565",STATE CONTROLLER
None of these Candidates,,6.13%,455,STATE CONTROLLER
Under Votes,,3.69%,274,STATE CONTROLLER
Over Votes,,0.04%,3,STATE CONTROLLER
"HANSEN, JONATHAN",IAP,4.70%,349,ATTORNEY GENERAL
"HUNT, JOHN",DEM,22.37%,"1,661",ATTORNEY GENERAL
"SANDOVAL, BRIAN",REP,66.68%,"4,951",ATTORNEY GENERAL
None of these Candidates,,3.78%,281,ATTORNEY GENERAL
Under Votes,,2.41%,179,ATTORNEY GENERAL
Over Votes,,0.05%,4,ATTORNEY GENERAL
"DE BRAGA, MARCIA Incumbent",DEM,49.34%,"2,507",STATE ASSEMBLY DISTRICT 35
"GOICOECHEA, PETE",REP,47.10%,"2,393",STATE ASSEMBLY DISTRICT 35
Under Votes,,3.52%,179,STATE ASSEMBLY DISTRICT 35
Over Votes,,0.04%,2,STATE ASSEMBLY DISTRICT 35
"HOLMGREN, JACKIE A",IAP,11.91%,168,STATE ASSEMBLY DISTRICT 36
