candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,82.01%,556,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,3.54%,24,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,11.95%,81,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,1.92%,13,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.59%,4,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,1.75%,12,GOVERNOR
"GUINN, KENNY CIncumbent",REP,76.42%,525,GOVERNOR
"HOLMGREN, DAVID G",IAP,2.47%,17,GOVERNOR
"LAWS, CHARLES",GRN,0.73%,5,GOVERNOR
"NEAL, JOE",DEM,12.37%,85,GOVERNOR
"NORTON, JERRY L",IND,1.31%,9,GOVERNOR
None of these Candidates,,4.95%,34,GOVERNOR
Under Votes,,0.00%,0,GOVERNOR
Over Votes,,0.00%,0,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,58.80%,401,LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,29.62%,202,LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,4.40%,30,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.76%,12,LIEUTENANT GOVERNOR
None of these Candidates,,5.43%,37,LIEUTENANT GOVERNOR
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,1.96%,13,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,15.36%,102,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,4.82%,32,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,64.76%,430,SECRETARY OF STATE
"LENART, PAUL A",GRN,1.20%,8,SECRETARY OF STATE
None of these Candidates,,11.90%,79,SECRETARY OF STATE
Under Votes,,0.00%,0,SECRETARY OF STATE
Over Votes,,0.00%,0,SECRETARY OF STATE
"ANDREWS, MARK",IAP,5.44%,37,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,59.85%,407,STATE TREASURER
"SANTOR, KEN",DEM,22.79%,155,STATE TREASURER
