candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,66.29%,"7,231","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,5.23%,570,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,22.68%,"2,474","REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,2.15%,235,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,0.69%,75,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,2.51%,274,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.45%,49,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,2.06%,225,GOVERNOR
"GUINN, KENNY CIncumbent",REP,67.37%,"7,349",GOVERNOR
"HOLMGREN, DAVID G",IAP,3.21%,350,GOVERNOR
"LAWS, CHARLES",GRN,0.61%,67,GOVERNOR
"NEAL, JOE",DEM,20.41%,"2,226",GOVERNOR
"NORTON, JERRY L",IND,1.23%,134,GOVERNOR
None of these Candidates,,3.92%,428,GOVERNOR
Under Votes,,0.92%,100,GOVERNOR
Over Votes,,0.27%,29,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,50.50%,"5,508",LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,40.72%,"4,442",LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,2.65%,289,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,1.69%,184,LIEUTENANT GOVERNOR
None of these Candidates,,3.02%,329,LIEUTENANT GOVERNOR
Under Votes,,1.26%,137,LIEUTENANT GOVERNOR
Over Votes,,0.17%,19,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,3.12%,340,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,23.63%,"2,578",SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,4.55%,496,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,57.61%,"6,284",SECRETARY OF STATE
"LENART, PAUL A",GRN,1.22%,133,SECRETARY OF STATE
None of these Candidates,,7.28%,794,SECRETARY OF STATE
Under Votes,,2.57%,280,SECRETARY OF STATE
