candidate,party,percent,votes,office
"GIBBONS, JIM Incumbent",REP,73.67%,319,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HANSEN, JANINE",IAP,6.24%,27,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"SOUZA, TRAVIS O.",DEM,15.24%,66,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"TRAINOR, BRENDAN",LIB,3.70%,16,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"WINQUIST, ROBERT",NAT,1.15%,5,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Under Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
Over Votes,,0.00%,0,"REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"GEYER, DICK",LIB,2.73%,12,GOVERNOR
"GUINN, KENNY CIncumbent",REP,65.15%,286,GOVERNOR
"HOLMGREN, DAVID G",IAP,5.47%,24,GOVERNOR
"LAWS, CHARLES",GRN,0.68%,3,GOVERNOR
"NEAL, JOE",DEM,19.82%,87,GOVERNOR
"NORTON, JERRY L",IND,0.91%,4,GOVERNOR
None of these Candidates,,5.24%,23,GOVERNOR
Under Votes,,0.00%,0,GOVERNOR
Over Votes,,0.00%,0,GOVERNOR
"HUNT, LORRAINE Incumbent",REP,56.04%,246,LIEUTENANT GOVERNOR
"KENNY, ERIN",DEM,29.84%,131,LIEUTENANT GOVERNOR
"OSWALD, WILLIAM",LIB,4.33%,19,LIEUTENANT GOVERNOR
"YOCHUM, MERRITT",IAP,3.64%,16,LIEUTENANT GOVERNOR
None of these Candidates,,6.15%,27,LIEUTENANT GOVERNOR
Under Votes,,0.00%,0,LIEUTENANT GOVERNOR
Over Votes,,0.00%,0,LIEUTENANT GOVERNOR
"AVERY, LOIS J",NAT,2.99%,13,SECRETARY OF STATE
"HAMMA, WILLIAM",DEM,17.01%,74,SECRETARY OF STATE
"HANSEN, CHRISTOPHER H.",IAP,5.29%,23,SECRETARY OF STATE
"HELLER, DEAN Incumbent",REP,63.45%,276,SECRETARY OF STATE
"LENART, PAUL A",GRN,0.69%,3,SECRETARY OF STATE
None of these Candidates,,10.57%,46,SECRETARY OF STATE
Under Votes,,0.00%,0,SECRETARY OF STATE
Over Votes,,0.00%,0,SECRETARY OF STATE
"ANDREWS, MARK",IAP,8.92%,39,STATE TREASURER
"KROLICKI, BRIAN KIncumbent",REP,56.29%,246,STATE TREASURER
