candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,63316,44.81,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,851,0.60,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,500,0.35,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,716,0.51,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,640,0.45,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,442,0.31,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,70523,49.91,U.S. Senate
"STAND, WIL",INDEPENDENT,423,0.30,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,3876,2.74,U.S. Senate
"BEST, RUSSELL",INDEPENDENT AMERICAN,4034,2.97,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,80216,58.98,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,51757,38.05,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,970,0.69,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,1156,0.82,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,685,0.49,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,488,0.35,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,811,0.58,GOVERNOR
"REID, RORY",DEMOCRAT,52730,37.54,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,81073,57.72,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,2555,1.82,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,3771,2.72,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,70679,51.00,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,60934,43.97,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,3189,2.30,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,52766,38.40,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,73034,53.15,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,6536,4.76,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,5088,3.70,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,5184,3.77,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,66119,48.04,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,61218,44.48,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,5122,3.72,STATE TREASURER
"HERR, BARRY",REPUBLICAN,59216,43.39,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,6351,4.65,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,63612,46.61,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,7301,5.35,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,48471,35.09,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,75227,54.46,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,9296,6.73,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,5127,3.71,ATTORNEY GENERAL
"CORNELL, THOMAS W.",LIBERTARIAN,1001,5.61,"STATE SENATE, WASHOE DISTRICT 1"
"LESLIE, SHEILA",DEMOCRAT,11070,62.05,"STATE SENATE, WASHOE DISTRICT 1"
"SALERNO, PHILLIP G.",REPUBLICAN,5769,32.34,"STATE SENATE, WASHOE DISTRICT 1"
"EDWARDS, ALLISON",DEMOCRAT,16423,43.05,"STATE SENATE, WASHOE DISTRICT 2"
"GUSTAVSON, DON",REPUBLICAN,21722,56.95,"STATE SENATE, WASHOE DISTRICT 2"
"KIECKHEFER, BEN",REPUBLICAN,24871,74.58,"STATE SENATE, WASHOE DISTRICT 4"
"YOCHUM, M.K.",INDEPENDENT AMERICAN,8479,25.42,"STATE SENATE, WASHOE DISTRICT 4"
"BOBZIEN, DAVID (Incumbent)",DEMOCRAT,8893,64.54,"STATE ASSEMBLY, DISTRICT 24"
