candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,2836,56.92,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,131,2.63,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,57,1.14,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,40,0.80,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,64,1.28,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,34,0.68,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,1600,32.12,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,23,0.46,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,197,3.95,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,299,6.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,3627,74.31,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,955,19.57,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,23,0.46,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,84,1.69,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,116,2.33,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,26,0.52,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,50,1.00,GOVERNOR
"REID, RORY",DEMOCRAT,994,19.97,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,3564,71.61,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,120,2.41,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,293,5.95,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,3065,62.26,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,1398,28.40,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,167,3.39,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,2312,47.17,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,1850,37.75,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,518,10.57,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,221,4.51,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,370,7.52,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,1810,36.81,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,2501,50.86,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,236,4.80,STATE TREASURER
"HERR, BARRY",REPUBLICAN,2517,51.45,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,410,8.38,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,1649,33.71,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,316,6.46,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,1917,38.98,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,2161,43.94,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,645,13.12,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,195,3.97,ATTORNEY GENERAL
"HANSEN, IRA",REPUBLICAN,651,45.75,"STATE ASSEMBLY, DISTRICT 32"
"STEPHENS, JODI",REPUBLICAN,772,54.25,"STATE ASSEMBLY, DISTRICT 32"
"ELLISON, JOHN",REPUBLICAN,401,56.88,"STATE ASSEMBLY, DISTRICT 33"
"HANSEN, JANINE",INDEPENDENT AMERICAN,167,23.69,"STATE ASSEMBLY, DISTRICT 33"
"MCFARLANE, MICHAEL",DEMOCRAT,137,19.43,"STATE ASSEMBLY, DISTRICT 33"
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,2109,79.55,"STATE ASSEMBLY, DISTRICT 35"
"O'CONNOR, JOHN",DEMOCRAT,542,20.45,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,3750,82.67,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,786,17.33,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,3727,82.35,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,799,17.65,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,2103,47.32,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,2341,52.68,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"CASSINELLI, DAN",REPUBLICAN,3089,63.14,COUNTY COMM. SEAT C
"CLARNO, HERB",DEMOCRAT,1803,36.86,COUNTY COMM. SEAT C
"FRENCH, JIM",REPUBLICAN,2726,56.73,COUNTY COMM. SEAT E
"HUMMEL, MEL",REPUBLICAN,2079,43.27,COUNTY COMM. SEAT E
"RACKLEY, GINA",REPUBLICAN,4477,100.00,TREASURER
"MACDONALD, MICHAEL",DEMOCRAT,1918,38.87,DISTRICT ATTORNEY
"PASQUALE, KEVIN L.",INDEPENDENT AMERICAN,1435,29.08,DISTRICT ATTORNEY
"SMITH, RUSSELL D.",REPUBLICAN,1581,32.04,DISTRICT ATTORNEY
"JOHNSON, WILLIAM ""JEFF""",REPUBLICAN,4438,100.00,COUNTY ASSESSOR
"SPERO, TAMI RAE",REPUBLICAN,4540,100.00,COUNTY CLERK
"HAMMOND, MARY ANN",REPUBLICAN,4547,100.00,COUNTY RECORDER
"KILGORE, ED",NONPARTISAN,3179,64.92,SHERIFF
"ROREX, ANDY R.",NONPARTISAN,1718,35.08,SHERIFF
"GOURLEY, JOSEPH D. ""DAVE""",NONPARTISAN,2481,52.96,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT A"
"HAMMARGREN, WILLIAM J. ""BILL""",NONPARTISAN,2204,47.04,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT A"
"HANZLIK, MAURICE J. ""MOE""",NONPARTISAN,2566,56.63,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT B"
"VIOLETTE, ALLEN",NONPARTISAN,1965,43.37,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT B"
"ORR, MARY J.",NONPARTISAN,2443,51.93,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT E"
"QUILICI, STEPHEN",NONPARTISAN,2261,48.07,"HUMBOLDT COUNTY HOSPITAL DIST TRUSTEE, SEAT E"
"HARRISON, K.C.",NONPARTISAN,2022,43.46,SCHOOL BOARD TRUSTEE SEAT F
"HILLYER, ANDREW C.",NONPARTISAN,2631,56.54,SCHOOL BOARD TRUSTEE SEAT F
"FORTMANN, ERNEST H.",NONPARTISAN,77,74.76,GOLCONDA FIRE DISTRICT SEAT B
"HALL, PAM",NONPARTISAN,26,25.24,GOLCONDA FIRE DISTRICT SEAT B
"DEPUTY, GLENDA J.",NONPARTISAN,2979,64.44,SCHOOL BOARD TRUSTEE SEAT B
"STEWART, KRIS",NONPARTISAN,1644,35.56,SCHOOL BOARD TRUSTEE SEAT B
"BILLINGSLEY, JIM L.",NONPARTISAN,1214,54.76,"COUNCILMAN, SEAT NO. 4"
"STRINGHAM, CARRIE D.",NONPARTISAN,1003,45.24,"COUNCILMAN, SEAT NO. 4"
