candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,15,3.71,UNITED STATES SENATOR (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,43,10.64,UNITED STATES SENATOR (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,6,1.49,UNITED STATES SENATOR (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,283,70.05,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,57,14.11,UNITED STATES SENATOR (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,359,43.67,UNITED STATES SENATOR (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,0,0,UNITED STATES SENATOR (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,46,5.60,UNITED STATES SENATOR (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,9,1.09,UNITED STATES SENATOR (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,148,18.00,UNITED STATES SENATOR (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,1,0.12,UNITED STATES SENATOR (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,4,0.49,UNITED STATES SENATOR (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,4,0.49,UNITED STATES SENATOR (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,2,0.24,UNITED STATES SENATOR (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,4,0.49,UNITED STATES SENATOR (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,0,0,UNITED STATES SENATOR (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,210,25.55,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,35,4.26,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,44,12.26,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,150,41.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,165,45.96,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,161,19.95,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
