candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,2201,67.33,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,84,2.57,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,52,1.59,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,36,1.10,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,36,1.10,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,23,0.70,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,703,21.51,U.S. Senate
"STAND, WIL",INDEPENDENT,23,0.70,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,111,3.40,U.S. Senate
"BEST, RUSSELL",INDEPENDENT AMERICAN,227,7.10,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,2290,71.58,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,682,21.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,34,1.04,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,84,2.58,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,85,2.61,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,23,0.71,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,139,4.27,GOVERNOR
"REID, RORY",DEMOCRAT,519,15.93,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,2261,69.40,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,113,3.47,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,313,9.69,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,1986,61.51,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,760,23.54,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,170,5.26,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,1564,48.77,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,1148,35.80,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,334,10.41,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,161,5.02,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,346,10.81,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,1007,31.46,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,1683,52.58,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,165,5.15,STATE TREASURER
"HERR, BARRY",REPUBLICAN,1631,51.26,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,352,11.06,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,971,30.52,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,228,7.17,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,1561,48.72,ATTORNEY GENERAL
"CORTEZ MASTO, CATHERINE (Incumbent)",DEMOCRAT,1103,34.43,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,383,11.95,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,157,4.90,ATTORNEY GENERAL
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,2512,77.89,"STATE ASSEMBLY, DISTRICT 35"
"O'CONNOR, JOHN",DEMOCRAT,713,22.11,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,2343,80.43,"SUPREME COURT JUSTICE, SEAT A"
