candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,5639,63.40,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,163,1.83,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,101,1.14,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,69,0.78,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,49,0.55,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,38,0.43,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,2473,27.80,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,39,0.44,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,324,3.64,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,437,5.02,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,6592,75.71,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,1678,19.27,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,57,0.64,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,117,1.32,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,145,1.63,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,48,0.54,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,60,0.68,GOVERNOR
"REID, RORY",DEMOCRAT,1697,19.12,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,6586,74.19,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,167,1.88,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,458,5.20,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,5905,67.02,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,2268,25.74,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,180,2.04,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,4583,52.29,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,3116,35.55,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,754,8.60,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,311,3.55,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,561,6.39,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,2739,31.20,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,5199,59.22,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,280,3.19,STATE TREASURER
"HERR, BARRY",REPUBLICAN,4954,56.60,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,650,7.43,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,2747,31.38,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,402,4.59,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,4138,47.03,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,3311,37.63,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,1042,11.84,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,307,3.49,ATTORNEY GENERAL
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,4597,75.97,"STATE ASSEMBLY, DISTRICT 35"
"O'CONNOR, JOHN",DEMOCRAT,1454,24.03,"STATE ASSEMBLY, DISTRICT 35"
"GOEDHART, ED (Incumbent)",REPUBLICAN,1122,74.95,"STATE ASSEMBLY, DISTRICT 36"
"HIBBLE, RON",DEMOCRAT,267,17.84,"STATE ASSEMBLY, DISTRICT 36"
"VANDERBEEK, DAVID",INDEPENDENT AMERICAN,108,7.21,"STATE ASSEMBLY, DISTRICT 36"
"GOMEZ, DENNIS C.",INDEPENDENT AMERICAN,232,20.33,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,909,79.67,"STATE ASSEMBLY, DISTRICT 38"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,6769,82.29,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,1457,17.71,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,6618,80.94,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,1558,19.06,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,3972,50.58,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,3881,49.42,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
