candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,192516,41.30,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,2818,0.60,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,1422,0.31,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,2721,0.58,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,1604,0.34,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,1558,0.33,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,253617,54.41,U.S. Senate
"STAND, WIL",INDEPENDENT,1208,0.26,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,8699,1.87,U.S. Senate
"BERKLEY, SHELLEY (Incumbent)",DEMOCRAT,103246,61.75,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"HANSEN, JONATHAN J.",INDEPENDENT AMERICAN,2847,1.70,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"KLAPPROTH, ED",LIBERTARIAN,2118,1.27,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"WEGNER, KENNETH A.",REPUBLICAN,58995,35.28,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1"
"BEST, RUSSELL",INDEPENDENT AMERICAN,564,2.75,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,11587,56.51,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,8355,40.74,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HECK, JOE",REPUBLICAN,128916,48.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"MICHAELS, BARRY",INDEPENDENT,6473,2.42,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"NARTER, SCOTT DAVID",INDEPENDENT AMERICAN,1291,0.48,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"SILVESTRI, JOSEPH P.",LIBERTARIAN,4026,1.50,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"TITUS, DINA (Incumbent)",DEMOCRAT,127168,47.47,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3"
"CURTIS, DAVID SCOTT",GREEN,2547,0.55,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,3598,0.78,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,2347,0.51,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,2171,0.47,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,2837,0.61,GOVERNOR
"REID, RORY",DEMOCRAT,217113,46.96,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,224751,48.61,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,7008,1.52,GOVERNOR
