candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,915,52.71,U.S. Senate
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,41,2.36,U.S. Senate
"FASANO, TIM",INDEPENDENT AMERICAN,29,1.67,U.S. Senate
"HAINES, MICHAEL L.",INDEPENDENT,15,0.86,U.S. Senate
"HOLLAND, JESSE",INDEPENDENT,37,2.13,U.S. Senate
"REEVES, JEFFREY C.",INDEPENDENT,14,0.81,U.S. Senate
"REID, HARRY (Incumbent)",DEMOCRAT,597,34.39,U.S. Senate
"STAND, WIL",INDEPENDENT,5,0.29,U.S. Senate
NONE OF THESE CANDIDATES,&nbsp;,83,4.78,U.S. Senate
"BEST, RUSSELL",INDEPENDENT AMERICAN,107,6.32,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,1216,71.78,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,371,21.90,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,11,0.64,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,32,1.85,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,42,2.43,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,15,0.87,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,10,0.58,GOVERNOR
"REID, RORY",DEMOCRAT,396,22.88,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,1140,65.86,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,85,4.91,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,100,5.82,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,1010,58.76,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,526,30.60,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,83,4.83,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,756,44.37,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,680,39.91,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,167,9.80,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,101,5.93,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,116,6.77,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,653,38.12,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,828,48.34,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,116,6.77,STATE TREASURER
"HERR, BARRY",REPUBLICAN,750,43.89,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,144,8.43,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,691,40.43,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,124,7.26,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,621,36.19,ATTORNEY GENERAL
"CORTEZ MASTO, CATHERINE (Incumbent)",DEMOCRAT,791,46.10,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,219,12.76,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,85,4.95,ATTORNEY GENERAL
"GOICOECHEA, PETE (Incumbent)",REPUBLICAN,1237,72.94,"STATE ASSEMBLY, DISTRICT 35"
"O'CONNOR, JOHN",DEMOCRAT,459,27.06,"STATE ASSEMBLY, DISTRICT 35"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,1251,79.23,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,328,20.77,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,1223,78.00,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,345,22.00,"SUPREME COURT JUSTICE, SEAT E"
"MELCHER, KEVIN C.",NONPARTISAN,805,54.03,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"PUCCINELLI, MARGARET",NONPARTISAN,685,45.97,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8"
"HAMILTON, CELESTE",DEMOCRAT,1495,100.00,ASSESSOR
"DONALDSON, LACEY",DEMOCRAT,876,56.33,COUNTY CLERK/TREASURER
"SCHWARZENBERG, LISA",DEMOCRAT,679,43.67,COUNTY CLERK/TREASURER
"GILDER, MICHELLE",DEMOCRAT,720,42.43,COUNTY COMM. SEAT C
"SHANK, CAROL A.",REPUBLICAN,977,57.57,COUNTY COMM. SEAT C
"CHILDS, RENE M.",REPUBLICAN,1539,100.00,COUNTY RECORDER-AUDITOR
"SHIRLEY, JIM",REPUBLICAN,1351,100.00,DISTRICT ATTORNEY
"KEARNS, JEFFREY",REPUBLICAN,1480,100.00,PUBLIC ADMINISTRATOR
"MACHADO, RICHARD",NONPARTISAN,875,51.26,COUNTY SHERIFF - PERSHING
"SKINNER, RON",NONPARTISAN,832,48.74,COUNTY SHERIFF - PERSHING
