candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,117,4.41,UNITED STATES SENATOR (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,245,9.23,UNITED STATES SENATOR (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,52,1.96,UNITED STATES SENATOR (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,1910,71.99,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,329,12.40,UNITED STATES SENATOR (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,3811,44.85,UNITED STATES SENATOR (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,13,0.15,UNITED STATES SENATOR (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,434,5.11,UNITED STATES SENATOR (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,66,0.78,UNITED STATES SENATOR (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,1659,19.52,UNITED STATES SENATOR (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,19,0.22,UNITED STATES SENATOR (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,7,0.08,UNITED STATES SENATOR (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,9,0.11,UNITED STATES SENATOR (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,47,0.55,UNITED STATES SENATOR (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,22,0.26,UNITED STATES SENATOR (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,6,0.07,UNITED STATES SENATOR (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,2227,26.21,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,178,2.09,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,269,11.38,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,854,36.14,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,1240,52.48,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,1057,12.64,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,7306,87.36,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,399,15.19,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,1726,65.73,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,501,19.08,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,68,0.80,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,3023,35.67,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,47,0.55,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,522,6.16,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,4580,54.05,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,234,2.76,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,232,8.97,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,369,14.27,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,269,10.40,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,1356,52.44,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,360,13.92,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,6676,80.31,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,1211,14.57,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,426,5.12,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,1883,24.26,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,3427,44.16,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,2451,31.58,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,3025,38.85,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,2596,33.34,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,2166,27.82,ATTORNEY GENERAL (REPUBLICAN)
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,4462,88.50,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"YEATER, STEVE",REPUBLICAN,580,11.50,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"KITE, KELLY",REPUBLICAN,2767,33.98,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"MURPHY, JANET",REPUBLICAN,1401,17.20,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"SMALLWOOD, BARBARA",REPUBLICAN,1918,23.55,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"WHEELER, JIM",REPUBLICAN,2057,25.26,"STATE ASSEMBLY, DISTRICT 39 (REPUBLICAN)"
"BROOKS, STEPHANIE",REPUBLICAN,739,9.15,COUNTY CLERK/TREASURER (REPUBLICAN)
"HETTRICK, LYNN",REPUBLICAN,3315,41.05,COUNTY CLERK/TREASURER (REPUBLICAN)
"THRAN, TED",REPUBLICAN,4021,49.80,COUNTY CLERK/TREASURER (REPUBLICAN)
"PIERINI, RON",NONPARTISAN,10787,100.00,SHERIFF - DOUGLAS - NP (NONPARTISAN)
