candidate,party,votes,percent,office
"ANGLE, SHARRON",REPUBLICAN,10473,59.95,UNITED STATES SENATOR
"ASHJIAN, SCOTT",TEA PARTY OF NEVADA,295,1.69,UNITED STATES SENATOR
"FASANO, TIM",INDEPENDENT AMERICAN,194,1.11,UNITED STATES SENATOR
"HAINES, MICHAEL L.",INDEPENDENT,125,0.72,UNITED STATES SENATOR
"HOLLAND, JESSE",INDEPENDENT,107,0.61,UNITED STATES SENATOR
"REEVES, JEFFREY C.",INDEPENDENT,76,0.44,UNITED STATES SENATOR
"REID, HARRY (Incumbent)",DEMOCRAT,5659,32.39,UNITED STATES SENATOR
"STAND, WIL",INDEPENDENT,87,0.50,UNITED STATES SENATOR
NONE OF THESE CANDIDATES,&nbsp;,455,2.60,UNITED STATES SENATOR
"BEST, RUSSELL",INDEPENDENT AMERICAN,871,5.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"HELLER, DEAN (Incumbent)",REPUBLICAN,12046,70.92,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"PRICE, NANCY",DEMOCRAT,4068,23.95,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2"
"CURTIS, DAVID SCOTT",GREEN,139,0.80,GOVERNOR
"DISIMONE, EUGENE ""GINO""",INDEPENDENT,226,1.30,GOVERNOR
"FITZGIBBONS, FLOYD",INDEPENDENT AMERICAN,266,1.53,GOVERNOR
"HONIG, AARON Y.",INDEPENDENT,85,0.49,GOVERNOR
"LAMPITT, JR., ARTHUR FOREST",LIBERTARIAN,113,0.65,GOVERNOR
"REID, RORY",DEMOCRAT,4331,24.84,GOVERNOR
"SANDOVAL, BRIAN",REPUBLICAN,11937,68.46,GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,340,1.95,GOVERNOR
"FITZGIBBONS, RYAN",INDEPENDENT AMERICAN,857,4.97,LIEUTENANT GOVERNOR
"KROLICKI, BRIAN K. (Incumbent)",REPUBLICAN,10852,62.95,LIEUTENANT GOVERNOR
"SFERRAZZA, JESSICA",DEMOCRAT,5154,29.90,LIEUTENANT GOVERNOR
NONE OF THESE CANDIDATES,&nbsp;,375,2.18,LIEUTENANT GOVERNOR
"LAUER, ROB",REPUBLICAN,8478,49.41,SECRETARY OF STATE
"MILLER, ROSS (Incumbent)",DEMOCRAT,6783,39.53,SECRETARY OF STATE
"WAGNER, JOHN",INDEPENDENT AMERICAN,1357,7.91,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,541,3.15,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,1105,6.42,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,5969,34.70,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,9614,55.89,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,513,2.98,STATE TREASURER
"HERR, BARRY",REPUBLICAN,8991,52.45,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,1314,7.67,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,6144,35.84,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,693,4.04,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,7873,45.68,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,7166,41.57,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,1689,9.80,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,509,2.95,ATTORNEY GENERAL
"QUIRK, CODY J.",INDEPENDENT AMERICAN,677,6.22,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"RANFT, KEVIN R.",DEMOCRAT,2953,27.14,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
