candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,3,4.55,UNITED STATES SENATOR (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,24,36.36,UNITED STATES SENATOR (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,3,4.55,UNITED STATES SENATOR (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,17,25.76,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,19,28.79,UNITED STATES SENATOR (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,56,33.14,UNITED STATES SENATOR (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,2,1.18,UNITED STATES SENATOR (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,4,2.37,UNITED STATES SENATOR (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,7,4.14,UNITED STATES SENATOR (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,38,22.49,UNITED STATES SENATOR (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,0,0,UNITED STATES SENATOR (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,0,0,UNITED STATES SENATOR (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,0,0,UNITED STATES SENATOR (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,3,1.78,UNITED STATES SENATOR (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,1,0.59,UNITED STATES SENATOR (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,1,0.59,UNITED STATES SENATOR (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,51,30.18,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,6,3.55,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,8,12.90,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,27,43.55,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,27,43.55,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,38,23.17,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,126,76.83,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,25,38.46,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,24,36.92,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,16,24.62,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,10,5.95,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,67,39.88,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,1,0.60,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,11,6.55,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,66,39.29,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,13,7.74,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,12,18.75,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,12,18.75,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,7,10.94,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,24,37.50,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,9,14.06,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,115,70.12,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,31,18.90,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,18,10.98,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,43,26.71,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,69,42.86,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,49,30.43,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,67,40.85,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,52,31.71,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,45,27.44,ATTORNEY GENERAL (REPUBLICAN)
"HIBBLE, RON",DEMOCRAT,31,54.39,"STATE ASSEMBLY, DISTRICT 36 (DEMOCRATIC)"
"SCHIFFMAN, HARRY J.",DEMOCRAT,26,45.61,"STATE ASSEMBLY, DISTRICT 36 (DEMOCRATIC)"
"FEEST, MARK",NONPARTISAN,39,17.41,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"MELCHER, KEVIN C.",NONPARTISAN,97,43.30,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"PUCCINELLI, MARGARET",NONPARTISAN,88,39.29,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"FERRY, CLIFF",NONPARTISAN,202,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"HIGGINS, JR., PRESTON KING",REPUBLICAN,8,10.26,"COUNTY COMMISSIONER, DISTRICT 1 (REPUBLICAN)"
"PAPPALARDO, DOMINIC G.",REPUBLICAN,58,74.36,"COUNTY COMMISSIONER, DISTRICT 1 (REPUBLICAN)"
"SKULLESTAD, JON",REPUBLICAN,12,15.38,"COUNTY COMMISSIONER, DISTRICT 1 (REPUBLICAN)"
"ARABIA, CHRISTOPHER",REPUBLICAN,99,64.29,DISTRICT ATTORNEY (REPUBLICAN)
"LAWSON, ANDRE",REPUBLICAN,55,35.71,DISTRICT ATTORNEY (REPUBLICAN)
"ELGAN, KENNETH N. (Incumbent)",NONPARTISAN,225,100.00,SHERIFF - ESMERALDA (NONPARTISAN)
"BROADBENT, ROBERT",NONPARTISAN,217,100.00,"SCHOOL BOARD TRUSTEE, SEAT A (NONPARTISAN)"
"HARTMAN, FREDERICK N. (Incumbent)",NONPARTISAN,230,100.00,"SCHOOL BOARD TRUSTEE, SEAT C (NONPARTISAN)"
