candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,31,7.31,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,63,14.86,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,11,2.59,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,221,52.12,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,98,23.11,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,198,28.13,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,3,0.43,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,61,8.66,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,15,2.13,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,121,17.19,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,2,0.28,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,10,1.42,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,2,0.28,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,0,0,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,269,38.21,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,23,3.27,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,51,13.39,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,192,50.39,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,138,36.22,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,114,16.38,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,582,83.62,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,86,20.57,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,189,45.22,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,143,34.21,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,6,0.85,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,243,34.47,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,1,0.14,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,75,10.64,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,350,49.65,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,30,4.26,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,39,9.42,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,25,6.04,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,39,9.42,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,245,59.18,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,66,15.94,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,487,70.48,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,135,19.54,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,69,9.99,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,164,24.37,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,276,41.01,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,233,34.62,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,280,41.24,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,188,27.69,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,211,31.08,ATTORNEY GENERAL (REPUBLICAN)
"FEEST, MARK",NONPARTISAN,244,21.79,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"MELCHER, KEVIN C.",NONPARTISAN,430,38.39,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"PUCCINELLI, MARGARET",NONPARTISAN,446,39.82,"UNIVERSITY BOARD OF REGENTS, DISTRICT 8 (NONPARTISAN)"
"FERRY, CLIFF",NONPARTISAN,1029,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"ANDERSON, JAMES LYLE ""SAM""",DEMOCRAT,163,39.37,COUNTY COMM. SEAT C (DEMOCRATIC)
"GILDER, MICHELLE",DEMOCRAT,251,60.63,COUNTY COMM. SEAT C (DEMOCRATIC)
"BENOLKIN, ANDREW C.",REPUBLICAN,180,26.24,COUNTY COMM. SEAT C (REPUBLICAN)
"SHANK, CAROL A.",REPUBLICAN,300,43.73,COUNTY COMM. SEAT C (REPUBLICAN)
"WESNER, BING GEORGE",REPUBLICAN,206,30.03,COUNTY COMM. SEAT C (REPUBLICAN)
