candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,137,5.01,UNITED STATES SENATOR (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,340,12.42,UNITED STATES SENATOR (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,96,3.51,UNITED STATES SENATOR (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,1670,61.02,UNITED STATES SENATOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,494,18.05,UNITED STATES SENATOR (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,1980,40.71,UNITED STATES SENATOR (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,13,0.27,UNITED STATES SENATOR (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,102,2.10,UNITED STATES SENATOR (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,75,1.54,UNITED STATES SENATOR (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,1275,26.21,UNITED STATES SENATOR (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,18,0.37,UNITED STATES SENATOR (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,8,0.16,UNITED STATES SENATOR (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,8,0.16,UNITED STATES SENATOR (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,127,2.61,UNITED STATES SENATOR (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,14,0.29,UNITED STATES SENATOR (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,9,0.19,UNITED STATES SENATOR (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,1111,22.84,UNITED STATES SENATOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,124,2.55,UNITED STATES SENATOR (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,322,13.44,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,838,34.99,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,1235,51.57,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,1053,22.63,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,3601,77.37,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,520,19.27,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,1507,55.84,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,672,24.90,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,145,3.00,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,1381,28.53,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,50,1.03,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,644,13.30,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,2400,49.58,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,221,4.57,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,468,17.69,LIEUTENANT GOVERNOR (DEMOCRATIC)
