candidate,party,votes,percent,office
"HAMILTON, EDUARDO ""MR. CLEAN""",DEMOCRAT,133,5.50,U.S. Senate (DEMOCRATIC)
"MILLER, ALEX",DEMOCRAT,291,12.02,U.S. Senate (DEMOCRATIC)
"POLIAK, CARLO",DEMOCRAT,59,2.44,U.S. Senate (DEMOCRATIC)
"REID, HARRY (Incumbent)",DEMOCRAT,1499,61.94,U.S. Senate (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,438,18.10,U.S. Senate (DEMOCRATIC)
"ANGLE, SHARRON",REPUBLICAN,2762,45.45,U.S. Senate (REPUBLICAN)
"BERNSTEIN, GARY",REPUBLICAN,21,0.35,U.S. Senate (REPUBLICAN)
"CHACHAS, JOHN",REPUBLICAN,252,4.15,U.S. Senate (REPUBLICAN)
"CHRISTENSEN, CHAD",REPUBLICAN,49,0.81,U.S. Senate (REPUBLICAN)
"LOWDEN, SUE",REPUBLICAN,1029,16.93,U.S. Senate (REPUBLICAN)
"MABEY, GARN",REPUBLICAN,6,0.10,U.S. Senate (REPUBLICAN)
"MARINCH, GARY",REPUBLICAN,4,0.07,U.S. Senate (REPUBLICAN)
"NADELL, BRIAN",REPUBLICAN,6,0.10,U.S. Senate (REPUBLICAN)
"PARSON, BILL",REPUBLICAN,34,0.56,U.S. Senate (REPUBLICAN)
"STERN, CECILIA",REPUBLICAN,8,0.13,U.S. Senate (REPUBLICAN)
"SUOMINEN, TERRY",REPUBLICAN,15,0.25,U.S. Senate (REPUBLICAN)
"TARKANIAN, DANNY",REPUBLICAN,1798,29.59,U.S. Senate (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,93,1.53,U.S. Senate (REPUBLICAN)
"DEHNE, DENIS ""SAM""",DEMOCRAT,214,9.92,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"MCKENNA, KEN",DEMOCRAT,995,46.13,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"PRICE, NANCY",DEMOCRAT,948,43.95,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)"
"COLLETTI, PATRICK J.",REPUBLICAN,792,13.20,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"HELLER, DEAN (Incumbent)",REPUBLICAN,5209,86.80,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)"
"CONQUEST, FREDERICK L.",DEMOCRAT,465,19.56,GOVERNOR (DEMOCRATIC)
"REID, RORY",DEMOCRAT,1325,55.74,GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,587,24.69,GOVERNOR (DEMOCRATIC)
"ATWOOD, TONY",REPUBLICAN,68,1.12,GOVERNOR (REPUBLICAN)
"GIBBONS, JIM (Incumbent)",REPUBLICAN,2256,37.20,GOVERNOR (REPUBLICAN)
"LUSAK, STANLEIGH HAROLD",REPUBLICAN,43,0.71,GOVERNOR (REPUBLICAN)
"MONTANDON, MICHAEL L.",REPUBLICAN,444,7.32,GOVERNOR (REPUBLICAN)
"SANDOVAL, BRIAN",REPUBLICAN,3088,50.92,GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,166,2.74,GOVERNOR (REPUBLICAN)
"GOODMAN, ROBERT E. ""BOB""",DEMOCRAT,270,11.46,LIEUTENANT GOVERNOR (DEMOCRATIC)
"MURAD, PAUL",DEMOCRAT,271,11.51,LIEUTENANT GOVERNOR (DEMOCRATIC)
"RANDAZZO, ROBERT S.",DEMOCRAT,231,9.81,LIEUTENANT GOVERNOR (DEMOCRATIC)
"SFERRAZZA, JESSICA",DEMOCRAT,1261,53.55,LIEUTENANT GOVERNOR (DEMOCRATIC)
NONE OF THESE CANDIDATES,&nbsp;,322,13.67,LIEUTENANT GOVERNOR (DEMOCRATIC)
"KROLICKI, BRIAN (Incumbent)",REPUBLICAN,4496,75.37,LIEUTENANT GOVERNOR (REPUBLICAN)
"WOOLLEN, BARBARA LEE",REPUBLICAN,1057,17.72,LIEUTENANT GOVERNOR (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,412,6.91,LIEUTENANT GOVERNOR (REPUBLICAN)
"DAGANI, GREGORY NANCE",REPUBLICAN,1703,30.33,STATE CONTROLLER (REPUBLICAN)
"HERR, BARRY",REPUBLICAN,2315,41.23,STATE CONTROLLER (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1597,28.44,STATE CONTROLLER (REPUBLICAN)
"BARRICK, TRAVIS",REPUBLICAN,2314,41.20,ATTORNEY GENERAL (REPUBLICAN)
"HAFTER, JACOB",REPUBLICAN,1900,33.83,ATTORNEY GENERAL (REPUBLICAN)
NONE OF THESE CANDIDATES,&nbsp;,1403,24.98,ATTORNEY GENERAL (REPUBLICAN)
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,2839,77.97,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"YEATER, STEVE",REPUBLICAN,802,22.03,"STATE SENATE, CAPITAL SENATORIAL DISTRICT (REPUBLICAN)"
"EDWARDS, ALLISON",DEMOCRAT,374,67.15,"STATE SENATE, WASHOE DISTRICT 2 (DEMOCRATIC)"
"SCHMIDT, GARY R.",DEMOCRAT,183,32.85,"STATE SENATE, WASHOE DISTRICT 2 (DEMOCRATIC)"
"GUSTAVSON, DON",REPUBLICAN,853,65.31,"STATE SENATE, WASHOE DISTRICT 2 (REPUBLICAN)"
"LARKIN, BOB",REPUBLICAN,453,34.69,"STATE SENATE, WASHOE DISTRICT 2 (REPUBLICAN)"
"GLADWILL, GARY G.",REPUBLICAN,1631,28.79,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"GRADY, TOM",REPUBLICAN,4035,71.21,"STATE ASSEMBLY, DISTRICT 38 (REPUBLICAN)"
"FERRY, CLIFF",NONPARTISAN,7207,100.00,"STATE BOARD OF EDUCATION, DISTRICT 10 (NONPARTISAN)"
"ARELLANO, VIRGIL J.",REPUBLICAN,2258,41.58,COUNTY COMM DIST. 5 (CW) (REPUBLICAN)
"COSTA, PAUL",REPUBLICAN,1580,29.09,COUNTY COMM DIST. 5 (CW) (REPUBLICAN)
"THOMPSON, CLIFFORD A.",REPUBLICAN,1593,29.33,COUNTY COMM DIST. 5 (CW) (REPUBLICAN)
"MUNRO, DELORES A.",NONPARTISAN,7140,100.00,PUBLIC ADMINISTRATOR (NONPARTISAN)
"LUMPKIN, R. MARK",NONPARTISAN,1761,19.42,SHERIFF - LYON - NP (NONPARTISAN)
"PALMER, BRETT G.",NONPARTISAN,2441,26.92,SHERIFF - LYON - NP (NONPARTISAN)
"VEIL, ALLEN",NONPARTISAN,4865,53.66,SHERIFF - LYON - NP (NONPARTISAN)
